id,lang,property_account_payable_id/id,supplier_discount,alcyon_category_id/id,city,zip,supplier,ref,email,vat,delivery_lead_time,fax,supplier_payment_mode_id/id,property_account_position_id/id,phone,country_id/id,property_supplier_payment_term_id/id,customer,name,mobile,is_purchase_back_order_accepted,street
__import__.supplier_79618,fr_BE,__setup__.account_440100,,specific_partner.partner_category_supplier,BRUXELLES,1070,True,79618,,BE0810893274,15,,__setup__.account_payment_mode_out_sep,__setup__.fiscal_position_nat,,base.be,account.account_payment_term_immediate,False,THINK-PINK,,True,Allée de la Recherche 12
__import__.supplier_62805,fr_BE,__setup__.account_440000,,specific_partner.partner_category_supplier,ENGIS,4480,True,62805,info@biosix.eu,BE0477323043,15,85519510,__setup__.account_payment_mode_out_sep,__setup__.fiscal_position_nat,085/519519,base.be,account.account_payment_term_net,False,BIOSIX,,True,Rue des Tuiliers 1
__import__.supplier_74179,fr_BE,__setup__.account_440100,,specific_partner.partner_category_supplier,Ellezelles,7890,True,74179,,BE0679675931,15,068/543136,__setup__.account_payment_mode_out_sep,__setup__.fiscal_position_nat,068/659568,base.be,account.account_payment_term_net,False,MEDILOG CONSULTING,,True,Place 16
__import__.supplier_68225,fr_BE,__setup__.account_440000,,specific_partner.partner_category_supplier,GENT,9000,True,68225,info@echomedic.be,BE0893763047,15,,__setup__.account_payment_mode_out_sep,__setup__.fiscal_position_nat,09/2420054,base.be,account.account_payment_term_net,False,ECHOMEDIC BVBA,,True,Tuinwijklaan 79
__import__.supplier_79241,fr_BE,__setup__.account_440100,,specific_partner.partner_category_supplier,HERMALLE-SOUS-HUY,4480,True,79241,,BE0475215173,15,04/3721931,__setup__.account_payment_mode_out_man,__setup__.fiscal_position_nat,04/3721930,base.be,account.account_payment_term_immediate,False,SHS COMPUTER,,True,Ch.Freddy Terwagne 2A
__import__.supplier_82675,fr_BE,__setup__.account_440100,,specific_partner.partner_category_supplier,HERVE,4650,True,82675,,BE0693720046,15,,__setup__.account_payment_mode_out_sep,__setup__.fiscal_position_nat,087/678825,base.be,account.account_payment_term_immediate,False,VET-SOLUTIONS,,True,rue Gustave Taillard 16
__import__.supplier_73692,fr_BE,__setup__.account_440100,,specific_partner.partner_category_supplier,HEULE,8501,True,73692,,BE0405350033,15,056/354438,__setup__.account_payment_mode_out_sep,__setup__.fiscal_position_nat,056/364511,base.be,account.account_payment_term_immediate,False,LECOT,,True,Verlinden 7
__import__.supplier_66405,fr_BE,__setup__.account_440100,,specific_partner.partner_category_supplier,LIEGE,4000,True,66405,info@eurofides.be,BE0421412045,15,,__setup__.account_payment_mode_out_sep,__setup__.fiscal_position_nat,04/2233400,base.be,account.account_payment_term_immediate,False,EUROFIDES,,True,rue de Lantin 155 B
__import__.supplier_63787,fr_BE,__setup__.account_440100,,specific_partner.partner_category_supplier,MARCHIN,4570,True,63787,,BE0533801193,15,085/412867,__setup__.account_payment_mode_out_sep,__setup__.fiscal_position_nat,,base.be,account.account_payment_term_immediate,False,PIERRE ET FRANCOIS DEPAS,0474/688507,True,rue Jamagne 1
__import__.supplier_95305,fr_BE,__setup__.account_440100,,specific_partner.partner_category_supplier,WINGENE,8750,True,95305,info@quantum-healthcare.be,BE0629753001,15,,__setup__.account_payment_mode_out_sep,__setup__.fiscal_position_nat,051/780376,base.be,account.account_payment_term_15days,False,QUANTUM HEALTHCARE,,True,Ter Vloet 10
