id,box,kind,name,zone,bin_checksum_1,location_id/id,corridor,shelf,height
__import__.location_loc_EXH600,00,bin,EXH600,E,,__import__.location_family_E,X,H,6
__import__.location_loc_EZZ100,00,bin,EZZ100,E,,__import__.location_family_E,Z,Z,1
__import__.location_loc_EZZ800,00,bin,EZZ800,E,,__import__.location_family_E,Z,Z,8
__import__.location_loc_EZZ900,00,bin,EZZ900,E,,__import__.location_family_E,Z,Z,9
__import__.location_loc_EZZ903,03,bin,EZZ903,E,,__import__.location_family_E,Z,Z,9
__import__.location_loc_EZZ805,05,bin,EZZ805,E,,__import__.location_family_E,Z,Z,8
__import__.location_loc_EXC606,06,bin,EXC606,E,,__import__.location_family_E,X,C,6
__import__.location_loc_EZZ906,06,bin,EZZ906,E,,__import__.location_family_E,Z,Z,9
__import__.location_loc_EOF207,07,bin,EOF207,E,,__import__.location_family_E,O,F,2
__import__.location_loc_EZZ911,11,bin,EZZ911,E,,__import__.location_family_E,Z,Z,9
__import__.location_loc_EOF212,12,bin,EOF212,E,,__import__.location_family_E,O,F,2
__import__.location_loc_EZZ812,12,bin,EZZ812,E,,__import__.location_family_E,Z,Z,8
__import__.location_loc_EOF213,13,bin,EOF213,E,,__import__.location_family_E,O,F,2
__import__.location_loc_EZZ016,16,bin,EZZ016,E,,__import__.location_family_E,Z,Z,0
__import__.location_loc_EZZ816,16,bin,EZZ816,E,,__import__.location_family_E,Z,Z,8
__import__.location_loc_EZZ618,18,bin,EZZ618,E,,__import__.location_family_E,Z,Z,6
__import__.location_loc_EZZ321,21,bin,EZZ321,E,,__import__.location_family_E,Z,Z,3
__import__.location_loc_EZZ522,22,bin,EZZ522,E,,__import__.location_family_E,Z,Z,5
__import__.location_loc_EZZ822,22,bin,EZZ822,E,,__import__.location_family_E,Z,Z,8
__import__.location_loc_EZZ027,27,bin,EZZ027,E,,__import__.location_family_E,Z,Z,0
__import__.location_loc_EZZ127,27,bin,EZZ127,E,,__import__.location_family_E,Z,Z,1
