id,description_picking
__import__.product_1202403,A
__import__.product_2892545,A
__import__.product_2977296,A
__import__.product_5010545,A
__import__.product_5310107,A
__import__.product_5313515,A
__import__.product_5411034,A
__import__.product_5411073,A
__import__.product_5802843,A
__import__.product_1006240,E
__import__.product_1036790,E
__import__.product_1037520,E
__import__.product_5004170,E
__import__.product_5052291,E
__import__.product_5147976,E
__import__.product_5232398,E
__import__.product_5232399,E
__import__.product_5323190,E
__import__.product_5324580,E
__import__.product_5326232,E
__import__.product_5410001,E
__import__.product_5453068,E
__import__.product_5473304,E
__import__.product_5508061,E
__import__.product_5509072,E
__import__.product_5509181,E
__import__.product_5810032,E
__import__.product_5900630,E
__import__.product_5999150,E
__import__.product_8002665,E
__import__.product_8024655,E
__import__.product_8069385,E
__import__.product_8219985,E
__import__.product_8240465,E
__import__.product_8240502,E
__import__.product_8243699,E
__import__.product_8373723,E
__import__.product_0452789,G
__import__.product_1039890,G
__import__.product_1039900,G
__import__.product_1500502,G
__import__.product_1616333,G
__import__.product_2417483,G
__import__.product_2552206,G
__import__.product_3718962,G
__import__.product_3718970,G
__import__.product_3718988,G
__import__.product_3718996,G
__import__.product_3733953,G
__import__.product_3733961,G
__import__.product_3748753,G
__import__.product_4667123,G
__import__.product_5016515,G
__import__.product_5032405,G
__import__.product_5432100,G
__import__.product_5437510,G
__import__.product_5438969,G
__import__.product_5610562,G
__import__.product_5690606,G
__import__.product_5690607,G
__import__.product_5840327,G
__import__.product_5840328,G
__import__.product_5840333,G
__import__.product_5840350,G
__import__.product_5924502,G
__import__.product_6729966,G
__import__.product_6868277,G
__import__.product_7595114,G
__import__.product_7764082,G
__import__.product_7764289,G
__import__.product_7764976,G
__import__.product_8237167,G
__import__.product_8286875,G
__import__.product_8293817,G
__import__.product_8296460,G
__import__.product_1395904,Q
__import__.product_5010171,Q
__import__.product_5110000,Q
__import__.product_5266005,Q
__import__.product_7420031,Q
__import__.product_8245882,Q
__import__.product_8269894,Q
