id,life_date,checksum,product_id/id,name
__import__.stock_production_lot_6SV6_2948396,2019-10-31 00:00:00,005,__import__.product_2948396,6SV6
__import__.stock_production_lot_300919_4130002,2019-09-30 00:00:00,015,__import__.product_4130002,300919
__import__.stock_production_lot_LJK575_8012468,2022-07-31 00:00:00,019,__import__.product_8012468,LJK575
__import__.stock_production_lot_MC8GGSP0_5058113,2023-08-31 00:00:00,062,__import__.product_5058113,MC8GGSP0
__import__.stock_production_lot_C875632_5170000,2020-05-31 00:00:00,100,__import__.product_5170000,C875632
__import__.stock_production_lot_V25528_3002912,2020-03-31 00:00:00,100,__import__.product_3002912,V25528
__import__.stock_production_lot_6TC4_2183143,2021-01-31 00:00:00,102,__import__.product_2183143,6TC4
__import__.stock_production_lot_162040135_8030816,2021-07-15 00:00:00,106,__import__.product_8030816,162040135
__import__.stock_production_lot_8F08791_3341872,2020-03-31 00:00:00,106,__import__.product_3341872,8F08791
__import__.stock_production_lot_80312HA_2917037,2021-02-28 00:00:00,107,__import__.product_2917037,80312HA
__import__.stock_production_lot_K08618_8116104,2021-03-31 00:00:00,107,__import__.product_8116104,K08618
__import__.stock_production_lot_177253E_7762262,2019-04-16 00:00:00,109,__import__.product_7762262,177253E
__import__.stock_production_lot_6J30A1_6979350,2019-10-31 00:00:00,109,__import__.product_6979350,6J30A1
__import__.stock_production_lot_70804AA_2789030,2021-07-31 00:00:00,110,__import__.product_2789030,70804AA
__import__.stock_production_lot_310819_5821807,2019-08-31 00:00:00,111,__import__.product_5821807,310819
__import__.stock_production_lot_KP0CU7F_1155748,2023-01-31 00:00:00,111,__import__.product_1155748,KP0CU7F
__import__.stock_production_lot_311019_1230063,2019-10-31 00:00:00,113,__import__.product_1230063,311019
__import__.stock_production_lot_300619_5196063,2019-06-30 00:00:00,115,__import__.product_5196063,300619
__import__.stock_production_lot_71F18D2061_8031661,2023-04-30 00:00:00,115,__import__.product_8031661,71F18D2061
__import__.stock_production_lot_800504289_2543073,2023-06-30 00:00:00,116,__import__.product_2543073,800504289
__import__.stock_production_lot_0150318_5512016,2021-03-31 00:00:00,117,__import__.product_5512016,0150318
__import__.stock_production_lot_44719_5165001,2021-01-31 00:00:00,117,__import__.product_5165001,44719
__import__.stock_production_lot_170219_1005520,2019-02-17 00:00:00,118,__import__.product_1005520,170219
__import__.stock_production_lot_61428605_8379163,2021-03-31 00:00:00,119,__import__.product_8379163,61428605
__import__.stock_production_lot_8C0224B_6886016,2020-01-17 00:00:00,122,__import__.product_6886016,8C0224B
__import__.stock_production_lot_8F00731_3086147,2020-01-31 00:00:00,124,__import__.product_3086147,8F00731
__import__.stock_production_lot_11117184_6819273,2019-09-30 00:00:00,125,__import__.product_6819273,11117184
__import__.stock_production_lot_6SW3_0254680,2020-03-31 00:00:00,125,__import__.product_0254680,6SW3
__import__.stock_production_lot_C218086_2961043,2020-03-31 00:00:00,126,__import__.product_2961043,C218086
__import__.stock_production_lot_F1802405_2073088,2020-01-31 00:00:00,126,__import__.product_2073088,F1802405
__import__.stock_production_lot_261804O_5101624,2023-04-30 00:00:00,127,__import__.product_5101624,261804O
__import__.stock_production_lot_6SJ9_3381829,2020-02-28 00:00:00,127,__import__.product_3381829,6SJ9
__import__.stock_production_lot_310719_2872505,2019-07-31 00:00:00,128,__import__.product_2872505,310719
__import__.stock_production_lot_8C0009G_2176089,2020-01-04 00:00:00,129,__import__.product_2176089,8C0009G
__import__.stock_production_lot_173420106_8030822,2022-11-30 00:00:00,130,__import__.product_8030822,173420106
__import__.stock_production_lot_311019_4006022,2019-10-31 00:00:00,130,__import__.product_4006022,311019
__import__.stock_production_lot_300619_4140006,2019-06-30 00:00:00,131,__import__.product_4140006,300619
__import__.stock_production_lot_310719_3563178,2019-07-31 00:00:00,131,__import__.product_3563178,310719
__import__.stock_production_lot_B140730_2379782,2020-02-28 00:00:00,131,__import__.product_2379782,B140730
__import__.stock_production_lot_17114_8238787,2018-11-30 00:00:00,132,__import__.product_8238787,17114
