id,name/id,sequence,price,product_tmpl_id/id,min_qty_sale,product_code
__import__.supplierinfo_60422-3748753,__import__.supplier_60422,100,44.58,__import__.product_3748753_product_template,1,034615
__import__.supplierinfo_61920-519084,__import__.supplier_61920,100,9.89,__import__.product_519084_product_template,1,H084
__import__.supplierinfo_61920-5192080,__import__.supplier_61920,100,46.79,__import__.product_5192080_product_template,1,H080
__import__.supplierinfo_61920-5192081,__import__.supplier_61920,100,5.57,__import__.product_5192081_product_template,1,H081
__import__.supplierinfo_61920-5192084,__import__.supplier_61920,100,9.89,__import__.product_5192084_product_template,1,H084
__import__.supplierinfo_61920-5192085,__import__.supplier_61920,100,11.54,__import__.product_5192085_product_template,1,H085
__import__.supplierinfo_61920-5192089,__import__.supplier_61920,100,22.49,__import__.product_5192089_product_template,1,H089
__import__.supplierinfo_62779-4667123,__import__.supplier_62779,100,4.25,__import__.product_4667123_product_template,1,4667123
__import__.supplierinfo_62805-5505007,__import__.supplier_62805,100,52.15,__import__.product_5505007_product_template,1,2IN012001
__import__.supplierinfo_63984-6859947,__import__.supplier_63984,100,66.50,__import__.product_6859947_product_template,1,
__import__.supplierinfo_65000-5508061,__import__.supplier_65000,100,174.30,__import__.product_5508061_product_template,1,8061
__import__.supplierinfo_65000-5509072,__import__.supplier_65000,100,0,__import__.product_5509072_product_template,1,
__import__.supplierinfo_65000-5509181,__import__.supplier_65000,100,181.30,__import__.product_5509181_product_template,1,9181
__import__.supplierinfo_66008-3718962,__import__.supplier_66008,100,9.72,__import__.product_3718962_product_template,1,
__import__.supplierinfo_66008-3718970,__import__.supplier_66008,100,10.65,__import__.product_3718970_product_template,1,
__import__.supplierinfo_66008-3718988,__import__.supplier_66008,100,10.42,__import__.product_3718988_product_template,1,
__import__.supplierinfo_66008-3718996,__import__.supplier_66008,100,9.35,__import__.product_3718996_product_template,1,
__import__.supplierinfo_66008-3733953,__import__.supplier_66008,100,10.61,__import__.product_3733953_product_template,1,
__import__.supplierinfo_66008-3733961,__import__.supplier_66008,100,10.22,__import__.product_3733961_product_template,1,
__import__.supplierinfo_66008-5473304,__import__.supplier_66008,100,122.94,__import__.product_5473304_product_template,1,VCP304H
__import__.supplierinfo_66906-5690606,__import__.supplier_66906,100,34.90,__import__.product_5690606_product_template,1,
__import__.supplierinfo_66906-5690607,__import__.supplier_66906,100,64.90,__import__.product_5690607_product_template,1,
__import__.supplierinfo_69124-5453068,__import__.supplier_69124,100,4000.00,__import__.product_5453068_product_template,1,AGVE-68HQ
__import__.supplierinfo_70312-5800038,__import__.supplier_70312,100,18.99,__import__.product_5800038_product_template,1,98-09459-01
__import__.supplierinfo_73626-5047301,__import__.supplier_73626,100,42.49,__import__.product_5047301_product_template,1,356694
