id,date_end
__import__.supplierinfo_promo_60422-1182567-20180601,2018-07-31
__import__.supplierinfo_promo_60422-1421825-20180601,2018-07-31
__import__.supplierinfo_promo_60422-1423763-20180601,2018-07-31
__import__.supplierinfo_promo_60422-1623818-20180601,2018-07-31
__import__.supplierinfo_promo_60422-2382729-20180601,2018-07-31
__import__.supplierinfo_promo_60422-2382737-20180601,2018-07-31
__import__.supplierinfo_promo_60422-2630929-20180601,2018-07-31
__import__.supplierinfo_promo_60422-2725711-20180601,2018-07-31
__import__.supplierinfo_promo_60422-2881548-20180601,2018-07-31
__import__.supplierinfo_promo_60422-3028149-20180601,2018-07-31
__import__.supplierinfo_promo_60422-3152659-20180601,2018-07-31
__import__.supplierinfo_promo_60422-3152667-20180601,2018-07-31
__import__.supplierinfo_promo_60422-3168150-20180601,2018-07-31
__import__.supplierinfo_promo_60422-3271863-20180601,2018-07-31
__import__.supplierinfo_promo_60422-3367612-20180601,2018-07-31
__import__.supplierinfo_promo_60422-3458536-20180601,2018-07-31
__import__.supplierinfo_promo_60422-3562154-20180601,2018-07-31
__import__.supplierinfo_promo_60422-3562162-20180601,2018-07-31
__import__.supplierinfo_promo_60422-5044142-20180601,2018-07-31
__import__.supplierinfo_promo_60422-5044143-20180601,2018-07-31
__import__.supplierinfo_promo_60422-5044144-20180601,2018-07-31
__import__.supplierinfo_promo_60422-8097275-20180601,2018-07-31
__import__.supplierinfo_promo_62600-1122118-20180501,2018-07-31
__import__.supplierinfo_promo_62600-1122126-20180501,2018-07-31
__import__.supplierinfo_promo_62600-1255058-20180501,2018-07-31
__import__.supplierinfo_promo_62600-1357201-20180601,2018-07-31
__import__.supplierinfo_promo_62600-1357219-20180601,2018-07-31
__import__.supplierinfo_promo_62600-1770510-20180601,2018-07-31
__import__.supplierinfo_promo_62600-1770528-20180601,2018-07-31
__import__.supplierinfo_promo_62600-1770536-20180501,2018-07-31
__import__.supplierinfo_promo_62600-1770569-20180601,2018-07-31
__import__.supplierinfo_promo_62600-2087054-20180601,2018-07-31
__import__.supplierinfo_promo_62600-2087062-20180601,2018-07-31
__import__.supplierinfo_promo_62600-2087070-20180601,2018-07-31
__import__.supplierinfo_promo_62600-2087088-20180601,2018-07-31
__import__.supplierinfo_promo_62600-2247856-20180601,2018-07-31
__import__.supplierinfo_promo_62600-2247872-20180601,2018-07-31
__import__.supplierinfo_promo_62600-2247898-20180601,2018-07-31
__import__.supplierinfo_promo_62600-2457729-20180401,2018-07-31
__import__.supplierinfo_promo_62600-2457745-20180401,2018-07-31
__import__.supplierinfo_promo_62600-2457752-20180401,2018-07-31
__import__.supplierinfo_promo_62600-2457760-20180401,2018-07-31
__import__.supplierinfo_promo_62600-2656759-20180501,2018-07-31
__import__.supplierinfo_promo_62600-2764090-20180601,2018-07-31
__import__.supplierinfo_promo_62600-2764108-20180601,2018-07-31
__import__.supplierinfo_promo_62600-2764116-20180601,2018-07-31
__import__.supplierinfo_promo_62600-2764124-20180601,2018-07-31
__import__.supplierinfo_promo_62600-2885481-20180601,2018-07-31
__import__.supplierinfo_promo_62600-2885499-20180601,2018-07-31
__import__.supplierinfo_promo_62600-3162302-20180601,2018-07-31
__import__.supplierinfo_promo_62600-3162310-20180601,2018-08-31
__import__.supplierinfo_promo_62600-3162328-20180601,2018-07-31
__import__.supplierinfo_promo_62600-3162336-20180601,2018-07-31
__import__.supplierinfo_promo_62600-3676178-20180301,2018-07-31
__import__.supplierinfo_promo_62600-5260048-20180501,2018-07-31
__import__.supplierinfo_promo_62600-5260049-20180501,2018-07-31
__import__.supplierinfo_promo_62600-6260026-20180601,2018-07-31
__import__.supplierinfo_promo_62758-2251858-20180501,2018-06-21
__import__.supplierinfo_promo_62758-2251866-20180501,2018-06-21
__import__.supplierinfo_promo_62758-2251874-20180501,2018-06-21
__import__.supplierinfo_promo_62758-2251882-20180501,2018-06-21
__import__.supplierinfo_promo_66008-1635598-20180605,2018-08-31
__import__.supplierinfo_promo_66008-2573434-20180401,2018-09-30
__import__.supplierinfo_promo_66008-2725166-20170801,2018-09-30
__import__.supplierinfo_promo_66008-2725216-20170801,2018-09-30
__import__.supplierinfo_promo_66008-2828440-20170401,2018-09-30
__import__.supplierinfo_promo_66008-2876597-20180101,2018-09-30
__import__.supplierinfo_promo_66008-2876605-20180101,2018-09-30
__import__.supplierinfo_promo_66008-3154754-20180401,2018-09-30
__import__.supplierinfo_promo_66008-3364395-20180101,2018-09-30
__import__.supplierinfo_promo_66008-3426970-20180401,2018-09-30
__import__.supplierinfo_promo_66008-3426988-20180401,2018-09-30
__import__.supplierinfo_promo_66008-3426996-20180401,2018-09-30
__import__.supplierinfo_promo_66008-3427002-20180401,2018-09-30
__import__.supplierinfo_promo_66008-3606852-20180401,2018-09-30
__import__.supplierinfo_promo_66008-3606860-20180401,2018-09-30
__import__.supplierinfo_promo_66008-3606878-20180401,2018-09-30
__import__.supplierinfo_promo_66008-6600860-20140501,2018-09-30
__import__.supplierinfo_promo_66008-6600861-20140501,2018-09-30
__import__.supplierinfo_promo_66200-2061265-20180501,2018-06-13
__import__.supplierinfo_promo_66906-0840892-20180601,2018-07-31
__import__.supplierinfo_promo_66906-1778117-20180501,2018-07-31
__import__.supplierinfo_promo_66906-1778125-20180501,2018-07-31
__import__.supplierinfo_promo_66906-1778141-20180501,2018-07-31
__import__.supplierinfo_promo_66906-1778158-20180501,2018-07-31
__import__.supplierinfo_promo_66906-2249589-20130801,2018-07-31
__import__.supplierinfo_promo_66906-2249597-20141001,2018-07-31
__import__.supplierinfo_promo_66906-2249605-20141001,2018-07-31
__import__.supplierinfo_promo_66906-2249613-20130801,2018-07-31
__import__.supplierinfo_promo_66906-2249621-20130801,2018-07-31
__import__.supplierinfo_promo_66906-2249639-20130801,2018-07-31
__import__.supplierinfo_promo_66906-2281061-20180501,2018-07-31
__import__.supplierinfo_promo_66906-2518827-20130801,2018-07-31
__import__.supplierinfo_promo_66906-2518835-20161101,2018-07-31
__import__.supplierinfo_promo_66906-2543031-20180501,2018-07-31
__import__.supplierinfo_promo_66906-2543049-20180601,2018-07-31
__import__.supplierinfo_promo_66906-2604973-20180601,2018-07-31
__import__.supplierinfo_promo_66906-2658615-20180601,2018-07-31
__import__.supplierinfo_promo_66906-2727253-20180301,2018-07-31
__import__.supplierinfo_promo_66906-2794212-20180501,2018-07-31
__import__.supplierinfo_promo_66906-2837243-20150313,2018-07-31
__import__.supplierinfo_promo_66906-2837250-20180104,2018-07-31
__import__.supplierinfo_promo_66906-2837268-20150313,2018-07-31
__import__.supplierinfo_promo_66906-2853265-20180601,2018-07-31
__import__.supplierinfo_promo_66906-2853273-20180501,2018-07-31
__import__.supplierinfo_promo_66906-2907335-20180501,2018-07-31
__import__.supplierinfo_promo_66906-2919918-20180201,2018-07-31
__import__.supplierinfo_promo_66906-2941029-20180501,2018-07-31
__import__.supplierinfo_promo_66906-2997674-20160201,2018-07-31
__import__.supplierinfo_promo_66906-3022613-20180501,2018-07-31
__import__.supplierinfo_promo_66906-3045580-20180501,2018-07-31
__import__.supplierinfo_promo_66906-3057171-20180117,2018-07-31
__import__.supplierinfo_promo_66906-3078755-20150313,2018-07-31
__import__.supplierinfo_promo_66906-3083763-20150313,2018-07-31
__import__.supplierinfo_promo_66906-3083789-20150313,2018-07-31
__import__.supplierinfo_promo_66906-3085313-20180601,2018-07-31
__import__.supplierinfo_promo_66906-3085321-20180601,2018-07-31
__import__.supplierinfo_promo_66906-3085339-20180601,2018-07-31
__import__.supplierinfo_promo_66906-3267952-20150701,2018-07-31
__import__.supplierinfo_promo_66906-3275609-20180323,2018-07-31
__import__.supplierinfo_promo_66906-3275617-20180323,2018-07-31
__import__.supplierinfo_promo_66906-3277126-20180501,2018-07-31
__import__.supplierinfo_promo_66906-3309184-20180201,2018-07-31
__import__.supplierinfo_promo_66906-3309192-20180201,2018-07-31
__import__.supplierinfo_promo_66906-3309200-20180301,2018-07-31
__import__.supplierinfo_promo_66906-3309218-20180420,2018-07-31
__import__.supplierinfo_promo_66906-3338951-20180601,2018-07-31
__import__.supplierinfo_promo_66906-3479110-20180601,2018-07-31
__import__.supplierinfo_promo_66906-3496551-20180329,2018-07-31
__import__.supplierinfo_promo_66906-3587268-20180319,2018-07-31
__import__.supplierinfo_promo_66906-3641677-20180117,2018-07-31
__import__.supplierinfo_promo_66906-3641909-20171023,2018-07-31
__import__.supplierinfo_promo_66906-3641982-20180308,2018-07-31
__import__.supplierinfo_promo_66906-3679701-20180501,2018-07-31
__import__.supplierinfo_promo_66906-3679719-20180329,2018-07-31
__import__.supplierinfo_promo_66906-3679727-20180319,2018-07-31
__import__.supplierinfo_promo_66906-3686599-20180301,2018-07-31
__import__.supplierinfo_promo_66906-3686607-20180301,2018-07-31
__import__.supplierinfo_promo_66906-3686615-20180301,2018-07-31
__import__.supplierinfo_promo_66906-3686623-20180301,2018-07-31
__import__.supplierinfo_promo_66906-3687498-20180301,2018-07-31
__import__.supplierinfo_promo_66906-5420004-20180501,2018-07-31
__import__.supplierinfo_promo_66906-5690602-20161001,2018-07-31
__import__.supplierinfo_promo_68234-2214930-20180601,2018-07-31
__import__.supplierinfo_promo_68234-5823403-20180601,2018-07-31
__import__.supplierinfo_promo_68234-5823404-20180601,2018-07-31
__import__.supplierinfo_promo_68234-5823405-20180601,2018-07-31
__import__.supplierinfo_promo_77602-1484047-20170901,2018-07-31
__import__.supplierinfo_promo_77602-1484054-20170901,2018-07-31
__import__.supplierinfo_promo_77602-2849073-20180601,2018-07-31
__import__.supplierinfo_promo_77602-2849081-20180601,2018-07-31
__import__.supplierinfo_promo_77602-2849354-20180601,2018-07-31
__import__.supplierinfo_promo_77602-2924850-20140101,2018-07-31
__import__.supplierinfo_promo_77602-2924868-20140101,2018-07-31
__import__.supplierinfo_promo_77602-2924892-20150101,2018-07-31
__import__.supplierinfo_promo_77602-2924900-20140101,2018-07-31
__import__.supplierinfo_promo_77602-2924934-20140101,2018-07-31
__import__.supplierinfo_promo_77602-3508181-20180601,2018-07-31
__import__.supplierinfo_promo_77602-3550506-20180601,2018-07-31
__import__.supplierinfo_promo_77602-7760217-20180601,2018-07-31
__import__.supplierinfo_promo_77602-7760218-20180601,2018-07-31
__import__.supplierinfo_promo_79100-0830679-20180101,2018-09-30
__import__.supplierinfo_promo_79100-1067768-20180101,2018-09-30
__import__.supplierinfo_promo_79100-1202225-20180101,2018-09-30
