id,ratio_main_product,date_start,name/id,ratio_promotional_product,sequence,price,product_tmpl_id/id,min_qty_sale,discount_sale,date_end,product_code,discount_purchase
__import__.supplierinfo_promo_67530-1058010-20180612,0,2018-06-12,__import__.supplier_67530,0,1,8.83,__import__.product_1058010_product_template,1,15.00,2018-06-30,227684,15.00
__import__.supplierinfo_promo_83300-0874131-20180614,0,2018-06-14,__import__.supplier_83300,0,1,25.03,__import__.product_0874131_product_template,1,10.00,2018-06-30,,10.00
__import__.supplierinfo_promo_66200-2061265-20180614,0,2018-06-14,__import__.supplier_66200,0,1,56.96,__import__.product_2061265_product_template,1,15.00,2018-06-30,811518,15.00
__import__.supplierinfo_promo_79000-7628486-20180625,0,2018-06-25,__import__.supplier_79000,0,1,16.64,__import__.product_7628486_product_template,1,10.00,2018-06-30,TSK-01,10.00
__import__.supplierinfo_promo_77603-1203181-20180601,4,2018-06-01,__import__.supplier_77603,1,1,8.20,__import__.product_1203181_product_template,1,0,2018-07-31,,0
__import__.supplierinfo_promo_77603-1206895-20180601,4,2018-06-01,__import__.supplier_77603,1,1,13.92,__import__.product_1206895_product_template,1,0,2018-07-31,,0
__import__.supplierinfo_promo_77603-1623776-20180601,4,2018-06-01,__import__.supplier_77603,1,1,12.98,__import__.product_1623776_product_template,1,0,2018-07-31,,0
__import__.supplierinfo_promo_66906-3587250-20180601,0,2018-06-01,__import__.supplier_66906,0,1,14.00,__import__.product_3587250_product_template,1,15.00,2018-07-31,BE-V483057,15.00
__import__.supplierinfo_promo_60422-3748753-20180620,0,2018-06-20,__import__.supplier_60422,0,1,44.58,__import__.product_3748753_product_template,1,10.00,2018-07-31,034615,10.00
__import__.supplierinfo_promo_60422-2582823-20180701,0,2018-07-01,__import__.supplier_60422,0,1,55.09,__import__.product_2582823_product_template,1,10.00,2018-07-31,034010,10.00
__import__.supplierinfo_promo_60422-2859346-20180701,0,2018-07-01,__import__.supplier_60422,0,1,21.47,__import__.product_2859346_product_template,1,10.00,2018-07-31,034013,10.00
__import__.supplierinfo_promo_60422-2859353-20180701,0,2018-07-01,__import__.supplier_60422,0,1,108.84,__import__.product_2859353_product_template,1,10.00,2018-07-31,034014,10.00
__import__.supplierinfo_promo_60422-2879526-20180701,0,2018-07-01,__import__.supplier_60422,0,1,16.96,__import__.product_2879526_product_template,1,10.00,2018-07-31,033625,10.00
__import__.supplierinfo_promo_60422-2879534-20180701,0,2018-07-01,__import__.supplier_60422,0,1,24.08,__import__.product_2879534_product_template,1,10.00,2018-07-31,033571,10.00
__import__.supplierinfo_promo_60422-2879542-20180701,0,2018-07-01,__import__.supplier_60422,0,1,40.64,__import__.product_2879542_product_template,1,10.00,2018-07-31,033954,10.00
__import__.supplierinfo_promo_60422-2879559-20180701,0,2018-07-01,__import__.supplier_60422,0,1,61.21,__import__.product_2879559_product_template,1,10.00,2018-07-31,033955,10.00
__import__.supplierinfo_promo_60422-2954436-20180701,0,2018-07-01,__import__.supplier_60422,0,1,27.46,__import__.product_2954436_product_template,1,10.00,2018-07-31,033598,10.00
__import__.supplierinfo_promo_60422-2954444-20180701,0,2018-07-01,__import__.supplier_60422,0,1,43.55,__import__.product_2954444_product_template,1,10.00,2018-07-31,033588,10.00
__import__.supplierinfo_promo_60422-3122465-20180701,0,2018-07-01,__import__.supplier_60422,0,1,69.69,__import__.product_3122465_product_template,1,10.00,2018-07-31,033442,10.00
__import__.supplierinfo_promo_60422-3362068-20180701,0,2018-07-01,__import__.supplier_60422,0,1,23.28,__import__.product_3362068_product_template,1,10.00,2018-07-31,033669,10.00
__import__.supplierinfo_promo_62600-2210987-20180701,0,2018-07-01,__import__.supplier_62600,0,1,16.77,__import__.product_2210987_product_template,1,10.00,2018-07-31,4322863,10.00
__import__.supplierinfo_promo_62600-2549418-20180701,0,2018-07-01,__import__.supplier_62600,0,1,58.92,__import__.product_2549418_product_template,1,10.00,2018-07-31,81459232,10.00
__import__.supplierinfo_promo_62600-2582757-20180701,0,2018-07-01,__import__.supplier_62600,0,1,35.28,__import__.product_2582757_product_template,1,10.00,2018-07-31,81795860,10.00
__import__.supplierinfo_promo_66008-6600827-20180701,0,2018-07-01,__import__.supplier_66008,0,1,71.00,__import__.product_6600827_product_template,1,10.00,2018-07-31,1541085,10.00
__import__.supplierinfo_promo_66008-6600890-20180701,0,2018-07-01,__import__.supplier_66008,0,1,44.30,__import__.product_6600890_product_template,1,10.00,2018-07-31,1616267,10.00
__import__.supplierinfo_promo_66200-5620000-20180701,0,2018-07-01,__import__.supplier_66200,0,1,50.65,__import__.product_5620000_product_template,1,10.00,2018-07-31,,10.00
__import__.supplierinfo_promo_66200-7505842-20180701,0,2018-07-01,__import__.supplier_66200,0,1,22.78,__import__.product_7505842_product_template,1,10.00,2018-07-31,,10.00
__import__.supplierinfo_promo_66906-1371939-20180701,0,2018-07-01,__import__.supplier_66906,0,1,14.36,__import__.product_1371939_product_template,1,10.00,2018-07-31,,10.00
__import__.supplierinfo_promo_66906-1761832-20180701,0,2018-07-01,__import__.supplier_66906,0,1,59.49,__import__.product_1761832_product_template,1,10.00,2018-07-31,,10.00
__import__.supplierinfo_promo_66906-2604965-20180701,0,2018-07-01,__import__.supplier_66906,0,1,3.10,__import__.product_2604965_product_template,1,10.00,2018-07-31,,10.00
__import__.supplierinfo_promo_66906-2604981-20180701,0,2018-07-01,__import__.supplier_66906,0,1,8.56,__import__.product_2604981_product_template,1,10.00,2018-07-31,,10.00
__import__.supplierinfo_promo_66906-3007945-20180701,0,2018-07-01,__import__.supplier_66906,0,1,8.78,__import__.product_3007945_product_template,1,10.00,2018-07-31,,10.00
__import__.supplierinfo_promo_66906-3277142-20180701,0,2018-07-01,__import__.supplier_66906,0,1,5.63,__import__.product_3277142_product_template,1,10.00,2018-07-31,,10.00
__import__.supplierinfo_promo_66906-3277159-20180701,0,2018-07-01,__import__.supplier_66906,0,1,14.06,__import__.product_3277159_product_template,1,10.00,2018-07-31,,10.00
__import__.supplierinfo_promo_66906-3277175-20180701,0,2018-07-01,__import__.supplier_66906,0,1,17.31,__import__.product_3277175_product_template,1,10.00,2018-07-31,,10.00
__import__.supplierinfo_promo_66906-3277191-20180701,0,2018-07-01,__import__.supplier_66906,0,1,17.31,__import__.product_3277191_product_template,1,10.00,2018-07-31,,10.00
__import__.supplierinfo_promo_66906-3455862-20180701,0,2018-07-01,__import__.supplier_66906,0,1,9.63,__import__.product_3455862_product_template,1,10.00,2018-07-31,,10.00
__import__.supplierinfo_promo_66906-3455870-20180701,0,2018-07-01,__import__.supplier_66906,0,1,10.76,__import__.product_3455870_product_template,1,10.00,2018-07-31,,10.00
__import__.supplierinfo_promo_68234-2811453-20180701,0,2018-07-01,__import__.supplier_68234,0,1,101.42,__import__.product_2811453_product_template,1,10.00,2018-07-31,,10.00
__import__.supplierinfo_promo_68250-5822147-20180701,0,2018-07-01,__import__.supplier_68250,0,1,15.19,__import__.product_5822147_product_template,1,10.00,2018-07-31,2147U,10.00
__import__.supplierinfo_promo_68250-5822148-20180701,0,2018-07-01,__import__.supplier_68250,0,1,32.68,__import__.product_5822148_product_template,1,10.00,2018-07-31,2148R,10.00
__import__.supplierinfo_promo_73940-5115820-20180701,0,2018-07-01,__import__.supplier_73940,0,1,2.12,__import__.product_5115820_product_template,1,10.00,2018-07-31,RUMI C3.,10.00
__import__.supplierinfo_promo_73940-5394005-20180701,0,2018-07-01,__import__.supplier_73940,0,1,15.78,__import__.product_5394005_product_template,1,10.00,2018-07-31,C FOR ENERGIE C,10.00
__import__.supplierinfo_promo_77602-1684364-20180701,0,2018-07-01,__import__.supplier_77602,0,1,8.41,__import__.product_1684364_product_template,1,10.00,2018-07-31,2304,10.00
__import__.supplierinfo_promo_77602-1684372-20180701,0,2018-07-01,__import__.supplier_77602,0,1,11.98,__import__.product_1684372_product_template,1,10.00,2018-07-31,2305,10.00
__import__.supplierinfo_promo_77602-2049153-20180701,0,2018-07-01,__import__.supplier_77602,0,1,31.40,__import__.product_2049153_product_template,1,10.00,2018-07-31,,10.00
__import__.supplierinfo_promo_77602-3113776-20180701,0,2018-07-01,__import__.supplier_77602,0,1,9.75,__import__.product_3113776_product_template,1,10.00,2018-07-31,432966,10.00
__import__.supplierinfo_promo_79100-1183375-20180701,0,2018-07-01,__import__.supplier_79100,0,1,25.89,__import__.product_1183375_product_template,1,10.00,2018-07-31,801360L,10.00
__import__.supplierinfo_promo_79201-1013127-20180701,0,2018-07-01,__import__.supplier_79201,0,1,99.44,__import__.product_1013127_product_template,1,10.00,2018-07-31,1013127,10.00
__import__.supplierinfo_promo_79201-1013143-20180701,0,2018-07-01,__import__.supplier_79201,0,1,118.59,__import__.product_1013143_product_template,1,10.00,2018-07-31,1013143,10.00
__import__.supplierinfo_promo_79201-1148394-20180701,0,2018-07-01,__import__.supplier_79201,0,1,7.65,__import__.product_1148394_product_template,1,10.00,2018-07-31,,10.00
__import__.supplierinfo_promo_79201-1182534-20180701,0,2018-07-01,__import__.supplier_79201,0,1,87.94,__import__.product_1182534_product_template,1,10.00,2018-07-31,,10.00
__import__.supplierinfo_promo_79201-2271096-20180701,0,2018-07-01,__import__.supplier_79201,0,1,4.42,__import__.product_2271096_product_template,1,10.00,2018-07-31,,10.00
__import__.supplierinfo_promo_79201-2271104-20180701,0,2018-07-01,__import__.supplier_79201,0,1,8.58,__import__.product_2271104_product_template,1,10.00,2018-07-31,,10.00
__import__.supplierinfo_promo_79201-2271112-20180701,0,2018-07-01,__import__.supplier_79201,0,1,12.95,__import__.product_2271112_product_template,1,10.00,2018-07-31,,10.00
__import__.supplierinfo_promo_79201-2329571-20180701,0,2018-07-01,__import__.supplier_79201,0,1,231.06,__import__.product_2329571_product_template,1,10.00,2018-07-31,,10.00
__import__.supplierinfo_promo_79201-2329589-20180701,0,2018-07-01,__import__.supplier_79201,0,1,25.45,__import__.product_2329589_product_template,1,10.00,2018-07-31,,10.00
__import__.supplierinfo_promo_79201-2329605-20180701,0,2018-07-01,__import__.supplier_79201,0,1,43.37,__import__.product_2329605_product_template,1,10.00,2018-07-31,,10.00
__import__.supplierinfo_promo_79201-2853240-20180701,0,2018-07-01,__import__.supplier_79201,0,1,16.60,__import__.product_2853240_product_template,1,10.00,2018-07-31,310225,10.00
__import__.supplierinfo_promo_79201-2853257-20180701,0,2018-07-01,__import__.supplier_79201,0,1,72.70,__import__.product_2853257_product_template,1,10.00,2018-07-31,,10.00
__import__.supplierinfo_promo_79201-2853299-20180701,0,2018-07-01,__import__.supplier_79201,0,1,21.93,__import__.product_2853299_product_template,1,10.00,2018-07-31,310198,10.00
__import__.supplierinfo_promo_82670-2648962-20180701,0,2018-07-01,__import__.supplier_82670,0,1,22.67,__import__.product_2648962_product_template,1,10.00,2018-07-31,,10.00
__import__.supplierinfo_promo_82670-2901205-20180701,0,2018-07-01,__import__.supplier_82670,0,1,10.75,__import__.product_2901205_product_template,1,10.00,2018-07-31,,10.00
__import__.supplierinfo_promo_82670-2992808-20180701,0,2018-07-01,__import__.supplier_82670,0,1,13.87,__import__.product_2992808_product_template,1,10.00,2018-07-31,,10.00
__import__.supplierinfo_promo_82670-3282506-20180701,0,2018-07-01,__import__.supplier_82670,0,1,15.36,__import__.product_3282506_product_template,1,10.00,2018-07-31,,10.00
__import__.supplierinfo_promo_82701-2749299-20180701,0,2018-07-01,__import__.supplier_82701,0,1,12.76,__import__.product_2749299_product_template,1,10.00,2018-07-31,,10.00
__import__.supplierinfo_promo_82701-2797249-20180701,0,2018-07-01,__import__.supplier_82701,0,1,8.22,__import__.product_2797249_product_template,1,10.00,2018-07-31,,10.00
__import__.supplierinfo_promo_82701-3094307-20180701,0,2018-07-01,__import__.supplier_82701,0,1,6.06,__import__.product_3094307_product_template,1,10.00,2018-07-31,HEPATO250,10.00
__import__.supplierinfo_promo_82701-3094752-20180701,0,2018-07-01,__import__.supplier_82701,0,1,98.52,__import__.product_3094752_product_template,1,10.00,2018-07-31,,10.00
__import__.supplierinfo_promo_82701-3254570-20180701,0,2018-07-01,__import__.supplier_82701,0,1,12.80,__import__.product_3254570_product_template,1,10.00,2018-07-31,LINSPEC1,10.00
__import__.supplierinfo_promo_82701-3254588-20180701,0,2018-07-01,__import__.supplier_82701,0,1,21.90,__import__.product_3254588_product_template,1,10.00,2018-07-31,LINSPEC2,10.00
__import__.supplierinfo_promo_82701-5994481-20180701,0,2018-07-01,__import__.supplier_82701,0,1,23.46,__import__.product_5994481_product_template,1,10.00,2018-07-31,ORALADE,10.00
__import__.supplierinfo_promo_82701-8270026-20180701,0,2018-07-01,__import__.supplier_82701,0,1,2.51,__import__.product_8270026_product_template,1,10.00,2018-07-31,ALUSPRAY,10.00
__import__.supplierinfo_promo_82701-8270032-20180701,0,2018-07-01,__import__.supplier_82701,0,1,2.91,__import__.product_8270032_product_template,1,10.00,2018-07-31,OXYTO5,10.00
__import__.supplierinfo_promo_82701-8270033-20180701,0,2018-07-01,__import__.supplier_82701,0,1,4.29,__import__.product_8270033_product_template,1,10.00,2018-07-31,,10.00
__import__.supplierinfo_promo_82701-8270059-20180701,0,2018-07-01,__import__.supplier_82701,0,1,12.25,__import__.product_8270059_product_template,1,10.00,2018-07-31,RETARD2,10.00
