id,property_delivery_carrier_id/id
__import__.customer_3256,__setup__.deliver_carrier_alcyon
__import__.customer_4615,__setup__.deliver_carrier_alcyon
__import__.customer_5327,__setup__.deliver_carrier_alcyon
__import__.customer_5352,__setup__.deliver_carrier_alcyon
__import__.customer_5376,__setup__.deliver_carrier_alcyon
__import__.customer_5398,__setup__.deliver_carrier_alcyon
__import__.customer_5400,__setup__.deliver_carrier_alcyon
__import__.customer_5416,__setup__.deliver_carrier_alcyon
__import__.customer_5745,__setup__.deliver_carrier_alcyon
__import__.customer_5894,__setup__.deliver_carrier_alcyon
__import__.customer_5896,__setup__.deliver_carrier_alcyon
__import__.customer_5956,__setup__.deliver_carrier_alcyon
__import__.customer_6630,__setup__.deliver_carrier_alcyon
__import__.customer_6672,__setup__.deliver_carrier_alcyon
__import__.customer_6722,__setup__.deliver_carrier_alcyon
__import__.customer_6816,__setup__.deliver_carrier_alcyon
__import__.customer_6826,__setup__.deliver_carrier_alcyon
__import__.customer_6843,__setup__.deliver_carrier_alcyon
__import__.customer_6945,__setup__.deliver_carrier_alcyon
__import__.customer_7082,__setup__.deliver_carrier_alcyon
__import__.customer_7184,__setup__.deliver_carrier_alcyon
__import__.customer_7422,__setup__.deliver_carrier_alcyon
__import__.customer_7752,__setup__.deliver_carrier_alcyon
__import__.customer_7827,__setup__.deliver_carrier_alcyon
__import__.customer_8044,__setup__.deliver_carrier_alcyon
__import__.customer_8237,__setup__.deliver_carrier_alcyon
__import__.customer_8605,__setup__.deliver_carrier_alcyon
