id,bin_checksum_1,bin_checksum_2
__import__.location_loc_AH01A2,40,40
__import__.location_loc_AZ22A1,44,44
__import__.location_loc_GZZ203,87,87
__import__.location_loc_GZZ210,10,10
__import__.location_loc_GZZ220,20,20
__import__.location_loc_GZZ299,83,83
__import__.location_loc_GZZ305,46,46
__import__.location_loc_GZZ306,92,92
__import__.location_loc_GZZ310,82,82
__import__.location_loc_GZZ401,49,49
__import__.location_loc_GZZ402,67,67
__import__.location_loc_GZZ407,67,67
__import__.location_loc_GZZ408,91,91
__import__.location_loc_GZZ502,32,32
__import__.location_loc_GZZ504,20,20
__import__.location_loc_GZZ514,94,94
__import__.location_loc_PK07A1,,
