id,box,kind,name,zone,bin_checksum_1,bin_checksum_2,location_id/id,corridor,shelf,height
__import__.location_loc_EZZ800,00,bin,EZZ800,E,,,__import__.location_family_E,Z,Z,8
__import__.location_loc_EOH101,01,bin,EOH101,E,,,__import__.location_family_E,O,H,1
__import__.location_loc_EXP201,01,bin,EXP201,E,,,__import__.location_family_E,X,P,2
__import__.location_loc_EOH102,02,bin,EOH102,E,,,__import__.location_family_E,O,H,1
__import__.location_loc_EPH002,02,bin,EPH002,E,,,__import__.location_family_E,P,H,0
__import__.location_loc_EOH103,03,bin,EOH103,E,,,__import__.location_family_E,O,H,1
__import__.location_loc_EZZ309,09,bin,EZZ309,E,,,__import__.location_family_E,Z,Z,3
__import__.location_loc_EOI110,10,bin,EOI110,E,,,__import__.location_family_E,O,I,1
__import__.location_loc_EZZ715,15,bin,EZZ715,E,,,__import__.location_family_E,Z,Z,7
__import__.location_loc_EOI121,21,bin,EOI121,E,,,__import__.location_family_E,O,I,1
__import__.location_loc_EZZ421,21,bin,EZZ421,E,,,__import__.location_family_E,Z,Z,4
__import__.location_loc_EZZ621,21,bin,EZZ621,E,,,__import__.location_family_E,Z,Z,6
__import__.location_loc_EOI122,22,bin,EOI122,E,,,__import__.location_family_E,O,I,1
__import__.location_loc_EXT625,25,bin,EXT625,E,,,__import__.location_family_E,X,T,6
__import__.location_loc_EZZ425,25,bin,EZZ425,E,,,__import__.location_family_E,Z,Z,4
__import__.location_loc_EZZ431,31,bin,EZZ431,E,,,__import__.location_family_E,Z,Z,4
__import__.location_loc_EZZ338,38,bin,EZZ338,E,,,__import__.location_family_E,Z,Z,3
__import__.location_loc_EZZ251,51,bin,EZZ251,E,,,__import__.location_family_E,Z,Z,2
__import__.location_loc_EZZ152,52,bin,EZZ152,E,,,__import__.location_family_E,Z,Z,1
__import__.location_loc_EZZ457,57,bin,EZZ457,E,,,__import__.location_family_E,Z,Z,4
__import__.location_loc_EZZ267,67,bin,EZZ267,E,,,__import__.location_family_E,Z,Z,2
__import__.location_loc_EZZ278,78,bin,EZZ278,E,,,__import__.location_family_E,Z,Z,2
__import__.location_loc_EZZ279,79,bin,EZZ279,E,,,__import__.location_family_E,Z,Z,2
__import__.location_loc_EZZ685,85,bin,EZZ685,E,,,__import__.location_family_E,Z,Z,6
__import__.location_loc_EZZ295,95,bin,EZZ295,E,,,__import__.location_family_E,Z,Z,2
__import__.location_loc_AZ22C8,8,bin,AZ22C8,A,03,03,__import__.location_family_A,Z,22,C
__import__.location_loc_GK15B1,1,bin,GK15B1,G,05,05,__import__.location_family_G,K,15,B
__import__.location_loc_GD24F7,7,bin,GD24F7,G,07,07,__import__.location_family_G,D,24,F
__import__.location_loc_GD32B7,7,bin,GD32B7,G,10,10,__import__.location_family_G,D,32,B
__import__.location_loc_GZZ140,40,bin,GZZ140,G,12,12,__import__.location_family_G,Z,Z,1
__import__.location_loc_AZ22A4,4,bin,AZ22A4,A,14,14,__import__.location_family_A,Z,22,A
__import__.location_loc_GZZ218,18,bin,GZZ218,G,18,18,__import__.location_family_G,Z,Z,2
__import__.location_loc_GD29C7,7,bin,GD29C7,G,22,22,__import__.location_family_G,D,29,C
__import__.location_loc_GZZ705,05,bin,GZZ705,G,23,23,__import__.location_family_G,Z,Z,7
__import__.location_loc_QZZ323,23,bin,QZZ323,Q,23,23,__import__.location_family_Q,Z,Z,3
__import__.location_loc_AZ22B3,3,bin,AZ22B3,A,23,23,__import__.location_family_A,Z,22,B
__import__.location_loc_GZZ005,05,bin,GZZ005,G,24,24,__import__.location_family_G,Z,Z,0
__import__.location_loc_AZ22B4,4,bin,AZ22B4,A,24,24,__import__.location_family_A,Z,22,B
__import__.location_loc_QZZ881,81,bin,QZZ881,Q,24,24,__import__.location_family_Q,Z,Z,8
__import__.location_loc_AZ22B6,6,bin,AZ22B6,A,26,26,__import__.location_family_A,Z,22,B
__import__.location_loc_GH07D6,6,bin,GH07D6,G,28,28,__import__.location_family_G,H,07,D
__import__.location_loc_AZ22C1,1,bin,AZ22C1,A,29,29,__import__.location_family_A,Z,22,C
__import__.location_loc_GF17E5,5,bin,GF17E5,G,31,31,__import__.location_family_G,F,17,E
__import__.location_loc_GF26A1,1,bin,GF26A1,G,32,32,__import__.location_family_G,F,26,A
__import__.location_loc_AZ22C2,2,bin,AZ22C2,A,32,32,__import__.location_family_A,Z,22,C
__import__.location_loc_AZ22C3,3,bin,AZ22C3,A,33,33,__import__.location_family_A,Z,22,C
__import__.location_loc_GK18F2,2,bin,GK18F2,G,34,34,__import__.location_family_G,K,18,F
__import__.location_loc_AZ22C5,5,bin,AZ22C5,A,35,35,__import__.location_family_A,Z,22,C
__import__.location_loc_GB01C6,6,bin,GB01C6,G,36,36,__import__.location_family_G,B,01,C
__import__.location_loc_GE03D8,8,bin,GE03D8,G,36,36,__import__.location_family_G,E,03,D
__import__.location_loc_GC15D1,1,bin,GC15D1,G,37,37,__import__.location_family_G,C,15,D
__import__.location_loc_QZZ400,00,bin,QZZ400,Q,42,42,__import__.location_family_Q,Z,Z,4
__import__.location_loc_QZZ176,76,bin,QZZ176,Q,66,66,__import__.location_family_Q,Z,Z,1
__import__.location_loc_AH10A5,5,bin,AH10A5,A,78,78,__import__.location_family_A,H,10,A
__import__.location_loc_GZZ286,86,bin,GZZ286,G,86,86,__import__.location_family_G,Z,Z,2
__import__.location_loc_GD19A2,2,bin,GD19A2,G,92,92,__import__.location_family_G,D,19,A
__import__.location_loc_GC02A7,7,bin,GC02A7,G,97,97,__import__.location_family_G,C,02,A
