id,indicated_price,standard_price,list_price
__import__.product_2586717,90.79,51.33,59.07
__import__.product_3131679,161.96,91.57,105.37
__import__.product_6708935,9.52,4.95,6.19
__import__.product_6745008,11.71,6.09,7.62
__import__.product_6784592,219.00,113.98,142.48
__import__.product_6833416,562.44,292.74,365.93
__import__.product_6848553,27.08,14.09,17.62
__import__.product_6861163,22.31,11.61,14.52
__import__.product_6993752,24.63,12.82,16.03
__import__.product_7640240,48.82,22.26,27.83
__import__.product_8079805,86.61,45.08,56.35
