id,orderpoint_min,orderpoint_max
__import__.product_1691716,6.0,12.0
__import__.product_2246536,3100.0,8500.0
__import__.product_2615292,0.0,1.0
__import__.product_3265725,190.0,290.0
__import__.product_3444288,200.0,400.0
__import__.product_3444296,60.0,140.0
__import__.product_3562915,20.0,45.0
__import__.product_3562980,10.0,20.0
__import__.product_3563053,14.0,30.0
__import__.product_4007222,30.0,60.0
__import__.product_4120183,100.0,180.0
__import__.product_4140112,50.0,100.0
__import__.product_4140113,32.0,60.0
__import__.product_4220193,300.0,444.0
__import__.product_5611502,4.0,8.0
__import__.product_7910009,24.0,48.0
