id,standard_price
__import__.product_0111054,0.55
__import__.product_0391946,0.83
__import__.product_0392704,0.83
__import__.product_0482240,4.74
__import__.product_0495036,2.96
__import__.product_0816900,4.62
__import__.product_0829929,3.90
__import__.product_0840892,36.81
__import__.product_1010620,15.02
__import__.product_1180314,1.31
__import__.product_1180322,2.10
__import__.product_1399476,222.61
__import__.product_1484047,44.25
__import__.product_1633163,10.70
__import__.product_2115616,11.26
__import__.product_2152445,24.69
__import__.product_2281061,43.53
__import__.product_2458032,7.16
__import__.product_2568798,323.28
__import__.product_2637551,11.21
__import__.product_2637593,31.40
__import__.product_2732980,12.37
__import__.product_2888980,31.17
__import__.product_2994473,32.56
__import__.product_3004447,8.01
__import__.product_3120250,19.19
__import__.product_3145042,25.62
__import__.product_3275617,30.59
__import__.product_3287158,44.29
__import__.product_3444304,19.39
__import__.product_3444759,28.48
__import__.product_3479110,13.57
__import__.product_3497609,16.78
__import__.product_3612363,4.30
__import__.product_4180202,14.99
__import__.product_4213014,43.95
__import__.product_5001067,12.73
__import__.product_5040098,3.97
__import__.product_5051041,2.25
__import__.product_5080102,22.46
__import__.product_5088897,232.15
__import__.product_5161700,32.61
__import__.product_5161800,30.45
__import__.product_5164501,32.02
__import__.product_5164510,11.50
__import__.product_5164529,7.83
__import__.product_5164538,9.27
__import__.product_5164544,6.15
__import__.product_5164554,8.96
__import__.product_5164561,34.14
__import__.product_5166200,11.65
__import__.product_5244041,1117.00
__import__.product_5300111,10.20
__import__.product_5302253,1.80
__import__.product_5435210,1.47
__import__.product_5603557,33.60
__import__.product_5603575,39.62
__import__.product_5611508,7.23
__import__.product_5611512,7.23
__import__.product_5611514,28.05
__import__.product_5611529,6.80
__import__.product_5611542,7.65
__import__.product_5611543,8.08
__import__.product_5611546,7.23
__import__.product_5611547,14.88
__import__.product_5611550,16.58
__import__.product_5611552,8.08
__import__.product_5611558,8.08
__import__.product_5624905,12.77
__import__.product_5760314,30.96
__import__.product_5760316,37.49
__import__.product_5760325,9.69
__import__.product_5760362,43.81
__import__.product_5760416,36.73
__import__.product_5764203,4.09
__import__.product_5802742,7.21
__import__.product_5810229,17.75
__import__.product_5810470,22.26
__import__.product_5810707,33.60
__import__.product_5811076,10.81
__import__.product_5811141,22.90
__import__.product_5821069,42.11
__import__.product_5821698,10.06
__import__.product_5821809,39.50
__import__.product_5822098,18.17
__import__.product_5822099,42.37
__import__.product_5822148,27.05
__import__.product_5822233,21.38
__import__.product_5826095,11.28
__import__.product_5826135,16.17
__import__.product_5826139,42.37
__import__.product_5827522,10.81
__import__.product_5827524,10.81
__import__.product_5828097,33.11
__import__.product_5828649,28.49
__import__.product_5828692,8.26
__import__.product_5829002,22.96
__import__.product_5829176,39.50
__import__.product_5829178,41.27
__import__.product_5829183,40.93
__import__.product_5829188,11.85
__import__.product_5829266,29.66
__import__.product_5942201,5.36
__import__.product_5942202,5.36
__import__.product_5942547,18.38
__import__.product_5992465,3.14
__import__.product_5994481,21.12
__import__.product_6260010,182.24
__import__.product_6600819,112.77
__import__.product_6600886,47.07
__import__.product_6600900,9.61
__import__.product_6824231,36.95
__import__.product_6827360,18.96
__import__.product_6828919,23.50
__import__.product_6830201,7.69
__import__.product_6839451,27.09
__import__.product_7420028,42.51
__import__.product_7760220,5.24
__import__.product_8014473,8.00
__import__.product_8050842,4.73
__import__.product_8229328,14.78
__import__.product_8256495,3.56
__import__.product_8270056,2.62
__import__.product_8270281,8.28
__import__.product_8270523,69.90
__import__.product_8270533,43.83
__import__.product_8427086,3.89
__import__.product_9426482,25.22
