id,state_id/id
__import__.product_0034058,specific_purchase.product_state_h
__import__.product_0113639,specific_purchase.product_state_h
__import__.product_0119198,specific_purchase.product_state_h
__import__.product_0253336,specific_purchase.product_state_h
__import__.product_0613935,specific_purchase.product_state_h
__import__.product_1079100,
__import__.product_1632272,specific_purchase.product_state_h
__import__.product_1721927,specific_purchase.product_state_h
__import__.product_2716850,specific_purchase.product_state_h
__import__.product_2900146,
__import__.product_2908986,
__import__.product_2932549,
__import__.product_3074440,
__import__.product_3085859,
__import__.product_3643541,
__import__.product_4007224,
__import__.product_4901703,
__import__.product_5430802,specific_purchase.product_state_h
__import__.product_5810178,specific_purchase.product_state_h
__import__.product_6711297,specific_purchase.product_state_h
__import__.product_6778700,
__import__.product_6944245,specific_purchase.product_state_h
__import__.product_6981921,
__import__.product_8018519,specific_purchase.product_state_h
__import__.product_8181550,
