id,ratio_main_product,list_price,weight,orderpoint_max,medical_device,standard_price,default_code,storage_temperature_id/id,create_date,categ_id/id,unit_in_shrink_wrap,unit_in_box,manufacturer/id,length,width,state_id/id,orderpoint_min,type,veterinary_only,barcode,taxes_id/id,indicated_price,unit_in_pallet,orderpoint_qty_multiple,supplier_taxes_id/id,tracking,active,cnk_code,sale_delay,web_published,name,uom_id/id,ratio_additional_product,depth,route_ids/id,price_category_id/id,uom_po_id/id
__import__.product_2009445,0,90.00,1.20,0.0,,80.96,2009445,specific_product.product_storage_temperature_ambient,2018-10-25,specific_data.product_categ_ali_comp,0,0,__import__.supplier_95150,0,0,,0.0,product,,,l10n_be.1_attn_VAT-OUT-06-L,138.33,0,0,l10n_be.1_attn_VAT-IN-V81-06,lot,True,,0,True,"GASTRO CARE + 1,2KG",product.product_uom_unit,0,0,"stock.route_warehouse0_mto,purchase.route_warehouse0_buy",specific_product.product_price_category_gma,product.product_uom_unit
__import__.product_5192171,0,129.98,14.00,0.0,,111.41,5192171,specific_product.product_storage_temperature_ambient,2018-10-25,specific_data.product_categ_ali_comp,0,0,__import__.supplier_61920,0,0,,0.0,product,,,l10n_be.1_attn_VAT-OUT-06-L,199.78,0,0,l10n_be.1_attn_VAT-IN-V81-06,lot,True,,0,True,LACTOFOAL MILK 14KG AUDEVARD,product.product_uom_unit,0,0,"stock.route_warehouse0_mto,purchase.route_warehouse0_buy",specific_product.product_price_category_gma,product.product_uom_unit
__import__.product_3770237,0,11.97,0.20,30.0,,10.40,3770237,specific_product.product_storage_temperature_ambient,2018-10-25,specific_data.product_categ_ali_comp,0,47,__import__.supplier_83300,0,0,,20.0,product,,,l10n_be.1_attn_VAT-OUT-21-L,21.01,0,1,l10n_be.1_attn_VAT-IN-V81-21,lot,True,3770237,0,True,PEA DERM  50MG 60CAPS,product.product_uom_unit,0,0,purchase.route_warehouse0_buy,,product.product_uom_unit
__import__.product_3770245,0,18.30,0.20,30.0,,15.90,3770245,specific_product.product_storage_temperature_ambient,2018-10-25,specific_data.product_categ_ali_comp,0,47,__import__.supplier_83300,0,0,,20.0,product,,,l10n_be.1_attn_VAT-OUT-21-L,32.11,0,1,l10n_be.1_attn_VAT-IN-V81-21,lot,True,3770245,0,True,PEA DERM 150MG 60CAPS,product.product_uom_unit,0,0,purchase.route_warehouse0_buy,,product.product_uom_unit
__import__.product_3761913,0,11.39,0.15,40.0,,9.90,3761913,specific_product.product_storage_temperature_ambient,2018-10-25,specific_data.product_categ_homeo,30,30,__import__.supplier_83300,0,0,,20.0,product,,,l10n_be.1_attn_VAT-OUT-21-L,19.99,0,30,l10n_be.1_attn_VAT-IN-V81-21,lot,True,3761913,0,True,PEA DERM CREME 150GR,product.product_uom_unit,0,0,purchase.route_warehouse0_buy,,product.product_uom_unit
__import__.product_5800016,0,197.80,0,0.0,,0,5800016,specific_product.product_storage_temperature_6,2018-10-23,specific_data.product_categ_mat_conso,0,0,__import__.supplier_70312,0,0,,0.0,product,,,l10n_be.1_attn_VAT-OUT-21-L,9999999999.99,0,0,l10n_be.1_attn_VAT-IN-V81-21,lot,True,,0,True,CATALYST SDMA AND T4  x12,__setup__.product_uom_boite,0,0,purchase.route_warehouse0_buy,specific_product.product_price_category_gma,__setup__.product_uom_boite
__import__.product_5257302,0,143.15,0,0.0,True,121.68,5257302,specific_product.product_storage_temperature_ambient,2018-10-24,specific_data.product_categ_mat_conso,0,0,__import__.supplier_62580,0,0,,0.0,product,,,l10n_be.1_attn_VAT-OUT-21-L,9999999999.99,0,0,l10n_be.1_attn_VAT-IN-V81-21,lot,True,,0,False,ROBINET A 3 VOIES + 25cm EMC7332 x100,product.product_uom_unit,0,0,"stock.route_warehouse0_mto,purchase.route_warehouse0_buy",specific_product.product_price_category_gma,product.product_uom_unit
__import__.product_5002200,,3233.15,,1.0,,2424.86,5002200,,2018-10-22,specific_data.product_categ_mat_equipement,,,__import__.supplier_82540,,,,0.0,product,,,l10n_be.1_attn_VAT-OUT-21-L,9999999999.99,,1,l10n_be.1_attn_VAT-IN-V81-21,none,True,,0,True,VETINOX ENSEMBLE 3 CAGES POLYESTER 140cm,product.product_uom_unit,,,purchase.route_warehouse0_buy,specific_product.product_price_category_gma,product.product_uom_unit
__import__.product_5031407,0,7.79,0,0.0,,5.45,5031407,specific_product.product_storage_temperature_ambient,2018-10-23,specific_data.product_categ_mat_equipement,0,0,__import__.supplier_68370,0,0,,0.0,product,,,l10n_be.1_attn_VAT-OUT-21-L,9999999999.99,0,0,l10n_be.1_attn_VAT-IN-V81-21,none,True,,0,True,SERINGUE HSW UNIMATIC : CYLINDRE 2ml,product.product_uom_unit,0,0,"stock.route_warehouse0_mto,purchase.route_warehouse0_buy",specific_product.product_price_category_gma,product.product_uom_unit
__import__.product_5661820,0,288.85,0,0.0,,238.00,5661820,specific_product.product_storage_temperature_ambient,2018-10-24,specific_data.product_categ_mat_equipement,0,0,__import__.supplier_95150,0,0,,0.0,product,,,l10n_be.1_attn_VAT-OUT-21-L,9999999999.99,0,0,l10n_be.1_attn_VAT-IN-V81-21,none,True,,0,True,LAMPE DE WOOD UV 9W AVEC LOUPE,product.product_uom_unit,0,0,"stock.route_warehouse0_mto,purchase.route_warehouse0_buy",specific_product.product_price_category_gma,product.product_uom_unit
