id,product_id/id,name,life_date,checksum,removal_date,alert_date
__import__.stock_production_lot_8323_6987881,__import__.product_6987881,8323,2019-02-28 00:00:00,132,2019-01-29 00:00:00,2018-11-30 00:00:00
__import__.stock_production_lot_280219_6825823,__import__.product_6825823,280219,2019-02-28 00:00:00,251,2019-01-29 00:00:00,2018-11-30 00:00:00
__import__.stock_production_lot_170409H_3533585,__import__.product_3533585,170409H,2019-02-28 00:00:00,275,2019-01-29 00:00:00,2018-11-30 00:00:00
__import__.stock_production_lot_K003_2936797,__import__.product_2936797,K003,2019-02-28 00:00:00,617,2019-01-29 00:00:00,2018-11-30 00:00:00
__import__.stock_production_lot_A188A01_7110042,__import__.product_7110042,A188A01,2019-03-31 00:00:00,347,2019-03-01 00:00:00,2018-12-31 00:00:00
__import__.stock_production_lot_16D23_3045572,__import__.product_3045572,16D23,2019-03-31 00:00:00,481,2019-03-01 00:00:00,2018-12-31 00:00:00
__import__.stock_production_lot_300419_5472689,__import__.product_5472689,300419,2019-04-30 00:00:00,224,2019-03-31 00:00:00,2019-01-30 00:00:00
__import__.stock_production_lot_300419_1250870,__import__.product_1250870,300419,2019-04-30 00:00:00,816,2019-03-31 00:00:00,2019-01-30 00:00:00
__import__.stock_production_lot_300419_5472721,__import__.product_5472721,300419,2019-04-30 00:00:00,878,2019-03-31 00:00:00,2019-01-30 00:00:00
__import__.stock_production_lot_507103_5042528,__import__.product_5042528,507103,2019-05-31 00:00:00,278,2019-05-01 00:00:00,2019-03-02 00:00:00
__import__.stock_production_lot_8318D_2888980,__import__.product_2888980,8318D,2019-05-31 00:00:00,528,2019-05-01 00:00:00,2019-03-02 00:00:00
__import__.stock_production_lot_310519_5365234,__import__.product_5365234,310519,2019-05-31 00:00:00,790,2019-05-01 00:00:00,2019-03-02 00:00:00
__import__.stock_production_lot_12061814_2289213,__import__.product_2289213,12061814,2019-06-07 00:00:00,246,2019-05-08 00:00:00,2019-03-09 00:00:00
__import__.stock_production_lot_7C1771B_6971377,__import__.product_6971377,7C1771B,2019-06-08 00:00:00,928,2019-05-09 00:00:00,2019-03-10 00:00:00
__import__.stock_production_lot_300619_1250870,__import__.product_1250870,300619,2019-06-30 00:00:00,237,2019-05-31 00:00:00,2019-04-01 00:00:00
__import__.stock_production_lot_162462A_3439635,__import__.product_3439635,162462A,2019-06-30 00:00:00,288,2019-05-31 00:00:00,2019-04-01 00:00:00
__import__.stock_production_lot_300619_5212009,__import__.product_5212009,300619,2019-06-30 00:00:00,315,2019-05-31 00:00:00,2019-04-01 00:00:00
__import__.stock_production_lot_173391_5070403,__import__.product_5070403,173391,2019-06-30 00:00:00,468,2019-05-31 00:00:00,2019-04-01 00:00:00
__import__.stock_production_lot_300619_5196151,__import__.product_5196151,300619,2019-06-30 00:00:00,508,2019-05-31 00:00:00,2019-04-01 00:00:00
__import__.stock_production_lot_17L08_5916405,__import__.product_5916405,17L08,2019-06-30 00:00:00,550,2019-05-31 00:00:00,2019-04-01 00:00:00
__import__.stock_production_lot_300619_3004488,__import__.product_3004488,300619,2019-06-30 00:00:00,570,2019-05-31 00:00:00,2019-04-01 00:00:00
__import__.stock_production_lot_EU1703_9512029,__import__.product_9512029,EU1703,2019-06-30 00:00:00,656,2019-05-31 00:00:00,2019-04-01 00:00:00
__import__.stock_production_lot_11270618_5610559,__import__.product_5610559,11270618,2019-06-30 00:00:00,937,2019-05-31 00:00:00,2019-04-01 00:00:00
__import__.stock_production_lot_803492A_2604957,__import__.product_2604957,803492A,2019-07-31 00:00:00,127,2019-07-01 00:00:00,2019-05-02 00:00:00
__import__.stock_production_lot_12040718_5610548,__import__.product_5610548,12040718,2019-07-31 00:00:00,157,2019-07-01 00:00:00,2019-05-02 00:00:00
__import__.stock_production_lot_195824R_3444304,__import__.product_3444304,195824R,2019-08-14 00:00:00,344,2019-07-15 00:00:00,2019-05-16 00:00:00
__import__.stock_production_lot_9592_5042513,__import__.product_5042513,9592,2019-08-31 00:00:00,128,2019-08-01 00:00:00,2019-06-02 00:00:00
__import__.stock_production_lot_310819_5164554,__import__.product_5164554,310819,2019-08-31 00:00:00,218,2019-08-01 00:00:00,2019-06-02 00:00:00
__import__.stock_production_lot_310819_5624905,__import__.product_5624905,310819,2019-08-31 00:00:00,560,2019-08-01 00:00:00,2019-06-02 00:00:00
__import__.stock_production_lot_W22905_7974455,__import__.product_7974455,W22905,2019-08-31 00:00:00,677,2019-08-01 00:00:00,2019-06-02 00:00:00
__import__.stock_production_lot_310819_5164538,__import__.product_5164538,310819,2019-08-31 00:00:00,880,2019-08-01 00:00:00,2019-06-02 00:00:00
__import__.stock_production_lot_310819_5317749,__import__.product_5317749,310819,2019-08-31 00:00:00,995,2019-08-01 00:00:00,2019-06-02 00:00:00
__import__.stock_production_lot_300919_4214014,__import__.product_4214014,300919,2019-09-30 00:00:00,149,2019-08-31 00:00:00,2019-07-02 00:00:00
__import__.stock_production_lot_300919_5811141,__import__.product_5811141,300919,2019-09-30 00:00:00,172,2019-08-31 00:00:00,2019-07-02 00:00:00
__import__.stock_production_lot_300919_5164562,__import__.product_5164562,300919,2019-09-30 00:00:00,185,2019-08-31 00:00:00,2019-07-02 00:00:00
__import__.stock_production_lot_V70118I03_7764004,__import__.product_7764004,V70118I03,2019-09-30 00:00:00,349,2019-08-31 00:00:00,2019-07-02 00:00:00
__import__.stock_production_lot_300919_4210014,__import__.product_4210014,300919,2019-09-30 00:00:00,370,2019-08-31 00:00:00,2019-07-02 00:00:00
__import__.stock_production_lot_300919_1160452,__import__.product_1160452,300919,2019-09-30 00:00:00,519,2019-08-31 00:00:00,2019-07-02 00:00:00
__import__.stock_production_lot_300919_4290212,__import__.product_4290212,300919,2019-09-30 00:00:00,538,2019-08-31 00:00:00,2019-07-02 00:00:00
__import__.stock_production_lot_300919_5317899,__import__.product_5317899,300919,2019-09-30 00:00:00,605,2019-08-31 00:00:00,2019-07-02 00:00:00
__import__.stock_production_lot_300919_1239335,__import__.product_1239335,300919,2019-09-30 00:00:00,628,2019-08-31 00:00:00,2019-07-02 00:00:00
__import__.stock_production_lot_300919_4213014,__import__.product_4213014,300919,2019-09-30 00:00:00,687,2019-08-31 00:00:00,2019-07-02 00:00:00
__import__.stock_production_lot_300919_5317989,__import__.product_5317989,300919,2019-09-30 00:00:00,719,2019-08-31 00:00:00,2019-07-02 00:00:00
__import__.stock_production_lot_300919_5161700,__import__.product_5161700,300919,2019-09-30 00:00:00,731,2019-08-31 00:00:00,2019-07-02 00:00:00
__import__.stock_production_lot_300919_1180062,__import__.product_1180062,300919,2019-09-30 00:00:00,791,2019-08-31 00:00:00,2019-07-02 00:00:00
__import__.stock_production_lot_81510001_1200060,__import__.product_1200060,81510001,2019-10-16 00:00:00,462,2019-09-16 00:00:00,2019-07-18 00:00:00
__import__.stock_production_lot_311019_5165500,__import__.product_5165500,311019,2019-10-31 00:00:00,151,2019-10-01 00:00:00,2019-08-02 00:00:00
__import__.stock_production_lot_311019_1234215,__import__.product_1234215,311019,2019-10-31 00:00:00,187,2019-10-01 00:00:00,2019-08-02 00:00:00
__import__.stock_production_lot_311019_5221014,__import__.product_5221014,311019,2019-10-31 00:00:00,259,2019-10-01 00:00:00,2019-08-02 00:00:00
__import__.stock_production_lot_311019_4500445,__import__.product_4500445,311019,2019-10-31 00:00:00,300,2019-10-01 00:00:00,2019-08-02 00:00:00
__import__.stock_production_lot_311019_3563103,__import__.product_3563103,311019,2019-10-31 00:00:00,311,2019-10-01 00:00:00,2019-08-02 00:00:00
__import__.stock_production_lot_311019_5221093,__import__.product_5221093,311019,2019-10-31 00:00:00,346,2019-10-01 00:00:00,2019-08-02 00:00:00
__import__.stock_production_lot_311019_4230133,__import__.product_4230133,311019,2019-10-31 00:00:00,360,2019-10-01 00:00:00,2019-08-02 00:00:00
__import__.stock_production_lot_311019_4250112,__import__.product_4250112,311019,2019-10-31 00:00:00,414,2019-10-01 00:00:00,2019-08-02 00:00:00
__import__.stock_production_lot_AL716319GJ_2583987,__import__.product_2583987,AL716319GJ,2019-10-31 00:00:00,509,2019-10-01 00:00:00,2019-08-02 00:00:00
__import__.stock_production_lot_311019_4250014,__import__.product_4250014,311019,2019-10-31 00:00:00,551,2019-10-01 00:00:00,2019-08-02 00:00:00
__import__.stock_production_lot_1800185_5610509,__import__.product_5610509,1800185,2019-10-31 00:00:00,573,2019-10-01 00:00:00,2019-08-02 00:00:00
__import__.stock_production_lot_311019_1160452,__import__.product_1160452,311019,2019-10-31 00:00:00,625,2019-10-01 00:00:00,2019-08-02 00:00:00
__import__.stock_production_lot_311019_3265568,__import__.product_3265568,311019,2019-10-31 00:00:00,627,2019-10-01 00:00:00,2019-08-02 00:00:00
__import__.stock_production_lot_311019_5274526,__import__.product_5274526,311019,2019-10-31 00:00:00,649,2019-10-01 00:00:00,2019-08-02 00:00:00
__import__.stock_production_lot_311019_4220014,__import__.product_4220014,311019,2019-10-31 00:00:00,675,2019-10-01 00:00:00,2019-08-02 00:00:00
__import__.stock_production_lot_311019_4210103,__import__.product_4210103,311019,2019-10-31 00:00:00,740,2019-10-01 00:00:00,2019-08-02 00:00:00
__import__.stock_production_lot_201704_7693360,__import__.product_7693360,201704,2019-10-31 00:00:00,763,2019-10-01 00:00:00,2019-08-02 00:00:00
__import__.stock_production_lot_EU1708_7863968,__import__.product_7863968,EU1708,2019-10-31 00:00:00,778,2019-10-01 00:00:00,2019-08-02 00:00:00
__import__.stock_production_lot_1800190_8092220,__import__.product_8092220,1800190,2019-10-31 00:00:00,808,2019-10-01 00:00:00,2019-08-02 00:00:00
__import__.stock_production_lot_311019_4230123,__import__.product_4230123,311019,2019-10-31 00:00:00,824,2019-10-01 00:00:00,2019-08-02 00:00:00
__import__.stock_production_lot_311019_6824231,__import__.product_6824231,311019,2019-10-31 00:00:00,838,2019-10-01 00:00:00,2019-08-02 00:00:00
__import__.stock_production_lot_311019_4230103,__import__.product_4230103,311019,2019-10-31 00:00:00,924,2019-10-01 00:00:00,2019-08-02 00:00:00
__import__.stock_production_lot_311019_1232215,__import__.product_1232215,311019,2019-10-31 00:00:00,994,2019-10-01 00:00:00,2019-08-02 00:00:00
__import__.stock_production_lot_285483_7420031,__import__.product_7420031,285483,2019-11-03 00:00:00,194,2019-10-04 00:00:00,2019-08-05 00:00:00
__import__.stock_production_lot_7C3215N_3074440,__import__.product_3074440,7C3215N,2019-11-20 00:00:00,682,2019-10-21 00:00:00,2019-08-22 00:00:00
__import__.stock_production_lot_301119_3265824,__import__.product_3265824,301119,2019-11-30 00:00:00,228,2019-10-31 00:00:00,2019-09-01 00:00:00
__import__.stock_production_lot_301119_3562931,__import__.product_3562931,301119,2019-11-30 00:00:00,300,2019-10-31 00:00:00,2019-09-01 00:00:00
__import__.stock_production_lot_301119_5361797,__import__.product_5361797,301119,2019-11-30 00:00:00,319,2019-10-31 00:00:00,2019-09-01 00:00:00
__import__.stock_production_lot_4RCS18M02_5397503,__import__.product_5397503,4RCS18M02,2019-11-30 00:00:00,349,2019-10-31 00:00:00,2019-09-01 00:00:00
__import__.stock_production_lot_301119_5822115,__import__.product_5822115,301119,2019-11-30 00:00:00,354,2019-10-31 00:00:00,2019-09-01 00:00:00
__import__.stock_production_lot_EU1801A_7139362,__import__.product_7139362,EU1801A,2019-11-30 00:00:00,357,2019-10-31 00:00:00,2019-09-01 00:00:00
__import__.stock_production_lot_301119_3265287,__import__.product_3265287,301119,2019-11-30 00:00:00,401,2019-10-31 00:00:00,2019-09-01 00:00:00
__import__.stock_production_lot_7467300F_3277126,__import__.product_3277126,7467300F,2019-11-30 00:00:00,594,2019-10-31 00:00:00,2019-09-01 00:00:00
__import__.stock_production_lot_301119_5624904,__import__.product_5624904,301119,2019-11-30 00:00:00,602,2019-10-31 00:00:00,2019-09-01 00:00:00
__import__.stock_production_lot_277317_3145117,__import__.product_3145117,277317,2019-11-30 00:00:00,607,2019-10-31 00:00:00,2019-09-01 00:00:00
__import__.stock_production_lot_83500500_0045666,__import__.product_0045666,83500500,2019-11-30 00:00:00,620,2019-10-31 00:00:00,2019-09-01 00:00:00
__import__.stock_production_lot_301119_5315112,__import__.product_5315112,301119,2019-11-30 00:00:00,622,2019-10-31 00:00:00,2019-09-01 00:00:00
__import__.stock_production_lot_301119_5713012,__import__.product_5713012,301119,2019-11-30 00:00:00,749,2019-10-31 00:00:00,2019-09-01 00:00:00
__import__.stock_production_lot_301119_4500324,__import__.product_4500324,301119,2019-11-30 00:00:00,790,2019-10-31 00:00:00,2019-09-01 00:00:00
__import__.stock_production_lot_301119_6825009,__import__.product_6825009,301119,2019-11-30 00:00:00,848,2019-10-31 00:00:00,2019-09-01 00:00:00
__import__.stock_production_lot_301119_3563046,__import__.product_3563046,301119,2019-11-30 00:00:00,879,2019-10-31 00:00:00,2019-09-01 00:00:00
__import__.stock_production_lot_301119_5361772,__import__.product_5361772,301119,2019-11-30 00:00:00,984,2019-10-31 00:00:00,2019-09-01 00:00:00
__import__.stock_production_lot_301119_5274494,__import__.product_5274494,301119,2019-11-30 00:00:00,986,2019-10-31 00:00:00,2019-09-01 00:00:00
__import__.stock_production_lot_182590_8104638,__import__.product_8104638,182590,2019-12-19 00:00:00,931,2019-11-19 00:00:00,2019-09-20 00:00:00
__import__.stock_production_lot_311219_3265212,__import__.product_3265212,311219,2019-12-31 00:00:00,258,2019-12-01 00:00:00,2019-10-02 00:00:00
