id,discount_pricelist_id/id
__import__.customer_1842,__setup__.pricelist_103
__import__.customer_326,__setup__.pricelist_107
__import__.customer_4349,__setup__.pricelist_315
__import__.customer_5545,__setup__.pricelist_105
__import__.customer_5837,__setup__.pricelist_312
__import__.customer_5846,__setup__.pricelist_107
__import__.customer_7660,__setup__.pricelist_103
__import__.customer_7661,__setup__.pricelist_103
__import__.customer_9149,__setup__.pricelist_303
__import__.customer_9273,__setup__.pricelist_316
