id,pricelist_id/id,fixed_price,product_tmpl_id/id,compute_price,applied_on
__import__.pricelist_item_product_5450045_pb2,__setup__.product_pricelist_pb2,11.00,__import__.product_5450045_product_template,fixed,1_product
__import__.pricelist_item_product_5810985_pb2,__setup__.product_pricelist_pb2,13.43,__import__.product_5810985_product_template,fixed,1_product
__import__.pricelist_item_product_5810988_pb2,__setup__.product_pricelist_pb2,13.43,__import__.product_5810988_product_template,fixed,1_product
__import__.pricelist_item_product_5810991_pb2,__setup__.product_pricelist_pb2,13.43,__import__.product_5810991_product_template,fixed,1_product
__import__.pricelist_item_product_5450044_pb2,__setup__.product_pricelist_pb2,13.75,__import__.product_5450044_product_template,fixed,1_product
__import__.pricelist_item_product_5810993_pb2,__setup__.product_pricelist_pb2,14.04,__import__.product_5810993_product_template,fixed,1_product
__import__.pricelist_item_product_5810992_pb2,__setup__.product_pricelist_pb2,22.57,__import__.product_5810992_product_template,fixed,1_product
__import__.pricelist_item_product_5810986_pb2,__setup__.product_pricelist_pb2,28.71,__import__.product_5810986_product_template,fixed,1_product
__import__.pricelist_item_product_5010545_pb2,__setup__.product_pricelist_pb2,30.17,__import__.product_5010545_product_template,fixed,1_product
__import__.pricelist_item_product_8385399_pb2,__setup__.product_pricelist_pb2,3241.14,__import__.product_8385399_product_template,fixed,1_product
__import__.pricelist_item_product_8377862_pb2,__setup__.product_pricelist_pb2,35.67,__import__.product_8377862_product_template,fixed,1_product
__import__.pricelist_item_product_5810989_pb2,__setup__.product_pricelist_pb2,37.28,__import__.product_5810989_product_template,fixed,1_product
__import__.pricelist_item_product_5810990_pb2,__setup__.product_pricelist_pb2,37.28,__import__.product_5810990_product_template,fixed,1_product
__import__.pricelist_item_product_8375171_pb2,__setup__.product_pricelist_pb2,3729.00,__import__.product_8375171_product_template,fixed,1_product
__import__.pricelist_item_product_8236558_pb2,__setup__.product_pricelist_pb2,38.38,__import__.product_8236558_product_template,fixed,1_product
__import__.pricelist_item_product_5001621_pb2,__setup__.product_pricelist_pb2,45.74,__import__.product_5001621_product_template,fixed,1_product
__import__.pricelist_item_product_5064465_pb2,__setup__.product_pricelist_pb2,7.02,__import__.product_5064465_product_template,fixed,1_product
__import__.pricelist_item_product_5810982_pb2,__setup__.product_pricelist_pb2,8.87,__import__.product_5810982_product_template,fixed,1_product
__import__.pricelist_item_product_5202050_pb2,__setup__.product_pricelist_pb2,891.60,__import__.product_5202050_product_template,fixed,1_product
__import__.pricelist_item_product_5303307_pb2,__setup__.product_pricelist_pb2,999999999.99,__import__.product_5303307_product_template,fixed,1_product
__import__.pricelist_item_product_84801100_pb2,__setup__.product_pricelist_pb2,999999999.99,__import__.product_84801100_product_template,fixed,1_product
__import__.pricelist_item_product_84801200_pb2,__setup__.product_pricelist_pb2,999999999.99,__import__.product_84801200_product_template,fixed,1_product
