id,active,name,categ_id/id
__import__.product_0015305,False,DIABUR TEST 5000 (GLUCOSE) x50 /,specific_data.product_categ__mat_conso
__import__.product_0050435,True,ISOBETADINE SAVON LIQUIDE 500ML,specific_data.product_categ__humain
__import__.product_1425412,False,ACCUCHEK SENSOR COMFORT 50 BANDELETTES,specific_data.product_categ__mat_conso
__import__.product_1695691,False,ZOLPIDEM EG 10MG 30CP/,specific_data.product_categ__humain
__import__.product_2475853,False,DOLAGIS 50MG 20CP,specific_data.product_categ__divers_veto
__import__.product_2488732,False,CARPRODYL F 100MG 100CP/,specific_data.product_categ__divers_veto
__import__.product_2549517,False,BOLFO FLEEGARD FOGGER 150ml,specific_data.product_categ__phytosanitaires
__import__.product_2888592,False,FLURAZIN 100ml,specific_data.product_categ__divers_veto
__import__.product_4251024,False,PLAQUE D'INDICATION CABINET VET POTEAU,specific_data.product_categ__mat_equipement
__import__.product_4500246,False,VCN DOG DIGEST OSTEO JUNIOR 16KG,specific_data.product_categ__ali_physio
__import__.product_4500266,False,VCN DOG OSTEO DIGEST ADULT 16KG (,specific_data.product_categ__ali_physio
__import__.product_4500366,False,VCN DOG WEIGHT OSTEO NT ADULT 14KG,specific_data.product_categ__ali_physio
__import__.product_5017739,False,EUKANUBA VDIET DERMATOSIS FP DOG 1x,specific_data.product_categ__ali_dietetique
__import__.product_5017740,False,EUKANUBA VDIET INTESTINAL DOG 1x400G,specific_data.product_categ__ali_dietetique
__import__.product_5017947,False,"SONDE ENDOTRACH TRANSP A BALLON 10,5mm",specific_data.product_categ__mat_cardio
__import__.product_5017949,False,"SONDE ENDOTRACH TRANSP A BALLON 11,0mm",__temp__.product_categ_undefined
__import__.product_5034921,False,DISTINJECT FUSIL 60N  LUNETTE VISSEE,specific_data.product_categ__mat_rurale
__import__.product_5050199,False,CAGE CONT.PLASTIFIE :TIGE DE FERME,specific_data.product_categ__mat_equipement
__import__.product_5058811,False,UCLES ALLFLEX SENIOR JAUNE BLANCO x20,specific_data.product_categ__mat_rurale
__import__.product_5058812,False,CLES ALLFLEX SENIOR ROUGE BLANCO x20,specific_data.product_categ__mat_rurale
__import__.product_5058813,False,CLES ALLFLEX SENIOR VERT BLANCO x20,specific_data.product_categ__mat_rurale
__import__.product_5073461,False,HANAULUX AMPOULE 12V 25W BA15D,specific_data.product_categ__mat_conso
__import__.product_5105418,False,DE DE FOLEY SIL COV 18CH 5-10ml 2Wx10,specific_data.product_categ__mat_conso
__import__.product_5105420,False,DE DE FOLEY SIL COV 20CH 5-10ml 2Wx10,specific_data.product_categ__mat_conso
__import__.product_5105422,False,DE DE FOLEY SIL COV 22CH 5-10ml 2Wx10,specific_data.product_categ__mat_conso
__import__.product_5132074,True,ETHIBOND USP3 EP6 48C1/2 X32074 x36,specific_data.product_categ__mat_sutures
__import__.product_5153515,False,"ROPORE AVEC DEVIDOIR 12,5mmx9,15m x24",specific_data.product_categ__mat_conso
__import__.product_5189085,False,NE INSUFFLATION PR SONDE TRACH.3-14mm,specific_data.product_categ__mat_cardio
__import__.product_5189086,False,NE INSUFFLATION PR SONDETRACH.16-30mm,specific_data.product_categ__mat_cardio
__import__.product_5201300,False,DR MACH LAMPE M2 STATIF SWING 60.000,specific_data.product_categ__mat_equipement
__import__.product_5221051,False,CISEAUX METZENBAUM ERBRICH DROITS,specific_data.product_categ__mat_instrumentation
__import__.product_5248609,True,COMPRESSE STERILE STELLA 10x20 12PL3x5pc,specific_data.product_categ__mat_conso
__import__.product_5250120,False,LACON VERRE BRUN +CPTE GTTES 20ml,specific_data.product_categ__mat_conso
__import__.product_5270027,False,AIGUILLE TERUMO 27Gx5/8 16mm(100),specific_data.product_categ__mat_conso
__import__.product_5270106,False,TONDEUSE OSTER POWER PRO ULTRA ss,specific_data.product_categ__mat_equipement
__import__.product_5271312,False,IM3 MEULE A AIGUISER INSTRUM.DENTA,specific_data.product_categ__mat_equipement
