id,categ_id/id
__import__.product_0000001,specific_data.product_categ__humain
__import__.product_0000002,specific_data.product_categ__humain
__import__.product_0000003,specific_data.product_categ__humain
__import__.product_0000005,specific_data.product_categ__humain
__import__.product_0000006,specific_data.product_categ__humain
__import__.product_0000007,specific_data.product_categ__humain
__import__.product_0000008,specific_data.product_categ__humain
__import__.product_0000009,specific_data.product_categ__humain
__import__.product_0000010,specific_data.product_categ__humain
__import__.product_0000940,specific_data.product_categ__humain
__import__.product_0000941,specific_data.product_categ__humain
__import__.product_0001257,specific_data.product_categ__humain
__import__.product_0001258,specific_data.product_categ__humain
__import__.product_0001259,specific_data.product_categ__humain
__import__.product_0004528,specific_data.product_categ__ali_physio
__import__.product_0004551,specific_data.product_categ__ali_physio
__import__.product_0004560,specific_data.product_categ__ali_physio
__import__.product_0004588,specific_data.product_categ__ali_physio
__import__.product_0004590,specific_data.product_categ__ali_physio
__import__.product_0010101,specific_data.product_categ__humain
__import__.product_0010384,specific_data.product_categ__phytosanitaires
__import__.product_0010683,__temp__.product_categ_undefined
__import__.product_0010684,__temp__.product_categ_undefined
__import__.product_0010685,__temp__.product_categ_undefined
__import__.product_0011001,specific_data.product_categ__mat_conso
__import__.product_0011002,specific_data.product_categ__mat_conso
__import__.product_0011004,__temp__.product_categ_undefined
__import__.product_0011010,__temp__.product_categ_undefined
__import__.product_0011111,specific_data.product_categ__ali_comp
__import__.product_0011304,specific_data.product_categ__antimicrobiens
__import__.product_0012138,specific_data.product_categ__humain
__import__.product_0012146,specific_data.product_categ__humain
__import__.product_0012641,specific_data.product_categ__humain
__import__.product_0012872,specific_data.product_categ__humain
__import__.product_0012910,specific_data.product_categ__vitamines
__import__.product_0012930,specific_data.product_categ__humain
__import__.product_0013992,specific_data.product_categ__humain
__import__.product_0014258,specific_data.product_categ__humain
__import__.product_0014290,specific_data.product_categ__mat_conso
__import__.product_0014738,specific_data.product_categ__humain
__import__.product_0014845,specific_data.product_categ__humain
__import__.product_0015032,specific_data.product_categ__humain
__import__.product_0015040,specific_data.product_categ__humain
__import__.product_0015073,specific_data.product_categ__humain
__import__.product_0015735,specific_data.product_categ__humain
__import__.product_0016097,specific_data.product_categ__humain
__import__.product_0016188,specific_data.product_categ__humain
__import__.product_0016261,specific_data.product_categ__humain
__import__.product_0016311,__temp__.product_categ_undefined
__import__.product_0016501,specific_data.product_categ__humain
__import__.product_0016634,specific_data.product_categ__humain
__import__.product_0016832,specific_data.product_categ__humain
__import__.product_0016980,specific_data.product_categ__humain
__import__.product_0017000,specific_data.product_categ__humain
__import__.product_0017004,specific_data.product_categ__humain
__import__.product_0017005,specific_data.product_categ__humain
__import__.product_0017301,specific_data.product_categ__humain
__import__.product_0017566,specific_data.product_categ__humain
__import__.product_0018028,specific_data.product_categ__humain
__import__.product_0018234,specific_data.product_categ__humain
__import__.product_0018507,specific_data.product_categ__humain
__import__.product_0018572,specific_data.product_categ__humain
__import__.product_0018614,specific_data.product_categ__humain
__import__.product_0018671,specific_data.product_categ__humain
__import__.product_0018911,specific_data.product_categ__humain
__import__.product_0019190,specific_data.product_categ__humain
__import__.product_0019455,specific_data.product_categ__humain
__import__.product_0019554,specific_data.product_categ__humain
__import__.product_0019778,specific_data.product_categ__humain
__import__.product_0019786,specific_data.product_categ__humain
__import__.product_0020008,specific_data.product_categ__humain
__import__.product_0020113,specific_data.product_categ__vitamines
__import__.product_0020115,specific_data.product_categ__vitamines
__import__.product_0020212,specific_data.product_categ__vitamines
__import__.product_0020214,specific_data.product_categ__humain
__import__.product_0020400,specific_data.product_categ__vitamines
__import__.product_0020410,specific_data.product_categ__vitamines
__import__.product_0020412,specific_data.product_categ__vitamines
__import__.product_0020537,specific_data.product_categ__humain
__import__.product_0020717,specific_data.product_categ__vitamines
__import__.product_0020724,specific_data.product_categ__vitamines
__import__.product_0021006,specific_data.product_categ__humain
__import__.product_0021253,specific_data.product_categ__humain
__import__.product_0021516,specific_data.product_categ__vitamines
__import__.product_0021519,specific_data.product_categ__humain
__import__.product_0021667,specific_data.product_categ__humain
__import__.product_0021830,specific_data.product_categ__ali_comp
__import__.product_0021915,specific_data.product_categ__humain
__import__.product_0022014,specific_data.product_categ__mat_sutures
__import__.product_0022018,specific_data.product_categ__vitamines
__import__.product_0022204,specific_data.product_categ__mat_sutures
__import__.product_0022205,specific_data.product_categ__mat_sutures
__import__.product_0022214,specific_data.product_categ__mat_sutures
__import__.product_0022232,specific_data.product_categ__mat_sutures
__import__.product_0022269,specific_data.product_categ__humain
__import__.product_0022277,specific_data.product_categ__humain
__import__.product_0022897,specific_data.product_categ__humain
__import__.product_0023452,specific_data.product_categ__vitamines
__import__.product_0023810,specific_data.product_categ__vitamines
__import__.product_0024166,specific_data.product_categ__humain
__import__.product_0024292,specific_data.product_categ__vitamines
__import__.product_0024319,specific_data.product_categ__vitamines
__import__.product_0024326,specific_data.product_categ__ali_comp
__import__.product_0024333,specific_data.product_categ__vitamines
__import__.product_0024414,specific_data.product_categ__humain
__import__.product_0024715,specific_data.product_categ__vitamines
__import__.product_0024920,specific_data.product_categ__vitamines
__import__.product_0024935,specific_data.product_categ__humain
__import__.product_0025163,specific_data.product_categ__humain
__import__.product_0025323,specific_data.product_categ__vitamines
__import__.product_0025420,specific_data.product_categ__vitamines
__import__.product_0025514,specific_data.product_categ__vitamines
__import__.product_0025593,specific_data.product_categ__humain
__import__.product_0025817,specific_data.product_categ__humain
__import__.product_0025825,specific_data.product_categ__humain
__import__.product_0025916,specific_data.product_categ__humain
__import__.product_0026245,specific_data.product_categ__humain
__import__.product_0026328,specific_data.product_categ__antimicrobiens
__import__.product_0026336,specific_data.product_categ__antimicrobiens
__import__.product_0026518,specific_data.product_categ__humain
__import__.product_0026724,specific_data.product_categ__vitamines
__import__.product_0026963,specific_data.product_categ__antimicrobiens
