id,list_price,categ_id/id
__import__.product_0081620,26.06,specific_data.product_categ__ali_comp
__import__.product_0259754,12.69,specific_data.product_categ__ali_comp
__import__.product_0399782,14.39,specific_data.product_categ__ali_comp
__import__.product_0399915,50.78,specific_data.product_categ__ali_comp
__import__.product_0428315,9.30,specific_data.product_categ__ali_comp
__import__.product_0458273,11.48,__temp__.product_categ_undefined
__import__.product_0458281,11.83,specific_data.product_categ__antimicrobiens
__import__.product_0458323,9.22,specific_data.product_categ__ali_comp
__import__.product_0481358,6.50,specific_data.product_categ__mat_conso
__import__.product_0481366,10.35,specific_data.product_categ__mat_conso
__import__.product_0685909,9.19,specific_data.product_categ__divers_para
__import__.product_0849554,6.15,specific_data.product_categ__ali_comp
__import__.product_1006240,1.27,specific_data.product_categ__mat_conso
__import__.product_1007360,102.90,specific_data.product_categ__mat_conso
__import__.product_1019900,161.90,specific_data.product_categ__mat_conso
__import__.product_1023027,7.94,specific_data.product_categ__ali_comp
__import__.product_1026440,12.40,specific_data.product_categ__mat_conso
__import__.product_1037720,110.40,specific_data.product_categ__mat_conso
__import__.product_1038990,616.00,specific_data.product_categ__mat_img_radio
__import__.product_1050601,22.12,specific_data.product_categ__mat_equipement
__import__.product_1050603,22.12,specific_data.product_categ__mat_equipement
__import__.product_1073188,14.67,specific_data.product_categ__ali_comp
__import__.product_1074269,12.31,specific_data.product_categ__ali_comp
__import__.product_1074467,9.66,__temp__.product_categ_undefined
__import__.product_1074566,9.66,__temp__.product_categ_undefined
__import__.product_1115377,47.89,specific_data.product_categ__ali_comp
__import__.product_1122191,7.87,specific_data.product_categ__ali_comp
__import__.product_1179985,11.91,specific_data.product_categ__divers_veto
__import__.product_1193457,6.23,specific_data.product_categ__topiques
__import__.product_1201561,75.00,specific_data.product_categ__mat_equipement
__import__.product_1202803,2.92,specific_data.product_categ__topiques
__import__.product_1202829,22.84,specific_data.product_categ__antimicrobiens
__import__.product_1202860,7.03,specific_data.product_categ__antimicrobiens
__import__.product_1202886,29.18,specific_data.product_categ__antimicrobiens
__import__.product_1202897,9.00,specific_data.product_categ__divers_para
__import__.product_1202969,20.59,specific_data.product_categ__antimicrobiens
__import__.product_1203181,8.04,specific_data.product_categ__ali_comp
__import__.product_1203199,12.58,specific_data.product_categ__sys_nerveux
__import__.product_1203231,1.91,specific_data.product_categ__hormones
__import__.product_1203232,2.82,specific_data.product_categ__hormones
__import__.product_1203264,62.70,specific_data.product_categ__antiparasite
__import__.product_1203272,18.55,specific_data.product_categ__ali_comp
__import__.product_1203280,6.52,specific_data.product_categ__ali_comp
__import__.product_1206853,7.64,specific_data.product_categ__antimicrobiens
__import__.product_1206895,13.65,specific_data.product_categ__ali_comp
__import__.product_1233014,19.50,__temp__.product_categ_undefined
__import__.product_1362100,17.10,specific_data.product_categ__ali_physio
__import__.product_1384700,18.84,specific_data.product_categ__ali_comp
__import__.product_1384726,18.84,specific_data.product_categ__vitamines
__import__.product_1388164,31.56,specific_data.product_categ__ali_comp
__import__.product_1400500,24.70,specific_data.product_categ__homeo
__import__.product_1401694,12.41,specific_data.product_categ__ali_comp
__import__.product_1405476,165.83,specific_data.product_categ__homeo
__import__.product_1423763,10.99,specific_data.product_categ__oeil_oreille
__import__.product_1429935,6.18,specific_data.product_categ__ali_comp
__import__.product_1430297,16.34,__temp__.product_categ_undefined
__import__.product_1445931,7.42,specific_data.product_categ__ali_physio
__import__.product_1445964,16.43,specific_data.product_categ__ali_physio
__import__.product_1446152,3.18,specific_data.product_categ__ali_comp
