id,list_price,name,categ_id/id
__import__.product_1008620,43.44,COLLIER ANTI-ABOIEMENT SPRAY 60G 61CM,specific_data.product_categ__mat_petshop
__import__.product_1008640,62.05,COLLIER ANTI-ABOIEMENT SPRAY 60G DELUXE,specific_data.product_categ__mat_petshop
__import__.product_1008680,74.45,COLLIER ANTI-ABOIEMENT SPRAY PT/MOY CN,specific_data.product_categ__mat_petshop
__import__.product_1203439,20.93,PANACUR BOLUS 1 BOVIN,__temp__.product_categ_undefined
__import__.product_1385954,44.85,CHAMP FOLIODRAPE ADHESIF  50x50cm /90,specific_data.product_categ__mat_conso
__import__.product_2287120,60.10,SNAP GIARDIA x5,specific_data.product_categ__mat_conso
__import__.product_2553196,46.03,XEDEN  15MG 120CP CHAT,specific_data.product_categ__antimicrobiens
__import__.product_2727600,94.94,THERIOS 300MG 200CP,specific_data.product_categ__antimicrobiens
__import__.product_2908986,25.32,"KESIUM  50/12,5MG 100CP",specific_data.product_categ__antimicrobiens
__import__.product_3020666,15.25,DOUXO CALM SOIN MOUSSE 200ML,specific_data.product_categ__divers_para
__import__.product_3020682,16.46,DOUXO SEBO SOIN MOUSSE 200ML,specific_data.product_categ__divers_para
__import__.product_3030706,53.98,"BROCHE 1PTE+1LANC. 30cmx7,0mm X3",specific_data.product_categ__mat_ortho
__import__.product_4020001,27.65,PANTALON FEMME 2P CARGO NOIR S,specific_data.product_categ__mat_equipement
__import__.product_5001035,5.86,"TTA VIS 2,4mm INOX HEXAG.26mm       1035",specific_data.product_categ__mat_ortho
__import__.product_5001036,5.86,"TTA VIS 2,4mm INOX HEXAG.28mm       1036",specific_data.product_categ__mat_ortho
__import__.product_5001038,5.86,"TTA VIS 2,4mm INOX HEXAG.32mm       1038",specific_data.product_categ__mat_ortho
__import__.product_5001040,5.86,"TTA VIS 2,4mm INOX HEXAG.36mm       1040",specific_data.product_categ__mat_ortho
__import__.product_5001041,5.86,"TTA VIS 2,4mm INOX HEXAG.38mm       1041",specific_data.product_categ__mat_ortho
__import__.product_5002212,327.70,SPOTCHEM CONTROLE NORMAL EZ/EL 6x5ml,specific_data.product_categ__mat_conso
__import__.product_5006223,34.88,JEU PEIGNE HEINIGER MOUTON,specific_data.product_categ__mat_equipement
__import__.product_5010205,250.00,EQUIDES KIT DE 5 PICS DENTAIRES,specific_data.product_categ__mat_dentisterie
__import__.product_5033159,231.00,STETHOSCOPE LITTM.CARDIO IV SMOKE turqu,specific_data.product_categ__mat_equipement
__import__.product_5197000,38.00,HEPATEX 500ml AVS,specific_data.product_categ__ali_comp
__import__.product_5272211,12.00,PRO PLAN DOG MEDIUM ADULT SKIN 3K SAUM,specific_data.product_categ__ali_physio
__import__.product_5272431,32.90,PRO PLAN DOG ROBUST PUPPY 12KG,specific_data.product_categ__ali_physio
__import__.product_5272432,32.90,PRO PLAN DOG ATHLETIC PUPPY 12KG POULET,specific_data.product_categ__ali_physio
__import__.product_5272436,36.20,PRO PLAN DOG ROBUST ADULT 14KG,specific_data.product_categ__ali_physio
__import__.product_5272437,36.20,PRO PLAN DOG ATHLETIC ADULT 14KG POULET,specific_data.product_categ__ali_physio
__import__.product_5272438,37.50,PRO PLAN DOG MEDIUM ADULT SKIN 14K SAUM,specific_data.product_categ__ali_physio
__import__.product_5272550,32.90,PRO PLAN DOG MEDIUM PUPPY DIG 12K POULET,specific_data.product_categ__ali_physio
__import__.product_5272555,37.50,PRO PLAN DOG MEDIUM ADULT DIG 14K POULET,specific_data.product_categ__ali_physio
__import__.product_5272563,21.70,PRO PLAN DOG MEDIUM ADULT SKIN 7K SAUM,specific_data.product_categ__ali_physio
__import__.product_5272647,13.00,PRO PLAN DOG MEDIUM PUPPY DIG 3KG POULET,specific_data.product_categ__ali_physio
__import__.product_5272648,12.00,PRO PLAN DOG MEDIUM ADULT DIG 3KG POULET,specific_data.product_categ__ali_physio
__import__.product_5272707,22.70,PRO PLAN DOG MEDIUM ADULT DIG 7KG POULET,specific_data.product_categ__ali_physio
__import__.product_5275014,30.90,I-STAT CTNL (x10),specific_data.product_categ__mat_conso
__import__.product_5277500,30.81,BLOUSE COL V POCHES BAS BLEU ROYAL S,specific_data.product_categ__mat_equipement
__import__.product_5294770,38.50,PRO PLAN DOG ATHLETIC ADULT SKIN 14K SAU,specific_data.product_categ__ali_physio
__import__.product_5294793,38.50,PRO PLAN DOG ROBUST ADULT SKIN 14KG,specific_data.product_categ__ali_physio
__import__.product_5515510,450.00,CALE PODOBLOCK HT 90mm + SUPPORT,specific_data.product_categ__mat_img_radio
__import__.product_5715059,30.81,BLOUSE COL V POCHES BAS BORDEAUX XS,specific_data.product_categ__mat_equipement
__import__.product_5715064,30.81,BLOUSE COL V POCHES BAS BORDEAUX XL,specific_data.product_categ__mat_equipement
__import__.product_5740268,22.12,BLOUSE CHEROKEE 2 POCHES BRUN XL,specific_data.product_categ__mat_equipement
__import__.product_5742499,46.61,BLOUSE ZIPPEE FEMME LONGUE BLANCHE L,specific_data.product_categ__mat_equipement
__import__.product_5776184,77.01,TEST-IT EHRLICHIA DOG 5 TESTS,specific_data.product_categ__mat_conso
__import__.product_5776188,69.23,TEST-IT LEISHMANIA DOG 5 TESTS,specific_data.product_categ__mat_conso
__import__.product_7429008,13.66,CISEAUX COUPE FILS SPENCER DROITS 9cm,specific_data.product_categ__mat_instrumentation
__import__.product_7429055,3.97,PINCE LUCAE 14cm,specific_data.product_categ__mat_instrumentation
__import__.product_7429068,7.39,CROCHET A OVARIECTOMIE 20cm,specific_data.product_categ__mat_instrumentation
__import__.product_8018519,16.46,"SONDE ENDOTRACH ORANGE A BALLON  2,5mm",specific_data.product_categ__mat_cardio
__import__.product_8018525,16.46,"SONDE ENDOTRACH ORANGE A BALLON  3,0mm",specific_data.product_categ__mat_cardio
__import__.product_8018531,16.46,"SONDE ENDOTRACH ORANGE A BALLON  3,5mm",specific_data.product_categ__mat_cardio
__import__.product_8018548,16.46,"SONDE ENDOTRACH ORANGE A BALLON  4,0mm",specific_data.product_categ__mat_cardio
__import__.product_8018554,16.46,"SONDE ENDOTRACH ORANGE A BALLON  4,5mm",specific_data.product_categ__mat_cardio
__import__.product_8018637,16.46,"SONDE ENDOTRACH ORANGE A BALLON  5,0mm",specific_data.product_categ__mat_cardio
__import__.product_8018666,16.46,"SONDE ENDOTRACH ORANGE A BALLON  5,5mm",specific_data.product_categ__mat_cardio
__import__.product_8018689,16.46,"SONDE ENDOTRACH ORANGE A BALLON  6,0mm",specific_data.product_categ__mat_cardio
__import__.product_8018761,16.46,"SONDE ENDOTRACH ORANGE A BALLON  6,5mm",specific_data.product_categ__mat_cardio
__import__.product_8018784,16.46,"SONDE ENDOTRACH ORANGE A BALLON  7,0mm",specific_data.product_categ__mat_cardio
__import__.product_8018838,16.46,"SONDE ENDOTRACH ORANGE A BALLON  7,5mm",specific_data.product_categ__mat_cardio
__import__.product_8018844,16.46,"SONDE ENDOTRACH ORANGE A BALLON  8,0mm",specific_data.product_categ__mat_cardio
__import__.product_8018867,16.46,"SONDE ENDOTRACH ORANGE A BALLON  8,5mm",specific_data.product_categ__mat_cardio
__import__.product_8018979,16.46,"SONDE ENDOTRACH ORANGE A BALLON  9,0mm",specific_data.product_categ__mat_cardio
__import__.product_8018985,16.46,"SONDE ENDOTRACH ORANGE A BALLON  9,5mm",specific_data.product_categ__mat_cardio
__import__.product_8019016,16.46,"SONDE ENDOTRACH ORANGE A BALLON 10,0mm",specific_data.product_categ__mat_cardio
__import__.product_8019022,16.46,"SONDE ENDOTRACH ORANGE A BALLON 10,5mm",specific_data.product_categ__mat_cardio
__import__.product_8019039,16.46,"SONDE ENDOTRACH ORANGE A BALLON 11,0mm",specific_data.product_categ__mat_cardio
__import__.product_8019045,148.00,SONDE ENDOTRACH ORANGE A BALLON 14mm,specific_data.product_categ__mat_cardio
__import__.product_8019737,22.92,CISEAUX COUPE FILS SPENCER COURBE 9cm,specific_data.product_categ__mat_instrumentation
__import__.product_8019743,20.11,CISEAUX COUPE FILS SPENSER DROITS 11cm,specific_data.product_categ__mat_instrumentation
__import__.product_8022567,199.77,MANDRIN A CLE 0/6mm INOX N,specific_data.product_categ__mat_ortho
__import__.product_8024187,23.20,ENSEMBLE DE GRAVITE POUR TE EQUIN x2,specific_data.product_categ__mat_conso
__import__.product_8027530,22.29,TECHNOVIT  2 TRAITEMENTS,specific_data.product_categ__mat_conso
__import__.product_8027547,63.50,TECHNOVIT  10 TRAITEMENTS + accelerateur,specific_data.product_categ__mat_conso
__import__.product_8027961,52.67,HARNAIS MARQUEUR TAUREAU,specific_data.product_categ__mat_rurale
__import__.product_8030025,5.73,KIT LITTM : OLIVES,specific_data.product_categ__mat_equipement
__import__.product_8036556,8.59,KIT LITTM CARDIO III GR MEMBRANE+BAGUE,specific_data.product_categ__mat_equipement
__import__.product_8068598,2.97,ASEPTIL LINGETTES DESINFECTANTES x100,specific_data.product_categ__divers_para
__import__.product_8070626,16.97,PESON  5kg,specific_data.product_categ__mat_equipement
__import__.product_8076675,45.95,VETTEST BILAN GENERAL DE SANTE GHP 2x12,specific_data.product_categ__mat_conso
__import__.product_8076681,53.00,VETTEST BILAN PRE-OPERATOIRE PAP 4x6,specific_data.product_categ__mat_conso
__import__.product_8092243,5.73,GASTROBIONE 500ML/,specific_data.product_categ__ali_comp
__import__.product_8187475,28.29,"TTA MECHE 1,8x131MM MANDRIN A CLE 1017",specific_data.product_categ__mat_ortho
__import__.product_8214841,125.64,"TTA GUIDE MECHE DBLE 1,8/2,4mm      3824",specific_data.product_categ__mat_ortho
__import__.product_8229819,25.43,CURETTE VOLKMANN DOUBLE 6x18/6x10mm 2745,specific_data.product_categ__mat_ortho
__import__.product_8243096,55.99,COLLIER ANTI-ABOIEMENT ELECT EFFITEK ONE,specific_data.product_categ__mat_petshop
__import__.product_8246410,26.30,COLLIER ANTI-ABOIEMENT ULTRASON REGLABLE,specific_data.product_categ__mat_petshop
__import__.product_8246456,55.01,COLLIER ANTI-ABOIEMENT A VIBRATION,specific_data.product_categ__mat_petshop
__import__.product_8342295,19.00,REACTIF I STAT EG7+ ORANGE (x1),specific_data.product_categ__mat_conso
__import__.product_8346264,45.95,VETTEST BILAN EQUINE EHP 2x12,specific_data.product_categ__mat_conso
__import__.product_8352422,5.86,"TTA VIS 2,4mm INOX HEXAG.22mm       1033",specific_data.product_categ__mat_ortho
__import__.product_8352424,5.86,"TTA VIS 2,4mm INOX HEXAG.24mm       1034",specific_data.product_categ__mat_ortho
__import__.product_8355665,3.34,SERINGUE HSW FERROMATIC 3ml : CYLINDRE,specific_data.product_categ__mat_equipement
__import__.product_8368403,12.86,"GABARIT PLIAGE  87mm PLAQUE 2,7/3,5mm",specific_data.product_categ__mat_ortho
__import__.product_8368478,96.57,"TTA GUIDE MECHE DBLE 2,0/2,7mm      1022",specific_data.product_categ__mat_ortho
__import__.product_8368490,96.57,"TTA GUIDE MECHE DBLE 2,5/3,5mm      1023",specific_data.product_categ__mat_ortho
__import__.product_8368685,14.29,"TTA MECHE 1,1x45mm MANDRIN A CLE 2034",specific_data.product_categ__mat_ortho
