id,medical_device,categ_id/id
__import__.product_5015021,,specific_data.product_categ__mat_instrumentation
__import__.product_5791500,True,specific_data.product_categ__mat_equipement
__import__.product_7628457,,specific_data.product_categ__mat_conso
__import__.product_7644137,,specific_data.product_categ__mat_conso
__import__.product_8031193,True,specific_data.product_categ__mat_conso
__import__.product_8031661,True,specific_data.product_categ__mat_conso
__import__.product_8031690,True,specific_data.product_categ__mat_conso
__import__.product_8182408,,specific_data.product_categ__mat_conso
__import__.product_8269196,,specific_data.product_categ__mat_conso
__import__.product_8287805,True,specific_data.product_categ__mat_conso
__import__.product_8487332,True,specific_data.product_categ__mat_conso
