id,name,categ_id/id
__import__.product_0000004,APOMORPHINE 10AMP 10MG,specific_data.product_categ__humain
__import__.product_0002844,CLINISTIX 50T,specific_data.product_categ__mat_conso
__import__.product_0011000,FLACON BRUN ROND 300ml +CP,specific_data.product_categ__mat_conso
__import__.product_0011003,FLACON BRUN ROND 15ml CPTE GTTES,__temp__.product_categ_undefined
__import__.product_0011005,FLACON BRUN ROND CPTE GTTES 30ml,__temp__.product_categ_undefined
__import__.product_0011007,FLACON BRUN ROND 30ml + CP,__temp__.product_categ_undefined
__import__.product_0011008,FLACON BRUN ROND CPTE GTTES 10ml,__temp__.product_categ_undefined
__import__.product_0011009,FLACON BRUN ROND 60ml CPTE GTTES,__temp__.product_categ_undefined
__import__.product_0018105,POIRE D'INSUFFLATION DOUBLE HEINE,specific_data.product_categ__mat_equipement
__import__.product_0018291,"ALBUPLAST T 2,5cm x 5m",__temp__.product_categ_undefined
__import__.product_0020915,DI-METHYL-SULPHONE 300GR,specific_data.product_categ__vitamines
__import__.product_0020939,DI-METHYL-SULFONE 1KG,specific_data.product_categ__vitamines
__import__.product_0022216,MONOSYN USP2/0 EP3 DS24 C22216 VI,specific_data.product_categ__mat_sutures
__import__.product_0023916,HOOF HARDNER & DESINFECTANT 1L,specific_data.product_categ__vitamines
__import__.product_0024392,MONOPLUS B24392 USP1 EP4 HRT48 (2,specific_data.product_categ__mat_sutures
__import__.product_0027716,DEVIL'S CLAW 1L,specific_data.product_categ__vitamines
__import__.product_0030195,ADAPTATEUR POUR BALANCE,specific_data.product_categ__mat_equipement
__import__.product_0034686,DEPO-PROMONE 5ML,specific_data.product_categ__hormones
__import__.product_0038716,SAFIL G38716 USP00 EP3 250CM,specific_data.product_categ__mat_sutures
__import__.product_0047597,HIBITANE CREME ANTISEPTIQUE 250ML,specific_data.product_categ__humain
__import__.product_0048042,SAFIL USP00 EP3 HR26 BTE DE 36,specific_data.product_categ__mat_sutures
__import__.product_0048230,SAFIL USP000 EP2 HS23 45CM,specific_data.product_categ__mat_sutures
__import__.product_0048248,"SAFIL C1048248 USP0 EP3,5 DS30",specific_data.product_categ__mat_sutures
__import__.product_0048296,"SAFIL USP0 EP3,5 HS37S C1048296",specific_data.product_categ__mat_sutures
__import__.product_0048462,SAFIL USP1 EP4 HS48 C0048462 x36,specific_data.product_categ__mat_sutures
__import__.product_0048463,SAFIL USP2 EP5 HS48 90CM,specific_data.product_categ__mat_sutures
__import__.product_0048586,"SAFIL USP0 EP3,5 HS40S B48586",specific_data.product_categ__mat_sutures
__import__.product_0048596,SAFIL USP2/0 EP3 HS37S 90CM x36,specific_data.product_categ__mat_sutures
__import__.product_0058834,N-COMBUR TEST 50T,__temp__.product_categ_undefined
__import__.product_0066852,ZETUVIT STERILE 20x40 /5 compress,__temp__.product_categ_undefined
__import__.product_0079035,"DEXON II USP0 EP3,5 2,5M 9808-63",specific_data.product_categ__mat_sutures
__import__.product_0107532,CEPOREX CAPS 16X500MG,specific_data.product_categ__humain
__import__.product_0110759,FEROGRAD 500 30CP,specific_data.product_categ__humain
__import__.product_0114397,KETOSTIX STRIPS 50 A2880 B51,specific_data.product_categ__mat_conso
__import__.product_0118067,"LEUKOPOR 2,5cmx5m",specific_data.product_categ__mat_conso
__import__.product_0118091,"LEUKOSILK 1,25cmx5m",specific_data.product_categ__mat_conso
__import__.product_0126276,GLYCERINE 5L,__temp__.product_categ_undefined
__import__.product_0132274,TENSOPLAST pansement 6cmx1m   REF,__temp__.product_categ_undefined
__import__.product_0135194,AVIOL 1L,specific_data.product_categ__divers_veto
__import__.product_0166959,CELLURON GR 2/300GR,__temp__.product_categ_undefined
__import__.product_0179009,MANCHE A PILE MINI 2000,specific_data.product_categ__mat_equipement
__import__.product_0180497,OCCASION MONITEUR MARKET 5 FONCTI,specific_data.product_categ__mat_occasion
__import__.product_0180506,OCCASION LAMPE APPOLON,__temp__.product_categ_undefined
__import__.product_0180509,OCCASION ECG,specific_data.product_categ__mat_occasion
__import__.product_0180510,OCCASION SCYALITIQUE,__temp__.product_categ_undefined
__import__.product_0181263,"POROFIX 2,5CMx5M",specific_data.product_categ__mat_conso
__import__.product_0185132,VARICEX F BANDAGE 8cm x 5m,specific_data.product_categ__mat_conso
__import__.product_0185140,VARICEX F BANDAGE 10cm x 5m,specific_data.product_categ__mat_conso
__import__.product_0185157,VARICEX F BANDAGE 10cm x 10m,specific_data.product_categ__mat_conso
__import__.product_0188038,"AMPOULE HALOG HEINE XHL 077 2,5V",__temp__.product_categ_undefined
__import__.product_0191056,ELASTOMULL CELLO 8CMx4M /20,__temp__.product_categ_undefined
__import__.product_0198325,"MICROPORE DEROULEUR 25MMx9,14M",__temp__.product_categ_undefined
__import__.product_0199333,PILE RECHARGEABLE S2Z HEINE X0199,specific_data.product_categ__mat_equipement
__import__.product_0240663,ARGILE VERTE 1KG,specific_data.product_categ__humain
__import__.product_0246546,COTON TIGE 200pces,__temp__.product_categ_undefined
__import__.product_0246884,GALENCO HUILE DE BAIN 1L,specific_data.product_categ__humain
__import__.product_0252411,OUATE ROLTA SOFT 10cmx3m,specific_data.product_categ__mat_conso
__import__.product_0253641,TRAUMEEL S GTTES 30ML HEEL,specific_data.product_categ__humain
__import__.product_0268771,VEGETAL 250GR,specific_data.product_categ__chimiques
__import__.product_0273581,TALC 1KG,__temp__.product_categ_undefined
__import__.product_0299314,"PILE NICD S3Z HEINE 3,5V",specific_data.product_categ__mat_equipement
__import__.product_0301018,DILATATEUR LACRIMAL CASTROVIEJO,specific_data.product_categ__mat_instrumentation
__import__.product_0318240,RECTOSCOPE 20cm DIA.16mm,specific_data.product_categ__mat_equipement
__import__.product_0370734,EAU DE DALIBOUR 1L,specific_data.product_categ__humain
__import__.product_0370775,EAU DE ROSE 1L,specific_data.product_categ__humain
__import__.product_0385799,POT ANALYSE COUV ROUGE URINE x 25,__temp__.product_categ_undefined
__import__.product_0391136,PUR ZELLIN 4x5cm 2rlx de 500 TAMP,__temp__.product_categ_undefined
__import__.product_0391177,BASSIN RENIFORME CARTON,__temp__.product_categ_undefined
__import__.product_0391441,COMPRESSE ES STERILE 10x10 12PL 3,specific_data.product_categ__mat_conso
__import__.product_0392043,ZETUVIT NON STER 20x40 /30 compre,__temp__.product_categ_undefined
__import__.product_0392761,OUATE ROLTA SOFT 06cmx3m,specific_data.product_categ__mat_conso
__import__.product_0392779,OUATE ROLTA SOFT 15cmx3m,specific_data.product_categ__mat_conso
__import__.product_0392787,OUATE ROLTA SOFT 25cmx3m,specific_data.product_categ__mat_conso
__import__.product_0393223,"OMNIPLAST 1,25CMx9,2M BTE DE 5",__temp__.product_categ_undefined
__import__.product_0393231,"OMNIPLAST 2,5CMx9,2M BTE DE 5",__temp__.product_categ_undefined
__import__.product_0393249,"OMNIPLAST 5CMx9,2M BTE DE 2",__temp__.product_categ_undefined
__import__.product_0393421,ALAISE MOLINEA+ 40x60cm PAR 150,specific_data.product_categ__mat_conso
__import__.product_0399139,JERSEY TUBULAIRE 7cmx25m,__temp__.product_categ_undefined
__import__.product_0404383,BAGUE ADAPT.ARTHRO-VIDEO + 2 STOR,specific_data.product_categ__mat_img_endo
__import__.product_0444190,MASQUE CHIRURGICAL PERFECT/50 MED,__temp__.product_categ_undefined
__import__.product_0458448,TRAUMEEL S CREME 100GR HEEL,specific_data.product_categ__humain
__import__.product_0460050,BATTERIES PR STETHOSCOPE H-P,specific_data.product_categ__mat_conso
__import__.product_0460394,TAPE CUTTER,__temp__.product_categ_undefined
__import__.product_0467076,OSTEOHEEL S COMP 250CP HEEL,specific_data.product_categ__humain
__import__.product_0472779,DUODERM 5x10 REF H7959 10PANS,specific_data.product_categ__mat_conso
__import__.product_0488060,"AMPOULE HALOG 6,0V HEINE 060",specific_data.product_categ__mat_conso
__import__.product_0499269,THERMO MED DIGITAL HARTMANN,__temp__.product_categ_undefined
__import__.product_0605960,HOUSSE TRANSPORT MATELAS VACUUM50,specific_data.product_categ__mat_equipement
__import__.product_0608315,BAYER CATGUT CH USP2 EP6 50M,specific_data.product_categ__mat_sut_bobine
__import__.product_0608405,BAYER CATGUT CH USP3 EP7 40M,specific_data.product_categ__mat_sut_bobine
__import__.product_0608720,BAYER POLYAMIDE EP4 100M,specific_data.product_categ__mat_sutures
__import__.product_0608900,"BAYER SUPRAMID EP3,5N 100M",specific_data.product_categ__mat_sutures
__import__.product_0608945,BAYER SUPRAMID EP6 50M,specific_data.product_categ__mat_sut_bobine
__import__.product_0618207,DUODERM PATE 30GR,specific_data.product_categ__humain
__import__.product_0630050,"NACL 0,9% ECOFLAC 500ML",specific_data.product_categ__vasculo
__import__.product_0643177,DEXON II USP00 BIC AIGT30MM  6431,specific_data.product_categ__mat_sutures
__import__.product_0656777,COTON TIGE LONG PETIT BOUT 15cmpa,__temp__.product_categ_undefined
__import__.product_0661851,MAXON USP2/0 EP3 24C3/8 UND 6618-,specific_data.product_categ__mat_sutures
__import__.product_0668368,HISTOFREEZER 2x80ml + 60 embouts 2mm,specific_data.product_categ__mat_conso
__import__.product_0678961,COMPRESSE MEDECIN STER ES1 05x05,__temp__.product_categ_undefined
__import__.product_0678979,COMPRESSE MEDECIN STER ES37.5x7.5,__temp__.product_categ_undefined
__import__.product_0678987,COMPRESSE MEDECIN STER ES5 10x10/,specific_data.product_categ__mat_conso
__import__.product_0682724,OPSITE FLEXIGRID 10x12CM 50PC,specific_data.product_categ__mat_conso
__import__.product_0705602,CATHETER POLY 8CM 2MMx25 1444.20,__temp__.product_categ_undefined
__import__.product_0706738,SONDE GLANDE ANALE PLASTIQUE,__temp__.product_categ_undefined
__import__.product_0712353,BRAUN SUPRAMID USP000 DS24 45CM,specific_data.product_categ__mat_sutures
__import__.product_0714364,BRAUN SUPRAMID USP00 EP3 DS24 X 3,specific_data.product_categ__mat_sutures
__import__.product_0719165,ANNEAU INOX EN S 65mm,specific_data.product_categ__mat_rurale
__import__.product_0719548,ANNEAU INOX EN W 55MM,specific_data.product_categ__mat_rurale
__import__.product_0722017,"BICARBONATE SODIQUE 6,72% 500MLBA",specific_data.product_categ__vasculo
__import__.product_0724435,"CHLORURE SODIQUE 0,9% 150ML X30P",specific_data.product_categ__vasculo
__import__.product_0741371,PLAFONNIER ABS 4 TUBES 125x62,__temp__.product_categ_undefined
__import__.product_0750883,ARMOIRE COMBI-LA TYPE 6-3,specific_data.product_categ__mat_equipement
__import__.product_0772041,DRAP D'EXAMEN 80cmx200m,__temp__.product_categ_undefined
__import__.product_0802116,IDEALHAFT BANDE 10CM,__temp__.product_categ_undefined
