id,price_category_id/id,categ_id/id
__import__.product_5169900,specific_product.product_price_category_gma,__temp__.product_categ_undefined
__import__.product_5910505,,specific_data.product_categ__mat_sut_bobine
__import__.product_5910515,,specific_data.product_categ__mat_sut_bobine
__import__.product_5910605,,specific_data.product_categ__mat_sut_bobine
__import__.product_5916401,,specific_data.product_categ__mat_sutures
__import__.product_5916500,,specific_data.product_categ__mat_sutures
__import__.product_5916501,,specific_data.product_categ__mat_sutures
__import__.product_5916525,,specific_data.product_categ__mat_sutures
__import__.product_5921505,,specific_data.product_categ__mat_sut_bobine
__import__.product_5921510,,specific_data.product_categ__mat_sut_bobine
__import__.product_5921605,,specific_data.product_categ__mat_sut_bobine
__import__.product_5921610,,specific_data.product_categ__mat_sut_bobine
__import__.product_7920049,,specific_data.product_categ__mat_sut_bobine
__import__.product_7920056,,specific_data.product_categ__mat_sut_bobine
__import__.product_7920149,,specific_data.product_categ__mat_sut_bobine
__import__.product_7920156,,specific_data.product_categ__mat_sut_bobine
