id,route_ids/id,categ_id/id
__import__.product_1004130,purchase.route_warehouse0_buy,specific_data.product_categ__mat_equipement
__import__.product_1010770,purchase.route_warehouse0_buy,specific_data.product_categ__mat_conso
__import__.product_1016560,purchase.route_warehouse0_buy,specific_data.product_categ__mat_img_radio
__import__.product_1019670,purchase.route_warehouse0_buy,specific_data.product_categ__mat_conso
__import__.product_1032030,purchase.route_warehouse0_buy,specific_data.product_categ__mat_img_echo
__import__.product_1180061,purchase.route_warehouse0_buy,specific_data.product_categ__ali_physio
__import__.product_1239581,purchase.route_warehouse0_buy,specific_data.product_categ__ali_physio
__import__.product_2510485,purchase.route_warehouse0_buy,specific_data.product_categ__hormones
__import__.product_3305703,purchase.route_warehouse0_buy,specific_data.product_categ__antimicrobiens
__import__.product_4004191,"stock.route_warehouse0_mto,purchase.route_warehouse0_buy",specific_data.product_categ__mat_dentisterie
__import__.product_4634434,purchase.route_warehouse0_buy,specific_data.product_categ__vitamines
__import__.product_5042538,purchase.route_warehouse0_buy,specific_data.product_categ__ali_comp
__import__.product_5046543,purchase.route_warehouse0_buy,specific_data.product_categ__mat_equipement
__import__.product_5082200,purchase.route_warehouse0_buy,specific_data.product_categ__mat_petshop
__import__.product_5106324,purchase.route_warehouse0_buy,__temp__.product_categ_undefined
__import__.product_5107140,purchase.route_warehouse0_buy,specific_data.product_categ__mat_conso
__import__.product_5107142,purchase.route_warehouse0_buy,specific_data.product_categ__mat_conso
__import__.product_5112372,purchase.route_warehouse0_buy,specific_data.product_categ__mat_conso
__import__.product_5113584,purchase.route_warehouse0_buy,specific_data.product_categ__mat_conso
__import__.product_5147764,purchase.route_warehouse0_buy,specific_data.product_categ__mat_conso
__import__.product_5147936,purchase.route_warehouse0_buy,specific_data.product_categ__mat_conso
__import__.product_5150004,purchase.route_warehouse0_buy,specific_data.product_categ__mat_conso
__import__.product_5150122,purchase.route_warehouse0_buy,specific_data.product_categ__mat_sutures
__import__.product_5151014,purchase.route_warehouse0_buy,specific_data.product_categ__mat_equipement
__import__.product_5164940,purchase.route_warehouse0_buy,specific_data.product_categ__mat_conso
__import__.product_5175009,"stock.route_warehouse0_mto,purchase.route_warehouse0_buy",specific_data.product_categ__mat_equipement
__import__.product_5175145,purchase.route_warehouse0_buy,specific_data.product_categ__mat_equipement
__import__.product_5211261,purchase.route_warehouse0_buy,specific_data.product_categ__mat_rurale
__import__.product_5211262,purchase.route_warehouse0_buy,specific_data.product_categ__mat_rurale
__import__.product_5215040,purchase.route_warehouse0_buy,specific_data.product_categ__mat_rurale
__import__.product_5227052,purchase.route_warehouse0_buy,specific_data.product_categ__mat_rurale
__import__.product_5227970,purchase.route_warehouse0_buy,specific_data.product_categ__mat_conso
__import__.product_5244012,purchase.route_warehouse0_buy,specific_data.product_categ__mat_equipement
__import__.product_5244015,purchase.route_warehouse0_buy,specific_data.product_categ__mat_equipement
__import__.product_5250255,purchase.route_warehouse0_buy,specific_data.product_categ__mat_conso
__import__.product_5278082,purchase.route_warehouse0_buy,specific_data.product_categ__mat_conso
__import__.product_5278086,purchase.route_warehouse0_buy,specific_data.product_categ__mat_conso
__import__.product_5278087,purchase.route_warehouse0_buy,specific_data.product_categ__mat_conso
__import__.product_5278089,purchase.route_warehouse0_buy,specific_data.product_categ__mat_conso
__import__.product_5302253,purchase.route_warehouse0_buy,specific_data.product_categ__mat_equipement
__import__.product_5304100,purchase.route_warehouse0_buy,specific_data.product_categ__mat_conso
__import__.product_5307241,purchase.route_warehouse0_buy,specific_data.product_categ__mat_conso
__import__.product_5307242,purchase.route_warehouse0_buy,specific_data.product_categ__mat_conso
__import__.product_5307243,purchase.route_warehouse0_buy,specific_data.product_categ__mat_conso
__import__.product_5338690,purchase.route_warehouse0_buy,specific_data.product_categ__mat_equipement
__import__.product_5340905,purchase.route_warehouse0_buy,specific_data.product_categ__mat_sut_bobine
__import__.product_5425034,purchase.route_warehouse0_buy,specific_data.product_categ__mat_equipement
__import__.product_5425035,purchase.route_warehouse0_buy,specific_data.product_categ__mat_conso
__import__.product_5431500,purchase.route_warehouse0_buy,specific_data.product_categ__mat_conso
__import__.product_5508161,purchase.route_warehouse0_buy,specific_data.product_categ__mat_equipement
__import__.product_5512036,purchase.route_warehouse0_buy,specific_data.product_categ__importation
__import__.product_5617232,"stock.route_warehouse0_mto,purchase.route_warehouse0_buy",specific_data.product_categ__mat_equipement
__import__.product_5635501,purchase.route_warehouse0_buy,specific_data.product_categ__mat_dentisterie
__import__.product_5642167,purchase.route_warehouse0_buy,specific_data.product_categ__mat_conso
__import__.product_5700050,purchase.route_warehouse0_buy,specific_data.product_categ__mat_conso
__import__.product_5713110,purchase.route_warehouse0_buy,specific_data.product_categ__mat_equipement
__import__.product_5741741,purchase.route_warehouse0_buy,specific_data.product_categ__mat_img_radio
__import__.product_5823226,purchase.route_warehouse0_buy,specific_data.product_categ__ali_physio
__import__.product_5826150,"stock.route_warehouse0_mto,purchase.route_warehouse0_buy",specific_data.product_categ__mat_ortho
