id,route_ids/id,list_price,categ_id/id
__import__.product_4302202,purchase.route_warehouse0_buy,1713.00,specific_data.product_categ__mat_equipement
__import__.product_5014729,purchase.route_warehouse0_buy,229.95,specific_data.product_categ__mat_img_radio
__import__.product_5039031,"stock.route_warehouse0_mto,purchase.route_warehouse0_buy",24.00,specific_data.product_categ__mat_conso
__import__.product_5046001,purchase.route_warehouse0_buy,212.00,specific_data.product_categ__mat_equipement
__import__.product_5100105,purchase.route_warehouse0_buy,40.00,specific_data.product_categ__mat_conso
__import__.product_5105803,purchase.route_warehouse0_buy,110.00,specific_data.product_categ__mat_equipement
__import__.product_5105809,purchase.route_warehouse0_buy,110.00,specific_data.product_categ__mat_equipement
__import__.product_5210301,purchase.route_warehouse0_buy,11.31,specific_data.product_categ__mat_equipement
__import__.product_5760305,"stock.route_warehouse0_mto,purchase.route_warehouse0_buy",51.10,specific_data.product_categ__mat_sutures
__import__.product_5800011,purchase.route_warehouse0_buy,35.60,specific_data.product_categ__mat_conso
__import__.product_5943100,purchase.route_warehouse0_buy,35.64,specific_data.product_categ__mat_dentisterie
__import__.product_7944365,purchase.route_warehouse0_buy,29.50,specific_data.product_categ__mat_equins
__import__.product_8028297,purchase.route_warehouse0_buy,63.53,specific_data.product_categ__mat_conso
__import__.product_8076451,"stock.route_warehouse0_mto,purchase.route_warehouse0_buy",11.98,specific_data.product_categ__mat_petshop
__import__.product_8158003,"stock.route_warehouse0_mto,purchase.route_warehouse0_buy",94.15,specific_data.product_categ__mat_conso
__import__.product_8201979,purchase.route_warehouse0_buy,1488.00,specific_data.product_categ__mat_equipement
__import__.product_8219092,purchase.route_warehouse0_buy,8.11,specific_data.product_categ__mat_petshop
__import__.product_8219100,purchase.route_warehouse0_buy,9.45,specific_data.product_categ__mat_petshop
__import__.product_8219117,purchase.route_warehouse0_buy,11.30,specific_data.product_categ__mat_petshop
__import__.product_8219123,purchase.route_warehouse0_buy,12.20,specific_data.product_categ__mat_petshop
__import__.product_8219146,purchase.route_warehouse0_buy,13.45,specific_data.product_categ__mat_petshop
__import__.product_8219152,purchase.route_warehouse0_buy,11.75,specific_data.product_categ__mat_petshop
__import__.product_8246396,purchase.route_warehouse0_buy,114.66,specific_data.product_categ__mat_petshop
__import__.product_8294113,purchase.route_warehouse0_buy,7.96,specific_data.product_categ__mat_petshop
__import__.product_8330056,purchase.route_warehouse0_buy,16.40,specific_data.product_categ__mat_conso
__import__.product_8333043,"stock.route_warehouse0_mto,purchase.route_warehouse0_buy",21.04,specific_data.product_categ__mat_equipement
__import__.product_8373870,purchase.route_warehouse0_buy,115.50,specific_data.product_categ__mat_ortho
__import__.product_8389434,purchase.route_warehouse0_buy,32.93,specific_data.product_categ__mat_ortho
