id,price,product_code
__import__.supplierinfo_60422-8031566,4.07,040531
__import__.supplierinfo_60422-8031572,4.07,040530
__import__.supplierinfo_60422-8031589,4.07,040535
__import__.supplierinfo_60436-5246000,72.00,MTB 20
__import__.supplierinfo_63575-5060399,1.24,ERE0600+DRE0500
__import__.supplierinfo_67530-3030706,35.09,26D7030
__import__.supplierinfo_68302-1385954,29.15,* 277 546/3
__import__.supplierinfo_71066-8032028,15.04,005205
__import__.supplierinfo_71066-8032181,2.16,007492
__import__.supplierinfo_71212-8018259,9.97,2179000
__import__.supplierinfo_73626-8158003,74.62,478006
__import__.supplierinfo_73671-8199745,59.89,480 170
__import__.supplierinfo_74026-1050601,12.90,4700 BLKW M
__import__.supplierinfo_74026-1050603,12.90,4700 SHPW M
__import__.supplierinfo_74026-2496001,26.70,2496 VGY S
__import__.supplierinfo_74026-2496003,26.70,2496 MARS L
__import__.supplierinfo_74026-2522499,26.70,2499 ANI L
__import__.supplierinfo_74026-4020001,16.50,4020 BLKW S
__import__.supplierinfo_74026-5002892,20.10,2892 NVYB M
__import__.supplierinfo_74026-5010506,12.90,4700 SHPW S
__import__.supplierinfo_74026-5051001,17.20,051 VGY M
__import__.supplierinfo_74026-5105061,15.20,HC10506 NV M
__import__.supplierinfo_74026-5116021,12.00,4100 PWTWX L
__import__.supplierinfo_74026-5277500,12.20,86706 ROWZ S
__import__.supplierinfo_74026-5326220,15.20,4700 PBOY S
__import__.supplierinfo_74026-5326222,15.20,4700 PBOY M
__import__.supplierinfo_74026-5326223,15.20,4700 PBOY L
__import__.supplierinfo_74026-5410001,12.00,4100 PWTW L
__import__.supplierinfo_74026-5410002,12.00,4100 PWTW M
__import__.supplierinfo_74026-5410003,12.00,4100 PWTW S
__import__.supplierinfo_74026-5410111,12.00,4100 AZCW M
__import__.supplierinfo_74026-5470000,10.90,4700 PWTW XS
__import__.supplierinfo_74026-5470001,12.90,4700 PWTW M
__import__.supplierinfo_74026-5470002,12.90,4700 PWTW S
__import__.supplierinfo_74026-5470033,12.90,4700 PWTW XL
__import__.supplierinfo_74026-5475470,12.90,4700 LMGW XL
__import__.supplierinfo_74026-5475471,12.90,4700 LMGW M
__import__.supplierinfo_74026-5715059,12.20,86706 WINZ XS
__import__.supplierinfo_74026-5715061,15.20,HC10506 WIN M
__import__.supplierinfo_74026-5715063,12.90,4700 WHTW M
__import__.supplierinfo_74026-5715064,12.20,86706 WIWZ XL
__import__.supplierinfo_74026-5740007,20.60,007 DWH M
__import__.supplierinfo_74026-5740267,20.60,007 MAR M
__import__.supplierinfo_74026-5740268,12.90,4700 TAUW XL
__import__.supplierinfo_74026-5742499,26.70,2499 DWH L
__import__.supplierinfo_74026-5744020,16.50,4020 PWTW XL
__import__.supplierinfo_74026-5744021,16.50,4020 PWTW L
__import__.supplierinfo_74026-5744022,16.50,4020 PWTW M
__import__.supplierinfo_74026-5810031,23.40,81003 NVYZ S
__import__.supplierinfo_74026-5817221,20.10,81722 NVYZ S
__import__.supplierinfo_74026-5817223,20.10,81722 NVYZ L
__import__.supplierinfo_74026-5817224,20.10,81722 NVYZ XL
__import__.supplierinfo_74026-5817454,21.10,817455 NVYZ M
__import__.supplierinfo_74026-5817455,21.10,817455 NVYZ XS
__import__.supplierinfo_74026-7402606,12.90,4700 SHPW XS
__import__.supplierinfo_74026-8173551,21.60,817355 HPKZ M
__import__.supplierinfo_74026-8573551,21.60,857355 NVY XS
__import__.supplierinfo_74026-8573552,21.60,857355 NVYZ S
__import__.supplierinfo_77316-5280796,61.56,280805
__import__.supplierinfo_77614-8225081,8.16,024183
__import__.supplierinfo_79000-8180941,85.54,8180941
__import__.supplierinfo_79000-8223863,6.06,CY1752 RFA188
__import__.supplierinfo_79000-8279438,10.21,D1090
__import__.supplierinfo_79001-8104727,76.62,8123989
__import__.supplierinfo_79100-0398131,15.25,43592G
__import__.supplierinfo_79100-1067768,22.05,C14910D
__import__.supplierinfo_79100-1118876,23.39,C13631E
__import__.supplierinfo_79100-1183375,13.81,801360L
__import__.supplierinfo_79100-1280320,13.96,281010S
__import__.supplierinfo_79100-1660380,70.14,E91210H
__import__.supplierinfo_79100-2123842,28.05,836720C
__import__.supplierinfo_79100-2379741,15.18,C53131
__import__.supplierinfo_79100-2379758,6.13,C53121
__import__.supplierinfo_79100-2435873,17.10,C51310C
__import__.supplierinfo_79100-2443000,7.65,C64110B
__import__.supplierinfo_79100-2446532,30.17,836730H
__import__.supplierinfo_79100-2488740,9.61,C54320C
__import__.supplierinfo_79100-2488757,14.10,C54330C
__import__.supplierinfo_79100-2620573,38.85,C55330C
__import__.supplierinfo_79100-2620581,17.77,C55320E
__import__.supplierinfo_79100-2637551,9.91,F27910G
__import__.supplierinfo_79100-2637569,92.18,F27920N
__import__.supplierinfo_79100-2637577,4.96,F28010J
__import__.supplierinfo_79100-2637593,27.90,F28020Q
__import__.supplierinfo_79100-2686533,16.51,C68120K
__import__.supplierinfo_79100-2686541,54.75,C68110M
__import__.supplierinfo_79100-2700680,24.34,D65320D
__import__.supplierinfo_79100-2710796,19.81,F28060H
__import__.supplierinfo_79100-2710804,6.31,F28080B
__import__.supplierinfo_79100-2713998,86.74,C56030E
__import__.supplierinfo_79100-2716850,9.19,C63010D
__import__.supplierinfo_79100-2717437,102.55,C55820C
__import__.supplierinfo_79100-2736122,6.02,C63910C
__import__.supplierinfo_79100-2745305,92.65,C61410D
__import__.supplierinfo_79100-2751410,62.01,C50620H
__import__.supplierinfo_79100-2766079,18.00,388620C
__import__.supplierinfo_79100-2814986,13.96,C95630J
__import__.supplierinfo_79100-2935773,39.01,C56040C
__import__.supplierinfo_79100-2972305,30.04,C63530B
__import__.supplierinfo_79100-3020674,13.41,F03920B
__import__.supplierinfo_79100-3045523,136.71,F26240I
__import__.supplierinfo_79100-3045549,193.80,F26240I
__import__.supplierinfo_79100-3089067,12.09,C66120A
__import__.supplierinfo_79100-3089075,11.61,C66110A
__import__.supplierinfo_79100-3089083,14.01,C66130A
__import__.supplierinfo_79100-3089091,15.84,C66140A
__import__.supplierinfo_79100-3089109,17.93,C66150A
__import__.supplierinfo_79100-3164605,10.09,C66010C
__import__.supplierinfo_79100-3344363,9.36,D86210B
__import__.supplierinfo_79100-3409968,8.01,F22310H
__import__.supplierinfo_79100-3409984,27.60,F44020D
__import__.supplierinfo_79100-3410008,58.35,F44040E
__import__.supplierinfo_79100-3410156,48.89,C67010B
__import__.supplierinfo_79100-3550472,6.60,F03911D
__import__.supplierinfo_79100-3550498,5.79,F04410Y
__import__.supplierinfo_79100-7420028,60.77,E90630N
__import__.supplierinfo_79100-7910011,54.91,83415B
__import__.supplierinfo_79100-7910041,18.00,C07850B
__import__.supplierinfo_79100-7910047,4.69,D44410R
__import__.supplierinfo_79100-7910048,5.48,D44420R
