id,reconcile,code,name,company_id/id,user_type_id/id,tag_ids/id
__setup__.account_411900,FALSE,411900,TVA à régulariser,base.main_company,account.data_account_type_current_assets,
__setup__.account_444100,TRUE,444100,Note de crédit à établir,base.main_company,account.data_account_type_payable,
__setup__.account_550005,FALSE,550005,ING livret vert,base.main_company,account.data_account_type_liquidity,
__setup__.account_550010,FALSE,550010,Business account,base.main_company,account.data_account_type_liquidity,
__setup__.account_620321,FALSE,620321,Dotation provision primes ouvriers,base.main_company,account.data_account_type_expenses,
__setup__.account_621301,FALSE,621301,Onss s/rem.ex.anterieurs,base.main_company,account.data_account_type_expenses,
__setup__.account_621400,FALSE,621400,Cotisation ONSS 2e pilier pension,base.main_company,account.data_account_type_expenses,
__setup__.account_802000,FALSE,802000,Gage fond commerce hypothèque,base.main_company,__setup__.account_type_annexes_hors_bilan,
__setup__.account_802001,FALSE,802001,Mandat hyp.ing et cbc,base.main_company,__setup__.account_type_annexes_hors_bilan,
__setup__.account_802010,FALSE,802010,Fonds comm.hypotheque,base.main_company,__setup__.account_type_annexes_hors_bilan,
__setup__.account_802011,FALSE,802011,Mandat hyp.ing et cbc,base.main_company,__setup__.account_type_annexes_hors_bilan,
__setup__.account_012000,FALSE,012000,Octroi de garantie,base.main_company,__setup__.account_type_annexes_hors_bilan,
__setup__.account_013000,FALSE,013000,Octroi de garantie,base.main_company,__setup__.account_type_annexes_hors_bilan,
__setup__.account_020000,FALSE,020000,Garanties dexia,base.main_company,__setup__.account_type_annexes_hors_bilan,
__setup__.account_020001,FALSE,020001,Garanties ing,base.main_company,__setup__.account_type_annexes_hors_bilan,
__setup__.account_020002,FALSE,020002,Garanties cbc,base.main_company,__setup__.account_type_annexes_hors_bilan,
__setup__.account_020010,FALSE,020010,Inscript. Hypoth ing&cbc,base.main_company,__setup__.account_type_annexes_hors_bilan,
__setup__.account_020030,FALSE,020030,Gage fds commerce ing&cbc,base.main_company,__setup__.account_type_annexes_hors_bilan,
__setup__.account_020040,FALSE,020040,Mandat hypoth ing & cbc,base.main_company,__setup__.account_type_annexes_hors_bilan,
__setup__.account_020050,FALSE,020050,Mandat gage fd com cbcing,base.main_company,__setup__.account_type_annexes_hors_bilan,
__setup__.account_021000,FALSE,021000,Garanties dexia,base.main_company,__setup__.account_type_annexes_hors_bilan,
__setup__.account_021001,FALSE,021001,Garanties ing,base.main_company,__setup__.account_type_annexes_hors_bilan,
__setup__.account_021002,FALSE,021002,Garanties cbc,base.main_company,__setup__.account_type_annexes_hors_bilan,
__setup__.account_021010,FALSE,021010,Inscript. Hypoth ing&cbc,base.main_company,__setup__.account_type_annexes_hors_bilan,
__setup__.account_021030,FALSE,021030,Gage fds commerce ing&cbc,base.main_company,__setup__.account_type_annexes_hors_bilan,
__setup__.account_021040,FALSE,021040,Mandat hypoth ing & cbc,base.main_company,__setup__.account_type_annexes_hors_bilan,
__setup__.account_021050,FALSE,021050,Mandat gage fd com cbcing,base.main_company,__setup__.account_type_annexes_hors_bilan,
__setup__.account_032000,FALSE,032000,Garanties recues loyer vi,base.main_company,__setup__.account_type_annexes_hors_bilan,
__setup__.account_033000,FALSE,033000,Const.gar. Cbc loyer,base.main_company,__setup__.account_type_annexes_hors_bilan,
