id,orderpoint_min,orderpoint_max,orderpoint_qty_multiple
__import__.product_0011001,160,320,64
__import__.product_0011002,2,4,1
__import__.product_0026963,120,270,12
__import__.product_0029132,300,904,40
__import__.product_0029149,0,1,1
__import__.product_0037028,258,876,1
__import__.product_0037077,124,419,5
__import__.product_0040097,5,10,12
__import__.product_0041921,13,51,10
__import__.product_0042028,120,269,1
__import__.product_0045518,10,33,1
__import__.product_0045666,19,64,15
__import__.product_0048173,78,291,5
__import__.product_0048181,8,28,1
__import__.product_0061887,100,337,1
__import__.product_0063784,160,300,10
__import__.product_0063792,24,50,1
__import__.product_0064014,12,24,12
__import__.product_0064015,2,4,1
__import__.product_0064725,49,182,1
__import__.product_0067306,10,20,50
__import__.product_0067330,10,20,50
__import__.product_0067678,6,12,4
__import__.product_0068536,1,2,1
__import__.product_0071514,222,751,50
__import__.product_0076901,20,48,1
__import__.product_0079327,21,60,10
__import__.product_0079459,12,32,20
__import__.product_0081620,1,2,1
__import__.product_0082420,9,20,10
__import__.product_0083253,3,9,2
__import__.product_0083873,41,151,1
__import__.product_0084665,515,1000,10
__import__.product_0085456,106,394,120
__import__.product_0086132,15,45,12
__import__.product_0095412,5,7,50
__import__.product_0095695,30,70,1
__import__.product_0097576,25,85,12
__import__.product_0098467,34,127,72
__import__.product_0102749,6,18,1
__import__.product_0104299,198,738,12
__import__.product_0109181,10,16,1
__import__.product_0111054,25,50,50
__import__.product_0111591,20,40,50
__import__.product_0111963,20,40,50
__import__.product_0112110,263,980,12
__import__.product_0112573,140,520,200
__import__.product_0113464,34,114,1
__import__.product_0117994,12,36,6
__import__.product_0118018,75,225,12
__import__.product_0118034,12,36,10
__import__.product_0125732,261,884,10
__import__.product_0130401,2,5,1
__import__.product_0132324,23,69,12
__import__.product_0135194,12,24,1
__import__.product_0135996,210,535,12
__import__.product_0136465,54,120,12
__import__.product_0136481,58,214,12
__import__.product_0136499,73,246,12
__import__.product_0136945,272,1015,12
__import__.product_0159800,8,19,1
__import__.product_0159820,10,23,1
__import__.product_0159830,3,6,1
__import__.product_0159860,2,4,1
__import__.product_0159870,4,8,1
__import__.product_0159880,7,12,1
__import__.product_0159920,3,7,1
__import__.product_0159930,5,10,1
__import__.product_0175471,3,5,1
__import__.product_0175497,1,2,1
__import__.product_0180370,0,1,1
__import__.product_0180810,10,20,50
__import__.product_0180836,6,12,50
__import__.product_0181396,1,2,1
__import__.product_0183137,2,4,1
__import__.product_0185967,2,4,1
__import__.product_0192294,3,6,1
__import__.product_0192295,2,4,28
__import__.product_0192385,0,1,20
__import__.product_0192450,0,1,20
__import__.product_0250019,5,10,1
__import__.product_0250555,6,20,1
__import__.product_0250563,3,10,1
__import__.product_0254680,34,114,12
__import__.product_0254698,136,431,1
__import__.product_0254722,34,87,12
__import__.product_0257360,20,40,10
__import__.product_0289009,34,51,4
__import__.product_0296442,30,102,1
__import__.product_0296459,12,40,1
__import__.product_0296467,5,16,1
__import__.product_0306158,48,96,1
__import__.product_0317339,200,480,1
__import__.product_0317347,62,210,10
__import__.product_0320123,5,15,1
__import__.product_0320125,0,1,1
__import__.product_0320137,0,2,1
__import__.product_0320138,1,2,1
__import__.product_0320140,0,3,1
__import__.product_0320167,20,20,1
__import__.product_0320168,0,10,1
__import__.product_0320244,10,25,1
__import__.product_0320245,5,5,1
__import__.product_0320366,10,25,1
__import__.product_0369124,26,94,40
__import__.product_0383406,6,15,1
__import__.product_0383414,20,40,1
__import__.product_0384537,189,556,12
__import__.product_0386920,170,520,154
__import__.product_0386938,7,23,70
__import__.product_0391151,25,50,18
__import__.product_0391383,9,18,15
__import__.product_0391946,60,120,12
__import__.product_0392670,40,80,10
__import__.product_0392704,75,150,32
__import__.product_0393819,0,1,8
__import__.product_0394569,10,20,20
__import__.product_0398131,40,136,60
__import__.product_0428060,67,160,1
__import__.product_0428315,3,8,1
__import__.product_0430397,25,55,10
__import__.product_0430398,5,10,1
__import__.product_0436717,20,50,1
__import__.product_0458265,3,6,1
__import__.product_0458273,5,18,1
__import__.product_0458281,4,12,1
__import__.product_0458299,6,18,1
__import__.product_0458323,1,3,1
__import__.product_0470021,60,164,12
__import__.product_0470039,240,480,12
__import__.product_0481358,220,440,12
__import__.product_0481366,25,50,12
__import__.product_0481739,12,25,1
__import__.product_0491357,2600,4547,1
__import__.product_0493288,24,81,1
__import__.product_0495036,5,10,18
__import__.product_0497487,21,38,12
__import__.product_0498444,3,10,10
__import__.product_0499270,10,20,12
__import__.product_0600163,2,4,1
__import__.product_0616300,10,21,1
__import__.product_0623341,0,1,1
__import__.product_0624825,3,10,1
__import__.product_0633135,115,427,65
__import__.product_0660944,56,188,12
__import__.product_0660945,72,200,12
__import__.product_0660946,24,81,5
__import__.product_0661132,60,100,40
__import__.product_0661702,3,6,20
__import__.product_0663054,1,2,1
__import__.product_0667139,1,2,12
__import__.product_0668210,15,25,1
__import__.product_0671230,6,12,1
__import__.product_0675551,2,3,36
__import__.product_0675561,6,7,36
__import__.product_0675934,5,10,20
__import__.product_0676015,149,555,100
__import__.product_0676023,200,581,100
__import__.product_0676643,60,120,1
__import__.product_0677401,45,152,20
__import__.product_0682666,8,20,1
__import__.product_0682674,5,19,1
__import__.product_0685370,117,288,1
__import__.product_0685909,30,109,1
__import__.product_0801571,4,8,120
__import__.product_0801787,6,12,12
__import__.product_0802181,2,4,10
__import__.product_0802389,10,20,90
__import__.product_0804215,10,20,90
__import__.product_0810879,35,144,8
__import__.product_0814681,2,5,1
__import__.product_0815761,26,105,1
__import__.product_0816322,14,28,4
__import__.product_0816892,2,4,8
__import__.product_0816900,2,4,10
__import__.product_0816918,2,4,10
__import__.product_0816926,2,4,6
__import__.product_0817015,40,80,10
__import__.product_0817023,120,240,24
__import__.product_0817031,25,50,50
__import__.product_0817189,2,4,135
__import__.product_0819375,2,4,1
__import__.product_0825661,5,15,1
__import__.product_0825679,3,9,1
__import__.product_0825687,4,8,1
__import__.product_0826768,3,6,1
__import__.product_0830216,10,20,5
__import__.product_0831909,59,242,1
__import__.product_0833574,37,125,1
__import__.product_0836627,25,68,10
__import__.product_0837484,56,207,10
__import__.product_0839993,8,25,10
__import__.product_0840892,30,70,1
__import__.product_0842450,36,132,10
__import__.product_0842534,100,160,10
__import__.product_0843136,107,360,48
__import__.product_0864058,122,454,100
__import__.product_0864066,205,764,10
__import__.product_0864710,68,230,12
__import__.product_0865600,5,15,1
__import__.product_0868059,100,200,20
__import__.product_0868547,40,80,120
__import__.product_0870071,32,64,32
__import__.product_0870360,4,8,4
__import__.product_0874131,10,32,1
__import__.product_0877332,7,24,1
__import__.product_0877340,6,20,1
__import__.product_0877365,20,56,4
__import__.product_0877373,200,350,5
__import__.product_0877894,17,55,1
__import__.product_0877936,2,4,1
__import__.product_0882936,2,4,1
__import__.product_0892570,14,33,10
__import__.product_0897090,11,37,1
__import__.product_0949001,9,30,10
__import__.product_0949002,2,7,20
__import__.product_1000751,71,265,12
__import__.product_1001916,100,200,12
__import__.product_1002190,1,6,1
__import__.product_1003890,0,1,1
__import__.product_1003900,1,2,1
__import__.product_1003910,1,2,1
__import__.product_1003920,0,1,1
__import__.product_1003930,1,2,1
__import__.product_1004070,0,1,1
__import__.product_1004080,0,1,1
__import__.product_1004090,1,2,1
__import__.product_1004100,0,1,1
__import__.product_1004110,0,1,1
__import__.product_1004120,0,1,1
__import__.product_1004130,0,1,1
__import__.product_1004140,0,1,1
__import__.product_1004190,0,1,1
__import__.product_1004350,0,1,1
__import__.product_1004430,1,2,1
__import__.product_1006630,0,1,1
__import__.product_1007110,0,1,1
__import__.product_1007360,0,1,1
__import__.product_1008190,1,2,1
__import__.product_1008620,2,4,1
__import__.product_1008640,0,1,1
__import__.product_1008680,1,2,1
__import__.product_1008830,1,2,1
__import__.product_1008840,1,2,1
__import__.product_1009590,0,1,1
__import__.product_1009600,0,1,1
__import__.product_1009610,0,1,1
__import__.product_1009740,0,1,1
__import__.product_1009809,48,84,12
__import__.product_1010280,1,4,1
__import__.product_1010290,5,10,4
__import__.product_1010300,12,24,4
__import__.product_1010310,8,16,4
__import__.product_1010320,8,16,4
__import__.product_1010330,4,8,4
__import__.product_1010340,2,4,4
__import__.product_1010600,0,1,30
__import__.product_1010610,1,2,30
__import__.product_1010620,2,3,20
__import__.product_1010630,2,3,12
__import__.product_1010640,2,3,8
__import__.product_1010660,2,5,6
__import__.product_1010670,1,2,4
__import__.product_1013093,1200,2320,12
__import__.product_1013127,11,40,1
__import__.product_1013143,20,66,1
__import__.product_1013150,13,44,1
__import__.product_1013168,71,241,1
__import__.product_1013192,55,185,1
__import__.product_1013390,47,175,36
__import__.product_1013432,60,110,1
__import__.product_1013465,41,116,1
__import__.product_1013481,16,54,1
__import__.product_1013549,10,32,10
__import__.product_1015030,30,50,1
__import__.product_1015040,12,24,24
__import__.product_1015390,0,1,1
__import__.product_1015410,0,1,1
__import__.product_1015420,0,1,1
__import__.product_1015440,0,1,1
__import__.product_1016510,0,1,1
__import__.product_1016560,0,1,1
__import__.product_1017990,0,1,1
__import__.product_1019380,0,1,1
__import__.product_1019620,0,3,20
__import__.product_1019630,0,3,20
__import__.product_1019640,10,30,20
__import__.product_1019660,2,4,20
__import__.product_1019670,3,6,20
__import__.product_1019900,2,3,1
__import__.product_1021350,0,1,1
__import__.product_1021360,0,1,1
__import__.product_1021370,0,1,1
__import__.product_1021380,0,1,1
__import__.product_1021390,0,1,1
__import__.product_1021898,11,38,1
__import__.product_1021906,22,80,1
__import__.product_1021914,9,29,100
__import__.product_1023027,1,3,1
__import__.product_1023420,0,1,1
__import__.product_1023430,0,1,1
__import__.product_1023440,0,1,1
__import__.product_1023450,0,1,1
__import__.product_1024170,0,1,1
__import__.product_1027515,10,20,5
__import__.product_1030250,0,1,1
__import__.product_1030320,1,2,1
__import__.product_1030330,2,6,1
__import__.product_1030340,3,5,1
__import__.product_1030350,2,4,1
__import__.product_1030410,1,2,1
__import__.product_1031049,0,1,1
__import__.product_1031820,0,1,1
__import__.product_1032030,1,2,1
__import__.product_1032240,5,10,10
__import__.product_1034880,0,1,1
__import__.product_1034940,0,1,1
__import__.product_1035724,178,605,6
__import__.product_1036706,9,30,1
__import__.product_1038030,1,2,1
__import__.product_1038439,2,4,96
__import__.product_1038454,5,10,48
__import__.product_1038990,0,1,1
__import__.product_1040060,0,1,1
__import__.product_1040230,2,5,1
__import__.product_1040270,2,4,1
__import__.product_1040960,0,1,1
__import__.product_1041050,0,1,1
__import__.product_1048236,0,36,1
__import__.product_1050400,0,5,1
__import__.product_1050410,0,5,1
__import__.product_1053611,1,5,1
__import__.product_1055360,0,1,1
__import__.product_1060600,0,1,1
__import__.product_1064484,212,872,1
__import__.product_1067768,17,68,20
__import__.product_1069101,2,5,1
__import__.product_1069152,0,2,1
__import__.product_1070499,31,106,10
__import__.product_1071125,48,96,6
__import__.product_1073188,2,4,1
__import__.product_1073352,10,20,1
__import__.product_1073360,50,90,1
__import__.product_1073378,5,10,1
__import__.product_1073386,3,6,1
__import__.product_1073394,10,20,1
__import__.product_1074194,72,242,12
__import__.product_1074269,2,4,1
__import__.product_1074467,10,17,15
__import__.product_1074566,5,18,15
__import__.product_1077486,3,11,1
__import__.product_1077585,18,30,1
__import__.product_1086891,8,26,1
__import__.product_1088897,14,45,5
__import__.product_1091719,4,14,10
__import__.product_1091727,7,15,1
__import__.product_1097641,25,83,60
__import__.product_1112515,22,79,12
__import__.product_1112523,10,35,12
__import__.product_1112622,56,206,6
__import__.product_1112655,44,133,6
__import__.product_1113372,3,9,1
__import__.product_1114099,108,367,60
__import__.product_1115377,4,11,6
__import__.product_1118876,3,6,1
__import__.product_1118975,12,30,12
__import__.product_1118983,53,144,12
__import__.product_1120872,1,3,1
__import__.product_1120898,1,4,1
__import__.product_1122100,14,47,12
