id,taxes_id/id
__import__.product_PFIZER01,"l10n_be.1_attn_VAT-OUT-21-L,l10n_be_apb_tax.1_apb_02_out"
__import__.product_T553204,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_02_out"
__import__.product_T600832,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_02_out"
__import__.product_T600874,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_02_out"
__import__.product_T604965,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_02_out"
__import__.product_T660074,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_02_out"
__import__.product_T743467,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_02_out"
__import__.product_T908986,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_02_out"
__import__.product_0011304,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_02_out,l10n_be_antibiotic_tax.1_antibiotic_001_in,l10n_be_antibiotic_tax.1_antibiotic_001_out"
__import__.product_0012910,"l10n_be.1_attn_VAT-OUT-21-L,l10n_be_apb_tax.1_apb_02_out"
__import__.product_0020113,"l10n_be.1_attn_VAT-OUT-21-L,l10n_be_apb_tax.1_apb_02_out"
__import__.product_0020115,"l10n_be.1_attn_VAT-OUT-21-L,l10n_be_apb_tax.1_apb_02_out"
__import__.product_0020212,"l10n_be.1_attn_VAT-OUT-21-L,l10n_be_apb_tax.1_apb_02_out"
__import__.product_0020400,"l10n_be.1_attn_VAT-OUT-21-L,l10n_be_apb_tax.1_apb_02_out"
__import__.product_0020410,"l10n_be.1_attn_VAT-OUT-21-L,l10n_be_apb_tax.1_apb_02_out"
__import__.product_0020412,"l10n_be.1_attn_VAT-OUT-21-L,l10n_be_apb_tax.1_apb_02_out"
__import__.product_0020717,"l10n_be.1_attn_VAT-OUT-21-L,l10n_be_apb_tax.1_apb_02_out"
__import__.product_0020724,"l10n_be.1_attn_VAT-OUT-21-L,l10n_be_apb_tax.1_apb_02_out"
__import__.product_0020915,"l10n_be.1_attn_VAT-OUT-21-L,l10n_be_apb_tax.1_apb_02_out"
__import__.product_0020939,"l10n_be.1_attn_VAT-OUT-21-L,l10n_be_apb_tax.1_apb_02_out"
__import__.product_0021516,"l10n_be.1_attn_VAT-OUT-21-L,l10n_be_apb_tax.1_apb_02_out"
__import__.product_0022018,"l10n_be.1_attn_VAT-OUT-21-L,l10n_be_apb_tax.1_apb_02_out"
__import__.product_0023452,"l10n_be.1_attn_VAT-OUT-21-L,l10n_be_apb_tax.1_apb_02_out"
__import__.product_0023810,"l10n_be.1_attn_VAT-OUT-21-L,l10n_be_apb_tax.1_apb_02_out"
__import__.product_0023916,"l10n_be.1_attn_VAT-OUT-21-L,l10n_be_apb_tax.1_apb_02_out"
__import__.product_0024292,"l10n_be.1_attn_VAT-OUT-21-L,l10n_be_apb_tax.1_apb_02_out"
__import__.product_0024319,"l10n_be.1_attn_VAT-OUT-21-L,l10n_be_apb_tax.1_apb_02_out"
__import__.product_0024333,"l10n_be.1_attn_VAT-OUT-21-L,l10n_be_apb_tax.1_apb_02_out"
__import__.product_0024715,"l10n_be.1_attn_VAT-OUT-21-L,l10n_be_apb_tax.1_apb_02_out"
__import__.product_0024920,"l10n_be.1_attn_VAT-OUT-21-L,l10n_be_apb_tax.1_apb_02_out"
__import__.product_0025323,"l10n_be.1_attn_VAT-OUT-21-L,l10n_be_apb_tax.1_apb_02_out"
__import__.product_0025420,"l10n_be.1_attn_VAT-OUT-21-L,l10n_be_apb_tax.1_apb_02_out"
__import__.product_0025514,"l10n_be.1_attn_VAT-OUT-21-L,l10n_be_apb_tax.1_apb_02_out"
__import__.product_0026328,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_02_out"
__import__.product_0026336,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_02_out"
__import__.product_0026724,"l10n_be.1_attn_VAT-OUT-21-L,l10n_be_apb_tax.1_apb_02_out"
__import__.product_0026963,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_02_out"
__import__.product_0027617,"l10n_be.1_attn_VAT-OUT-21-L,l10n_be_apb_tax.1_apb_02_out"
__import__.product_0027716,"l10n_be.1_attn_VAT-OUT-21-L,l10n_be_apb_tax.1_apb_02_out"
__import__.product_0027720,"l10n_be.1_attn_VAT-OUT-21-L,l10n_be_apb_tax.1_apb_02_out"
__import__.product_0029132,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_02_out"
__import__.product_0029643,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_02_out"
__import__.product_0032052,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_02_out"
__import__.product_0032410,"l10n_be.1_attn_VAT-OUT-21-L,l10n_be_apb_tax.1_apb_02_out"
__import__.product_0034686,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_02_out"
__import__.product_0037028,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_02_out,l10n_be_antibiotic_tax.1_antibiotic_001_in,l10n_be_antibiotic_tax.1_antibiotic_001_out"
__import__.product_0037077,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_02_out"
__import__.product_0037754,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_02_out"
__import__.product_0037770,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_02_out"
__import__.product_0039719,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_02_out"
__import__.product_0039859,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_02_out"
__import__.product_0039883,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_02_out"
__import__.product_0041921,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_02_out"
__import__.product_0042028,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_02_out"
__import__.product_0042267,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_02_out"
__import__.product_0042754,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_02_out"
__import__.product_0043711,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_02_out"
__import__.product_0044925,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_02_out"
__import__.product_0045518,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_02_out"
__import__.product_0045666,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_02_out,l10n_be_antibiotic_tax.1_antibiotic_001_in,l10n_be_antibiotic_tax.1_antibiotic_001_out"
__import__.product_0048173,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_02_out"
__import__.product_0048181,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_02_out"
__import__.product_0052621,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_02_out,l10n_be_antibiotic_tax.1_antibiotic_003_in,l10n_be_antibiotic_tax.1_antibiotic_003_out"
__import__.product_0052886,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_02_out"
__import__.product_0053207,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_02_out"
__import__.product_0054379,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_02_out"
__import__.product_0054429,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_02_out"
__import__.product_0056002,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_02_out"
