id,belgium_only
__import__.product_6938718,1
__import__.product_6938724,1
__import__.product_8110656,1
__import__.product_6920032,1
__import__.product_6707858,1
__import__.product_6843231,1
__import__.product_6985310,1
__import__.product_6895133,1
__import__.product_5314612,1
__import__.product_5312512,1
__import__.product_5314012,1
__import__.product_5314112,1
__import__.product_5313515,1
__import__.product_5370012,1
__import__.product_5315112,1
__import__.product_5317739,1
__import__.product_5361784,1
__import__.product_5239005,1
__import__.product_2957041,1
__import__.product_5512031,1
__import__.product_5365234,1
__import__.product_6724414,1
__import__.product_3026762,1
__import__.product_3026770,1
__import__.product_6725767,1
__import__.product_9501322,1
__import__.product_6824498,1
__import__.product_6791675,1
__import__.product_6868490,1
__import__.product_6940170,1
__import__.product_6931194,1
__import__.product_6975116,1
__import__.product_6940230,1
__import__.product_6704096,1
__import__.product_6971963,1
__import__.product_6760723,1
__import__.product_6971377,1
__import__.product_6729021,1
__import__.product_6823458,1
__import__.product_6757342,1
__import__.product_5512004,1
__import__.product_5749000,1
__import__.product_6778663,1
__import__.product_6871351,1
__import__.product_8102527,1
__import__.product_1302165,1
__import__.product_1534601,1
__import__.product_5341030,1
__import__.product_2656494,1
__import__.product_2693554,1
__import__.product_6730107,1
__import__.product_6795420,1
__import__.product_6710725,1
__import__.product_6787366,1
__import__.product_8110662,1
__import__.product_6710748,1
__import__.product_5758801,1
__import__.product_6692938,1
__import__.product_5769001,1
__import__.product_6771773,1
__import__.product_8110679,1
__import__.product_8110685,1
__import__.product_6980956,1
__import__.product_6980979,1
__import__.product_6980985,1
__import__.product_6763704,1
__import__.product_8110610,1
__import__.product_6839123,1
__import__.product_6722214,1
__import__.product_6969771,1
__import__.product_6735145,1
__import__.product_6943576,1
__import__.product_6774197,1
__import__.product_6799613,1
__import__.product_6726755,1
__import__.product_6852572,1
__import__.product_6997916,1
__import__.product_5741500,1
__import__.product_6867740,1
__import__.product_6764106,1
__import__.product_6764069,1
__import__.product_6764017,1
__import__.product_6759358,1
__import__.product_6780401,1
__import__.product_6784592,1
__import__.product_6810510,1
__import__.product_5314712,1
__import__.product_5314003,1
__import__.product_5311012,1
__import__.product_5317619,1
__import__.product_5317929,1
__import__.product_5361791,1
__import__.product_5317769,1
__import__.product_6943731,1
__import__.product_6896871,1
__import__.product_5801748,1
__import__.product_5362040,1
__import__.product_5361901,1
__import__.product_5354150,1
__import__.product_5055127,1
__import__.product_5040035,1
__import__.product_6848441,1
__import__.product_6828556,1
__import__.product_9001323,1
__import__.product_6988892,1
__import__.product_6891721,1
__import__.product_6763532,1
__import__.product_6726347,1
__import__.product_6729966,1
