id,esb_ref
specific_partner.partner_category_alcyonnaire,
specific_partner.partner_category_veterinary,1
specific_partner.partner_category_medexport,
specific_partner.partner_category_student,20
specific_partner.partner_category_pharmacy,2
specific_partner.partner_category_callcenter,4
specific_partner.partner_category_supplier,
specific_partner.partner_category_material,
specific_partner.partner_category_customerexport,
specific_partner.partner_category_demo,
specific_partner.partner_category_user,
