id,esb_ref
specific_data.product_categ_materiel,MAT
specific_data.product_categ_ali,ALI
specific_data.product_categ_medoc,MED
specific_data.product_categ_vet_belges,
specific_data.product_categ_stupefiant_vet,80
specific_data.product_categ_importation,75
specific_data.product_categ_humain,15
specific_data.product_categ_parapharmacie,
specific_data.product_categ_antimicrobiens,3
specific_data.product_categ_pis,4
specific_data.product_categ_oeil_oreille,6
specific_data.product_categ_antiparasite,7
specific_data.product_categ_sys_nerveux,9
specific_data.product_categ_vasculo,10
specific_data.product_categ_vitamines,11
specific_data.product_categ_vaccins,12
specific_data.product_categ_divers_veto,14
specific_data.product_categ_hormones,23
specific_data.product_categ_psychotropes_25,30
specific_data.product_categ_stupefiant,31
specific_data.product_categ_topiques,44
specific_data.product_categ_phytosanitaires,18
specific_data.product_categ_homeo,20
specific_data.product_categ_chimiques,29
specific_data.product_categ_divers_para,26
specific_data.product_categ_ali_comp,
specific_data.product_categ_ali_dietetique,1
specific_data.product_categ_ali_physio,2
specific_data.product_categ_mat_sutures,13
specific_data.product_categ_mat_cardio,24
specific_data.product_categ_mat_dentisterie,32
specific_data.product_categ_mat_equins,35
specific_data.product_categ_mat_rurale,36
specific_data.product_categ_mat_ortho,55
specific_data.product_categ_mat_sut_bobine,56
specific_data.product_categ_mat_equipement,58
specific_data.product_categ_mat_instrumentation,59
specific_data.product_categ_mat_img_echo,60
specific_data.product_categ_mat_img_radio,61
specific_data.product_categ_mat_img_endo,63
specific_data.product_categ_mat_occasion,66
specific_data.product_categ_mat_conso,68
specific_data.product_categ_mat_petshop,71
specific_data.product_categ_undefined,
