addon_name,odoo_version,mig_status
account_analytic_account_tag,11,no wheel
account_analytic_account_tag,12,no wheel
account_analytic_account_tag,13,no wheel
account_analytic_account_tag,14,no wheel
account_analytic_account_tag,15,no wheel
account_analytic_account_tag,16,no wheel
account_analytic_required,11,no
account_analytic_required,12,mig
account_analytic_required,13,mig
account_analytic_required,14,no
account_analytic_required,15,no
account_analytic_required,16,no
account_analytic_tag,11,no wheel
account_analytic_tag,12,no wheel
account_analytic_tag,13,no wheel
account_analytic_tag,14,no wheel
account_analytic_tag,15,no wheel
account_analytic_tag,16,no wheel
account_banking_mandate,11,mig
account_banking_mandate,12,mig
account_banking_mandate,13,mig
account_banking_mandate,14,mig
account_banking_mandate,15,no
account_banking_mandate,16,no
account_banking_pain_base,11,no
account_banking_pain_base,12,no
account_banking_pain_base,13,no
account_banking_pain_base,14,no
account_banking_pain_base,15,no
account_banking_pain_base,16,no
account_banking_sepa_credit_transfer,11,no
account_banking_sepa_credit_transfer,12,no
account_banking_sepa_credit_transfer,13,no
account_banking_sepa_credit_transfer,14,no
account_banking_sepa_credit_transfer,15,no
account_banking_sepa_credit_transfer,16,no
account_banking_sepa_direct_debit,11,no
account_banking_sepa_direct_debit,12,no
account_banking_sepa_direct_debit,13,no
account_banking_sepa_direct_debit,14,no
account_banking_sepa_direct_debit,15,no
account_banking_sepa_direct_debit,16,no
account_cutoff_accrual_order_base,11,no wheel
account_cutoff_accrual_order_base,12,no wheel
account_cutoff_accrual_order_base,13,no wheel
account_cutoff_accrual_order_base,14,no wheel
account_cutoff_accrual_order_base,15,no wheel
account_cutoff_accrual_order_base,16,no wheel
account_cutoff_accrual_order_product_category,11,no wheel
account_cutoff_accrual_order_product_category,12,no wheel
account_cutoff_accrual_order_product_category,13,no wheel
account_cutoff_accrual_order_product_category,14,no wheel
account_cutoff_accrual_order_product_category,15,no wheel
account_cutoff_accrual_order_product_category,16,no wheel
account_cutoff_accrual_order_stock_base,11,no wheel
account_cutoff_accrual_order_stock_base,12,no wheel
account_cutoff_accrual_order_stock_base,13,no wheel
account_cutoff_accrual_order_stock_base,14,no wheel
account_cutoff_accrual_order_stock_base,15,no wheel
account_cutoff_accrual_order_stock_base,16,no wheel
account_cutoff_accrual_purchase,11,no wheel
account_cutoff_accrual_purchase,12,no wheel
account_cutoff_accrual_purchase,13,no wheel
account_cutoff_accrual_purchase,14,no wheel
account_cutoff_accrual_purchase,15,no wheel
account_cutoff_accrual_purchase,16,no wheel
account_cutoff_accrual_purchase_stock,11,no wheel
account_cutoff_accrual_purchase_stock,12,no wheel
account_cutoff_accrual_purchase_stock,13,no wheel
account_cutoff_accrual_purchase_stock,14,no wheel
account_cutoff_accrual_purchase_stock,15,no wheel
account_cutoff_accrual_purchase_stock,16,no wheel
account_cutoff_accrual_sale,11,no wheel
account_cutoff_accrual_sale,12,no wheel
account_cutoff_accrual_sale,13,no wheel
account_cutoff_accrual_sale,14,no wheel
account_cutoff_accrual_sale,15,no wheel
account_cutoff_accrual_sale,16,no wheel
account_cutoff_accrual_sale_stock,11,no wheel
account_cutoff_accrual_sale_stock,12,no wheel
account_cutoff_accrual_sale_stock,13,no wheel
account_cutoff_accrual_sale_stock,14,no wheel
account_cutoff_accrual_sale_stock,15,no wheel
account_cutoff_accrual_sale_stock,16,no wheel
account_cutoff_base,11,no
account_cutoff_base,12,no
account_cutoff_base,13,mig
account_cutoff_base,14,no
account_cutoff_base,15,no
account_cutoff_base,16,no
account_financial_report,11,no
account_financial_report,12,no
account_financial_report,13,no
account_financial_report,14,no
account_financial_report,15,no
account_financial_report,16,no
account_invoice_accrual,11,no wheel
account_invoice_accrual,12,no wheel
account_invoice_accrual,13,no wheel
account_invoice_accrual,14,no wheel
account_invoice_accrual,15,no wheel
account_invoice_accrual,16,no wheel
account_invoice_check_total,11,no
account_invoice_check_total,12,no
account_invoice_check_total,13,mig
account_invoice_check_total,14,no
account_invoice_check_total,15,no
account_invoice_check_total,16,no
account_invoice_line_default_account,11,no wheel
account_invoice_line_default_account,12,no
account_invoice_line_default_account,13,no wheel
account_invoice_line_default_account,14,no wheel
account_invoice_line_default_account,15,no wheel
account_invoice_line_default_account,16,no wheel
account_invoice_purchase_quantity,11,no wheel
account_invoice_purchase_quantity,12,no wheel
account_invoice_purchase_quantity,13,no wheel
account_invoice_purchase_quantity,14,no wheel
account_invoice_purchase_quantity,15,no wheel
account_invoice_purchase_quantity,16,no wheel
account_invoice_split_refund,11,no wheel
account_invoice_split_refund,12,no wheel
account_invoice_split_refund,13,no wheel
account_invoice_split_refund,14,no wheel
account_invoice_split_refund,15,no wheel
account_invoice_split_refund,16,no wheel
account_invoice_supplier_ref_unique,11,no
account_invoice_supplier_ref_unique,12,no
account_invoice_supplier_ref_unique,13,no
account_invoice_supplier_ref_unique,14,no
account_invoice_supplier_ref_unique,15,no
account_invoice_supplier_ref_unique,16,no
account_invoice_tax_required,11,no
account_invoice_tax_required,12,no
account_invoice_tax_required,13,no
account_invoice_tax_required,14,no
account_invoice_tax_required,15,no
account_invoice_tax_required,16,no
account_invoice_transmit_method,11,no
account_invoice_transmit_method,12,no
account_invoice_transmit_method,13,mig
account_invoice_transmit_method,14,no
account_invoice_transmit_method,15,no
account_invoice_transmit_method,16,no
account_invoice_triple_discount,11,no
account_invoice_triple_discount,12,no
account_invoice_triple_discount,13,no
account_invoice_triple_discount,14,no
account_invoice_triple_discount,15,no
account_invoice_triple_discount,16,no
account_move_line_product_category,11,no wheel
account_move_line_product_category,12,no wheel
account_move_line_product_category,13,no wheel
account_move_line_product_category,14,no wheel
account_move_line_product_category,15,no wheel
account_move_line_product_category,16,no wheel
account_move_name_sequence,11,no wheel
account_move_name_sequence,12,no wheel
account_move_name_sequence,13,no wheel
account_move_name_sequence,14,no
account_move_name_sequence,15,no
account_move_name_sequence,16,no
account_move_sent_usability,11,no wheel
account_move_sent_usability,12,no wheel
account_move_sent_usability,13,no wheel
account_move_sent_usability,14,no wheel
account_move_sent_usability,15,no wheel
account_move_sent_usability,16,no wheel
account_payment_mode,11,mig
account_payment_mode,12,no
account_payment_mode,13,mig
account_payment_mode,14,no
account_payment_mode,15,no
account_payment_mode,16,no
account_payment_mode_auto_reconcile,11,no wheel
account_payment_mode_auto_reconcile,12,no wheel
account_payment_mode_auto_reconcile,13,no wheel
account_payment_mode_auto_reconcile,14,no wheel
account_payment_mode_auto_reconcile,15,no wheel
account_payment_mode_auto_reconcile,16,no wheel
account_payment_order,11,no
account_payment_order,12,mig
account_payment_order,13,mig
account_payment_order,14,mig
account_payment_order,15,mig
account_payment_order,16,mig
account_payment_partner,11,mig
account_payment_partner,12,no
account_payment_partner,13,mig
account_payment_partner,14,no
account_payment_partner,15,no
account_payment_partner,16,no
account_payment_sale,11,no
account_payment_sale,12,no
account_payment_sale,13,no
account_payment_sale,14,no
account_payment_sale,15,no
account_payment_sale,16,no
account_reconcile_restrict_partner_mismatch,11,no
account_reconcile_restrict_partner_mismatch,12,no
account_reconcile_restrict_partner_mismatch,13,no
account_reconcile_restrict_partner_mismatch,14,no
account_reconcile_restrict_partner_mismatch,15,no wheel
account_reconcile_restrict_partner_mismatch,16,no wheel
account_reversal,11,no
account_reversal,12,no wheel
account_reversal,13,no wheel
account_reversal,14,no wheel
account_reversal,15,no wheel
account_reversal,16,no wheel
account_tax_one_vat,11,no wheel
account_tax_one_vat,12,no wheel
account_tax_one_vat,13,no wheel
account_tax_one_vat,14,no wheel
account_tax_one_vat,15,no wheel
account_tax_one_vat,16,no wheel
account_tax_one_vat_purchase,11,no wheel
account_tax_one_vat_purchase,12,no wheel
account_tax_one_vat_purchase,13,no wheel
account_tax_one_vat_purchase,14,no wheel
account_tax_one_vat_purchase,15,no wheel
account_tax_one_vat_purchase,16,no wheel
account_tax_one_vat_sale,11,no wheel
account_tax_one_vat_sale,12,no wheel
account_tax_one_vat_sale,13,no wheel
account_tax_one_vat_sale,14,no wheel
account_tax_one_vat_sale,15,no wheel
account_tax_one_vat_sale,16,no wheel
account_tax_unece,11,no
account_tax_unece,12,no
account_tax_unece,13,no
account_tax_unece,14,mig
account_tax_unece,15,no
account_tax_unece,16,no
account_usability,11,no wheel
account_usability,12,no wheel
account_usability,13,no wheel
account_usability,14,no wheel
account_usability,15,no
account_usability,16,no
attachment_unindex_content,11,no
attachment_unindex_content,12,no
attachment_unindex_content,13,no
attachment_unindex_content,14,no
attachment_unindex_content,15,no
attachment_unindex_content,16,no
attribute_set,11,no wheel
attribute_set,12,no
attribute_set,13,mig
attribute_set,14,mig
attribute_set,15,no
attribute_set,16,no
auth_api_key,11,no wheel
auth_api_key,12,mig
auth_api_key,13,mig
auth_api_key,14,mig
auth_api_key,15,no
auth_api_key,16,no
auth_api_key_group,11,no wheel
auth_api_key_group,12,no wheel
auth_api_key_group,13,no wheel
auth_api_key_group,14,no
auth_api_key_group,15,no
auth_api_key_group,16,no
auth_jwt,11,no
auth_jwt,12,no wheel
auth_jwt,13,no
auth_jwt,14,no
auth_jwt,15,no wheel
auth_jwt,16,no wheel
base_business_document_import,11,no
base_business_document_import,12,no
base_business_document_import,13,no
base_business_document_import,14,no
base_business_document_import,15,no wheel
base_business_document_import,16,no wheel
base_delivery_carrier_label,11,no
base_delivery_carrier_label,12,no
base_delivery_carrier_label,13,no
base_delivery_carrier_label,14,no
base_delivery_carrier_label,15,no
base_delivery_carrier_label,16,no
base_exception,11,no
base_exception,12,no
base_exception,13,no
base_exception,14,no
base_exception,15,no
base_exception,16,no
base_geoengine,11,no
base_geoengine,12,no
base_geoengine,13,no
base_geoengine,14,no
base_geoengine,15,no wheel
base_geoengine,16,no wheel
base_import_security_group,11,no
base_import_security_group,12,no
base_import_security_group,13,no
base_import_security_group,14,no
base_import_security_group,15,no
base_import_security_group,16,no
