id;invoice_frequency
2574;10_days
1941;10_days
1992;10_days
2538;10_days
12399;10_days
3596;10_days
12628;1_month
3734;10_days
11629;10_days
12860;1_month
11760;10_days
11791;10_days
2724;10_days
12049;10_days
4416;10_days
4683;10_days
4162;10_days
2197;10_days
4777;10_days
4871;10_days
4872;10_days
12582;1_month
12650;10_days
5045;10_days
5645;10_days
5222;10_days
5280;10_days
13131;10_days
13149;10_days
5329;10_days
5405;10_days
5449;10_days
4051;10_days
3252;10_days
6658;10_days
6718;10_days
6896;10_days
6932;10_days
7076;10_days
1962;10_days
3421;10_days
7419;10_days
7425;10_days
7552;10_days
7557;10_days
7595;10_days
7844;10_days
7971;10_days
8019;10_days
8696;10_days
8704;10_days
8210;10_days
8287;10_days
8656;10_days
9000;10_days
7620;10_days
9194;10_days
9225;10_days
9301;10_days
9308;10_days
9324;10_days
8377;10_days
4735;10_days
4934;10_days
5288;10_days
5338;10_days
4840;10_days
4267;10_days
5818;10_days
8729;10_days
9186;10_days
2781;10_days
9178;10_days
9292;10_days
9609;10_days
34234;10_days
9467;10_days
7075;10_days
4147;10_days
2426;10_days
3621;10_days
3318;10_days
3230;10_days
11790;10_days
5375;10_days
11794;10_days
35444;10_days
2506;10_days
5748;10_days
2985;10_days
13555;10_days
12258;10_days
2566;10_days
2376;10_days
2384;10_days
3859;10_days
4133;10_days
11900;10_days
2956;10_days
3971;10_days
2789;10_days
35443;10_days
12945;10_days
6347;10_days
3875;10_days
12048;10_days
50638;10_days
2022;10_days
2198;10_days
2445;10_days
2699;10_days
2996;10_days
3073;10_days
3190;10_days
3279;10_days
3316;10_days
3440;10_days
3475;10_days
3529;10_days
3548;10_days
3771;10_days
11761;10_days
11803;10_days
11895;10_days
3944;10_days
12017;10_days
4109;10_days
4172;10_days
12172;10_days
12246;10_days
12280;10_days
12291;10_days
12314;10_days
12340;10_days
4356;10_days
12359;10_days
4380;10_days
12378;10_days
4410;10_days
4487;10_days
4512;10_days
12558;10_days
12580;1_month
12627;1_month
12658;10_days
12707;10_days
12724;10_days
12764;10_days
4994;10_days
5068;10_days
5160;10_days
5194;10_days
5209;10_days
5260;10_days
5295;10_days
5382;10_days
5403;10_days
5509;10_days
5548;10_days
6156;10_days
6174;10_days
6328;10_days
6429;10_days
14221;1_month
6541;10_days
44608;10_days
6564;10_days
6665;10_days
6686;10_days
14592;10_days
33743;10_days
7020;10_days
7085;10_days
7355;10_days
7271;10_days
7445;10_days
7603;10_days
7720;10_days
34447;1_month
7904;10_days
15482;10_days
8009;10_days
8118;10_days
46134;10_days
8200;10_days
8567;10_days
8641;10_days
8809;1_month
9098;10_days
3867;10_days
5899;10_days
7229;10_days
4347;10_days
8068;10_days
3666;10_days
9479;10_days
4424;10_days
9515;10_days
9556;10_days
4627;10_days
7064;10_days
5637;10_days
51901;10_days
47912;10_days
8531;10_days
7578;10_days
8523;10_days
2548;10_days
9127;10_days
9154;10_days
9170;10_days
9209;10_days
2710;10_days
2435;10_days
12285;10_days
5919;10_days
11898;10_days
11801;10_days
6913;10_days
5174;10_days
3448;10_days
13075;1_month
11762;10_days
12772;10_days
15299;1_month
12579;1_month
50639;10_days
12481;10_days
13205;1_month
1961;10_days
4388;10_days
5984;10_days
13622;1_month
12904;10_days
50929;10_days
50931;10_days
50932;10_days
12672;10_days
12710;10_days
13078;1_month
5654;10_days
45501;10_days
2286;10_days
7525;10_days
6186;10_days
4136;10_days
6139;10_days
6154;10_days
11663;10_days
9316;10_days
2212;10_days
5440;10_days
4002;10_days
2970;10_days
4782;10_days
1929;10_days
3602;10_days
1909;10_days
3044;10_days
7059;10_days
8266;10_days
7411;10_days
9626;10_days
4783;10_days
7352;10_days
4705;10_days
7629;10_days
31429;10_days
5319;10_days
2634;10_days
3902;10_days
1959;10_days
3379;10_days
6763;10_days
6604;10_days
2588;10_days
2092;10_days
3947;10_days
50930;10_days
2483;10_days
3060;10_days
3327;10_days
3427;10_days
3647;10_days
11633;10_days
11649;10_days
3869;10_days
11759;10_days
11792;10_days
11793;10_days
11795;10_days
11796;10_days
11797;10_days
11799;10_days
11802;10_days
12773;10_days
4456;10_days
12924;1_month
4645;10_days
4969;10_days
31938;1_month
42713;10_days
5540;10_days
5746;10_days
6162;10_days
6170;10_days
6194;10_days
14251;1_month
6489;10_days
6793;10_days
7043;10_days
7051;10_days
7067;10_days
7433;10_days
7475;10_days
7727;10_days
7811;10_days
8222;10_days
33823;10_days
8501;10_days
8665;10_days
8673;10_days
8680;10_days
8688;10_days
8712;10_days
9187;10_days
9352;10_days
9545;10_days
9567;10_days
9657;10_days
26460;1_month
29103;10_days
