External ID,default_code,Article/Nom,Lieu/Nom de l'emplacement,lot_name,Lot/numéro de série/Date de péremption,quantity,Unité de mesure/Nom affiché,Coût unitaire
__export__.stock_quant_61219_d753d7ef,5142509,ARHOMANI ARHOMANY SPRAY 30ml,PROBLEME_QUALITE,15L271,2019-11-30 00:00:00,4.00,Unité,5.79
__export__.stock_quant_61221_3cd5133b,5142512,ARHOMANI CALM DOWN DIFFUSEUR 10ml,PROBLEME_QUALITE,15H021,2019-12-31 00:00:00,3.00,Unité,9.02
__export__.stock_quant_61223_90f3fedd,5242503,ARHOMANI CALM DOWN SPRAY 30ml,PROBLEME_QUALITE,15L264,2019-11-30 00:00:00,5.00,Unité,5.79
__export__.stock_quant_61227_7a22bb37,5142506,ARHOMANI CONCENTRATION SPRAY 30ml,PROBLEME_QUALITE,15L274,2019-11-30 00:00:00,7.00,Unité,5.79
__export__.stock_quant_61234_49072916,5142504,ARHOMANI OPENNESS SPRAY 30ml,PROBLEME_QUALITE,15L262,2019-11-30 00:00:00,8.00,Unité,5.79
__export__.stock_quant_61238_3f48a68c,5142507,ARHOMANI SELF BALANCE SPRAY 30ml,PROBLEME_QUALITE,15L273,2019-11-30 00:00:00,7.00,Unité,5.79
__export__.stock_quant_61244_617e6eeb,5242502,ARHOMANI TRANSFORM SPRAY 30ml,PROBLEME_QUALITE,15L264,2019-11-30 00:00:00,3.00,Unité,5.79
__export__.stock_quant_66830_1ef19b01,5764215,LUCAA + HORSE WOUND CARE 100ml,PROBLEME_QUALITE,LUC001,2020-04-30 00:00:00,1.00,Unité,5.04
__export__.stock_quant_66835_a55a9d27,5764215,LUCAA + HORSE WOUND CARE 100ml,PROBLEME_QUALITE,LUC011,2020-11-30 00:00:00,4.00,Unité,5.04
__export__.stock_quant_66847_1776e5c5,5764208,LUCAA + PETS CONDITIONER 1L,PROBLEME_QUALITE,LUC009,2020-07-31 00:00:00,1.00,Unité,12.80
__export__.stock_quant_75355_f51f8078,6604003,"ARTHROSCOPE 4,0mm L17,5cm 30 DEGRES",M.47.01.C.06,,,1.00,Unité,"1,006.20"
__export__.stock_quant_75497_52361fc1,6401000,BIDON 25L,M.41.08.D.03,,,1.00,Unité,3.98
__export__.stock_quant_75642_b06b7835,3025606,"BROCHE 1PTE+1LANC. 25cmx6,0mm x3",EXI991,,,1.00,Unité,21.57
__export__.stock_quant_75652_369e23fc,3020204,"BROCHE 2PTES+2FIL.NEG. 25cmx9,0mm X1",M.43.03.G.05,,,2.00,Unité,16.71
__export__.stock_quant_75688_6d0b18c8,8014303,CADRE PORTE FILM A GLISSIERE 24x30cm,AK09B4,,,3.00,Unité,39.58
__export__.stock_quant_75693_706b4dd3,8480666,CADRE PORTE FILM A GLISSIERE 30x40cm,AK05D3,,,6.00,Unité,39.58
__export__.stock_quant_75978_a8ee3bdd,6621038,"CISEAUX COURBES P/M 14,5CM",EOF106,,,36.00,Unité,2.67
__export__.stock_quant_75983_07aa465e,6621040,"CISEAUX COURBES P/M 16,5cm",M.39.07.C.03,,,22.00,Unité,3.23
__export__.stock_quant_76085_e9b39aef,6450006,COAPTATEUR 12DEMI+6VIS IMPERD GM 3MM,EOA155,,,6.00,Unité,12.42
__export__.stock_quant_76094_9c8e1b8e,6450007,COAPTATEUR 12DEMI+6VIS IMPERD MM 3MM,EOA149,,,1.00,Unité,11.65
__export__.stock_quant_76107_6fbe3566,8022774,COAPTATEUR 16mm BARRE 6mm BROCHE 4mm /,M.46.09.E.04,,,2.00,Unité,8.76
__export__.stock_quant_76213_66c78193,7912330,CORPS DE SERINGUE CREPIN 30ml,EOI160,,,5.00,Unité,1.95
__export__.stock_quant_76217_f515650c,7912350,CORPS DE SERINGUE CREPIN 50ml,EOI161,,,1.00,Unité,2.14
__export__.stock_quant_76391_098846de,8259827,DISPENSER FDP PISTOLET,M.42.09.E.05,,,6.00,Unité,16.65
__export__.stock_quant_76439_4daf66fe,0301017,DRAGUE SOUPLE DESJARDINS 30CM 9MM,M.46.07.D.05,,,1.00,Unité,56.52
__export__.stock_quant_76627_dd51bb4d,8048319,FRAISE CONE RENVERSE ACIER 018 CA /,EOI167,,,9.00,Unité,1.04
__export__.stock_quant_76727_4d87bc73,6815013,HALLOWELL LUBRIFIANT POUR CLOCHE,EXD600,,,2.00,Unité,13.86
__export__.stock_quant_76736_d7d51960,6815009,HALLOWELL VALVE DE SURPRESSION 20cm H2O,EXD600,,,2.00,Unité,26.52
__export__.stock_quant_76740_f1e90f94,2421408,HALLOWELL VALVE DE SURPRESSION 5cm H2O,EXD621,,,2.00,Unité,26.52
__export__.stock_quant_76744_2cfeb78d,6815010,"HALLOWELL VALVE DE SURPRESSION 7,5cm H2O",EXD600,,,1.00,Unité,26.52
__export__.stock_quant_76768_25f58e34,7761016,HYSTEROLABE QM,M.45.09.D.04,,,1.00,Unité,2.48
__export__.stock_quant_76928_a6c33cf6,5152150,AGRAFE FLESSA 50mm BOULE BOIS,M.44.05.E.05,,,44.00,Unité,1.14
__export__.stock_quant_76998_12d0b0d6,8048414,MANDRIN POUR DISQUE/,EOI175,,,1.00,Unité,0.87
__export__.stock_quant_77015_c8c75ede,8055004,MARTIN ELECTRODE A BOUCLE DIA 10mm,EOB162,,,2.00,Unité,9.54
__export__.stock_quant_77020_38719291,5054004,MARTIN ELECTRODE A BOUCLE DIA 5mm,EOB155,,,1.00,Unité,7.82
__export__.stock_quant_77026_867c37fa,8046101,MARTIN ELECTRODE AIGUILLE DROIT F1,EOB133,,,3.00,Unité,7.77
__export__.stock_quant_77032_62072a49,5082302,MARTIN PEDALE DOUBLE CUT/COAG ME102,EXE600,,,1.00,Unité,116.00
__export__.stock_quant_77067_37e1c232,5402063,ANGEL COMPTE GOUTTE /,M.43.05.C.02,,,1.00,Unité,36.13
__export__.stock_quant_77085_5e91fbff,1405035,MATRX BARRE DE FIXATION MURALE,EXB500,,,1.00,Unité,110.71
__export__.stock_quant_77101_5207125a,8078243,MATRX VMS VALVE REPRISE AIR AMBIANT,EOC171,,,1.00,Unité,173.14
__export__.stock_quant_77138_36220a1c,6333068,"MINIJECT CANULE G.A. OLIVE 1,6x38mm",EOA161,,,2.00,Unité,2.95
__export__.stock_quant_77292_61557b30,6355049,O RING PR SONADENT,EXP200,,,1.00,Unité,0.55
__export__.stock_quant_77322_fcb977a4,8342591,BOITE AFUBOX GRAND MODELE 25/40KG (10) /,AK07C2,,,1.00,Unité,97.24
__export__.stock_quant_77369_55eb6b5b,8344526,OXYCONCENTRATEUR CLAPET ANTIRETOUR EAU,EOD193,,,13.00,Unité,6.29
__export__.stock_quant_77405_18d8b78a,8063170,PESE COLOSTRUM JUMENT,M.43.03.E.02,,,3.00,Unité,141.47
__export__.stock_quant_77427_f97a1b04,8009001,PIECE A MAIN EN T POUR TETE DE FOREUSE,EOC183,,,2.00,Unité,61.69
__export__.stock_quant_77432_b887fc97,6355048,PIECE DE SERRAGE PR MANCHE SONADENT,EXP200,,,1.00,Unité,1.96
