id,name
__import__.product_0012641,RENNIE 120CP SANS SUCRE
__import__.product_1261542,LAMISIL CREME LAMINE ALUMINIUM K 1GR
__import__.product_3760899,DOXYBACTIN 50MG 10TABS
__import__.product_4040112,"SATIETY CHAT 3,5KG PROMO STICKER"
__import__.product_5140112,"SATIETY CHAT 3,5KG PROMO POUCH"
__import__.product_5453068,"VIDEO ENDOSCOPE 1500mm/9,2mm/2,8mm"
__import__.product_5904040,BOTTE PUROFORT KAKI 40 /
__import__.product_5904045,BOTTE PUROFORT KAKI 45 /
__import__.product_8032442,LAMPE STYLO (PEN LIGHT)  /
__import__.product_8074587,DISTRIBUTEUR PAPIER REFLEX M1 MIN
__import__.product_8075606,DISTRIBUTEUR PAPIER REFLEX H2 PLI
__import__.product_8337762,SERINGUE HSW UNIMATIC 1ML TUBE+BOUTEILLE
__import__.product_8342591,BOITE AFUBOX GRAND MODELE 25/40KG (10) /
